evaluator,variance
gpt-4o-mini,0.000408840126686931
gpt-4.1-mini,0.025320692550729784
gpt-4o,0.0034870147813495776
gpt-4.1,0.0026514876263837987
haiku-3.5,0.01314059035378857
sonnet-3.7,0.007122507786093881
sonnet-4.5,0.008272719804215397
opus-4.1,0.0016177041598448728
gemini-2.0-flash-lite,0.05084986151723595
gemini-2.0-flash,0.038391815691518
ll-3.1-8b,0.030648850689735673
ll-3.1-70b,0.0003011768452879364
ll-3.1-405b,0.0019182359708589346
qwen-2.5-7b,0.0030851688249655027
qwen-2.5-72b,0.0013657433291443847
qwen-3.0-80b,0.007389220062461152
deepseek-3.1,0.009780273826217168
kimi-k2,0.010249923138980889
