evaluator,generator,dataset,distance,performance
gpt-4.1-mini,gpt-4o-mini,wikisum,-72,0.9285714285714286
gpt-4o,gpt-4o-mini,wikisum,-134,0.5102040816326531
gpt-4.1,gpt-4o-mini,wikisum,-105,0.5918367346938775
haiku-3.5,gpt-4o-mini,wikisum,-14,0.5816326530612245
sonnet-4.5,gpt-4o-mini,wikisum,-139,0.979591836734694
opus-4.1,gpt-4o-mini,wikisum,-137,1.0
gemini-2.0-flash-lite,gpt-4o-mini,wikisum,-50,0.3979591836734694
gemini-2.0-flash,gpt-4o-mini,wikisum,-56,0.4387755102040816
ll-3.1-8b,gpt-4o-mini,wikisum,73,0.4183673469387755
ll-3.1-70b,gpt-4o-mini,wikisum,21,0.5306122448979592
ll-3.1-405b,gpt-4o-mini,wikisum,-27,0.5408163265306123
qwen-2.5-72b,gpt-4o-mini,wikisum,18,0.6122448979591837
qwen-3.0-80b,gpt-4o-mini,wikisum,-93,1.0
deepseek-3.1,gpt-4o-mini,wikisum,-110,0.7857142857142857
kimi-k2,gpt-4o-mini,wikisum,-114,0.6938775510204082
gpt-4o-mini,gpt-4.1-mini,wikisum,72,0.3673469387755102
gpt-4o,gpt-4.1-mini,wikisum,-62,0.4183673469387755
gpt-4.1,gpt-4.1-mini,wikisum,-33,0.5
haiku-3.5,gpt-4.1-mini,wikisum,58,0.1836734693877551
sonnet-4.5,gpt-4.1-mini,wikisum,-67,0.6938775510204082
opus-4.1,gpt-4.1-mini,wikisum,-65,0.9183673469387756
gemini-2.0-flash-lite,gpt-4.1-mini,wikisum,22,0.0408163265306122
gemini-2.0-flash,gpt-4.1-mini,wikisum,16,0.0408163265306122
ll-3.1-8b,gpt-4.1-mini,wikisum,145,0.3673469387755102
ll-3.1-70b,gpt-4.1-mini,wikisum,93,0.2346938775510204
ll-3.1-405b,gpt-4.1-mini,wikisum,45,0.2040816326530612
qwen-2.5-72b,gpt-4.1-mini,wikisum,90,0.2346938775510204
qwen-3.0-80b,gpt-4.1-mini,wikisum,-21,0.9591836734693876
deepseek-3.1,gpt-4.1-mini,wikisum,-38,0.2755102040816326
kimi-k2,gpt-4.1-mini,wikisum,-42,0.4795918367346938
gpt-4o-mini,gpt-4o,wikisum,134,0.4795918367346938
gpt-4.1-mini,gpt-4o,wikisum,62,0.9183673469387756
gpt-4.1,gpt-4o,wikisum,29,0.5918367346938775
haiku-3.5,gpt-4o,wikisum,120,0.5306122448979592
sonnet-4.5,gpt-4o,wikisum,-5,0.9489795918367347
opus-4.1,gpt-4o,wikisum,-3,1.0
gemini-2.0-flash-lite,gpt-4o,wikisum,84,0.4183673469387755
gemini-2.0-flash,gpt-4o,wikisum,78,0.4081632653061224
ll-3.1-8b,gpt-4o,wikisum,207,0.4183673469387755
ll-3.1-70b,gpt-4o,wikisum,155,0.5
ll-3.1-405b,gpt-4o,wikisum,107,0.5714285714285714
qwen-2.5-72b,gpt-4o,wikisum,152,0.4897959183673469
qwen-3.0-80b,gpt-4o,wikisum,41,1.0
deepseek-3.1,gpt-4o,wikisum,24,0.8061224489795918
kimi-k2,gpt-4o,wikisum,20,0.6632653061224489
gpt-4o-mini,gpt-4.1,wikisum,105,0.3877551020408163
gpt-4.1-mini,gpt-4.1,wikisum,33,0.5
gpt-4o,gpt-4.1,wikisum,-29,0.3571428571428571
haiku-3.5,gpt-4.1,wikisum,91,0.2857142857142857
sonnet-4.5,gpt-4.1,wikisum,-34,0.673469387755102
opus-4.1,gpt-4.1,wikisum,-32,0.9081632653061223
gemini-2.0-flash-lite,gpt-4.1,wikisum,55,0.0408163265306122
gemini-2.0-flash,gpt-4.1,wikisum,49,0.0612244897959183
ll-3.1-8b,gpt-4.1,wikisum,178,0.4081632653061224
ll-3.1-70b,gpt-4.1,wikisum,126,0.2857142857142857
ll-3.1-405b,gpt-4.1,wikisum,78,0.1938775510204081
qwen-2.5-72b,gpt-4.1,wikisum,123,0.2755102040816326
qwen-3.0-80b,gpt-4.1,wikisum,12,0.9591836734693876
deepseek-3.1,gpt-4.1,wikisum,-5,0.2448979591836734
kimi-k2,gpt-4.1,wikisum,-9,0.4693877551020408
gpt-4o-mini,haiku-3.5,wikisum,14,0.4387755102040816
gpt-4.1-mini,haiku-3.5,wikisum,-58,0.9285714285714286
gpt-4o,haiku-3.5,wikisum,-120,0.4387755102040816
gpt-4.1,haiku-3.5,wikisum,-91,0.5408163265306123
sonnet-4.5,haiku-3.5,wikisum,-125,0.9591836734693876
opus-4.1,haiku-3.5,wikisum,-123,0.9693877551020408
gemini-2.0-flash-lite,haiku-3.5,wikisum,-36,0.7346938775510204
gemini-2.0-flash,haiku-3.5,wikisum,-42,0.6020408163265306
ll-3.1-8b,haiku-3.5,wikisum,87,0.4081632653061224
ll-3.1-70b,haiku-3.5,wikisum,35,0.7040816326530612
ll-3.1-405b,haiku-3.5,wikisum,-13,0.5306122448979592
qwen-2.5-72b,haiku-3.5,wikisum,32,0.4387755102040816
qwen-3.0-80b,haiku-3.5,wikisum,-79,1.0
deepseek-3.1,haiku-3.5,wikisum,-96,0.7244897959183674
kimi-k2,haiku-3.5,wikisum,-100,0.7448979591836735
gpt-4o-mini,sonnet-4.5,wikisum,139,0.3877551020408163
gpt-4.1-mini,sonnet-4.5,wikisum,67,0.5
gpt-4o,sonnet-4.5,wikisum,5,0.3265306122448979
gpt-4.1,sonnet-4.5,wikisum,34,0.4897959183673469
haiku-3.5,sonnet-4.5,wikisum,125,0.3673469387755102
opus-4.1,sonnet-4.5,wikisum,2,0.5
gemini-2.0-flash-lite,sonnet-4.5,wikisum,89,0.010204081632653
gemini-2.0-flash,sonnet-4.5,wikisum,83,0.0306122448979591
ll-3.1-8b,sonnet-4.5,wikisum,212,0.3571428571428571
ll-3.1-70b,sonnet-4.5,wikisum,160,0.1836734693877551
ll-3.1-405b,sonnet-4.5,wikisum,112,0.1122448979591836
qwen-2.5-72b,sonnet-4.5,wikisum,157,0.336734693877551
qwen-3.0-80b,sonnet-4.5,wikisum,46,0.9387755102040816
deepseek-3.1,sonnet-4.5,wikisum,29,0.1632653061224489
kimi-k2,sonnet-4.5,wikisum,25,0.4795918367346938
gpt-4o-mini,opus-4.1,wikisum,137,0.2346938775510204
gpt-4.1-mini,opus-4.1,wikisum,65,0.5510204081632653
gpt-4o,opus-4.1,wikisum,3,0.2857142857142857
gpt-4.1,opus-4.1,wikisum,32,0.4897959183673469
haiku-3.5,opus-4.1,wikisum,123,0.2448979591836734
sonnet-4.5,opus-4.1,wikisum,-2,0.4897959183673469
gemini-2.0-flash-lite,opus-4.1,wikisum,87,0.0
gemini-2.0-flash,opus-4.1,wikisum,81,0.0306122448979591
ll-3.1-8b,opus-4.1,wikisum,210,0.3877551020408163
ll-3.1-70b,opus-4.1,wikisum,158,0.2142857142857142
ll-3.1-405b,opus-4.1,wikisum,110,0.0816326530612244
qwen-2.5-72b,opus-4.1,wikisum,155,0.3265306122448979
qwen-3.0-80b,opus-4.1,wikisum,44,0.9489795918367347
deepseek-3.1,opus-4.1,wikisum,27,0.1428571428571428
kimi-k2,opus-4.1,wikisum,23,0.4591836734693877
gpt-4o-mini,gemini-2.0-flash-lite,wikisum,50,0.5510204081632653
gpt-4.1-mini,gemini-2.0-flash-lite,wikisum,-22,0.9693877551020408
gpt-4o,gemini-2.0-flash-lite,wikisum,-84,0.5306122448979592
gpt-4.1,gemini-2.0-flash-lite,wikisum,-55,0.6122448979591837
haiku-3.5,gemini-2.0-flash-lite,wikisum,36,0.6938775510204082
sonnet-4.5,gemini-2.0-flash-lite,wikisum,-89,0.9591836734693876
opus-4.1,gemini-2.0-flash-lite,wikisum,-87,1.0
gemini-2.0-flash,gemini-2.0-flash-lite,wikisum,-6,0.5510204081632653
ll-3.1-8b,gemini-2.0-flash-lite,wikisum,123,0.4387755102040816
ll-3.1-70b,gemini-2.0-flash-lite,wikisum,71,0.5714285714285714
ll-3.1-405b,gemini-2.0-flash-lite,wikisum,23,0.6530612244897959
qwen-2.5-72b,gemini-2.0-flash-lite,wikisum,68,0.8061224489795918
qwen-3.0-80b,gemini-2.0-flash-lite,wikisum,-43,1.0
deepseek-3.1,gemini-2.0-flash-lite,wikisum,-60,0.8061224489795918
kimi-k2,gemini-2.0-flash-lite,wikisum,-64,0.8061224489795918
gpt-4o-mini,gemini-2.0-flash,wikisum,56,0.5918367346938775
gpt-4.1-mini,gemini-2.0-flash,wikisum,-16,0.9693877551020408
gpt-4o,gemini-2.0-flash,wikisum,-78,0.5204081632653061
gpt-4.1,gemini-2.0-flash,wikisum,-49,0.6326530612244898
haiku-3.5,gemini-2.0-flash,wikisum,42,0.6428571428571429
sonnet-4.5,gemini-2.0-flash,wikisum,-83,0.9081632653061223
opus-4.1,gemini-2.0-flash,wikisum,-81,1.0
gemini-2.0-flash-lite,gemini-2.0-flash,wikisum,6,0.4693877551020408
ll-3.1-8b,gemini-2.0-flash,wikisum,129,0.4387755102040816
ll-3.1-70b,gemini-2.0-flash,wikisum,77,0.5714285714285714
ll-3.1-405b,gemini-2.0-flash,wikisum,29,0.5612244897959183
qwen-2.5-72b,gemini-2.0-flash,wikisum,74,0.7244897959183674
qwen-3.0-80b,gemini-2.0-flash,wikisum,-37,1.0
deepseek-3.1,gemini-2.0-flash,wikisum,-54,0.6836734693877551
kimi-k2,gemini-2.0-flash,wikisum,-58,0.7244897959183674
gpt-4o-mini,ll-3.1-8b,wikisum,-73,0.6326530612244898
gpt-4.1-mini,ll-3.1-8b,wikisum,-145,0.9591836734693876
gpt-4o,ll-3.1-8b,wikisum,-207,0.7551020408163265
gpt-4.1,ll-3.1-8b,wikisum,-178,0.9285714285714286
haiku-3.5,ll-3.1-8b,wikisum,-87,0.8979591836734694
sonnet-4.5,ll-3.1-8b,wikisum,-212,0.9794188861985472
opus-4.1,ll-3.1-8b,wikisum,-210,1.0
gemini-2.0-flash-lite,ll-3.1-8b,wikisum,-123,0.5
gemini-2.0-flash,ll-3.1-8b,wikisum,-129,0.5714285714285714
ll-3.1-70b,ll-3.1-8b,wikisum,-52,0.5918367346938775
ll-3.1-405b,ll-3.1-8b,wikisum,-100,0.7346938775510204
qwen-2.5-72b,ll-3.1-8b,wikisum,-55,0.7857142857142857
qwen-3.0-80b,ll-3.1-8b,wikisum,-166,1.0
deepseek-3.1,ll-3.1-8b,wikisum,-183,0.9387755102040816
kimi-k2,ll-3.1-8b,wikisum,-187,0.8673469387755102
gpt-4o-mini,ll-3.1-70b,wikisum,-21,0.5408163265306123
gpt-4.1-mini,ll-3.1-70b,wikisum,-93,0.9285714285714286
gpt-4o,ll-3.1-70b,wikisum,-155,0.5918367346938775
gpt-4.1,ll-3.1-70b,wikisum,-126,0.7755102040816326
haiku-3.5,ll-3.1-70b,wikisum,-35,0.7244897959183674
sonnet-4.5,ll-3.1-70b,wikisum,-160,0.9489795918367347
opus-4.1,ll-3.1-70b,wikisum,-158,1.0
gemini-2.0-flash-lite,ll-3.1-70b,wikisum,-71,0.3571428571428571
gemini-2.0-flash,ll-3.1-70b,wikisum,-77,0.4489795918367347
ll-3.1-8b,ll-3.1-70b,wikisum,52,0.4183673469387755
ll-3.1-405b,ll-3.1-70b,wikisum,-48,0.6224489795918368
qwen-2.5-72b,ll-3.1-70b,wikisum,-3,0.7040816326530612
qwen-3.0-80b,ll-3.1-70b,wikisum,-114,1.0
deepseek-3.1,ll-3.1-70b,wikisum,-131,0.826530612244898
kimi-k2,ll-3.1-70b,wikisum,-135,0.8163265306122449
gpt-4o-mini,ll-3.1-405b,wikisum,27,0.5510204081632653
gpt-4.1-mini,ll-3.1-405b,wikisum,-45,0.8673469387755102
gpt-4o,ll-3.1-405b,wikisum,-107,0.5612244897959183
gpt-4.1,ll-3.1-405b,wikisum,-78,0.7346938775510204
haiku-3.5,ll-3.1-405b,wikisum,13,0.7040816326530612
sonnet-4.5,ll-3.1-405b,wikisum,-112,0.9081632653061223
opus-4.1,ll-3.1-405b,wikisum,-110,0.9897959183673468
gemini-2.0-flash-lite,ll-3.1-405b,wikisum,-23,0.3571428571428571
gemini-2.0-flash,ll-3.1-405b,wikisum,-29,0.3877551020408163
ll-3.1-8b,ll-3.1-405b,wikisum,100,0.4183673469387755
ll-3.1-70b,ll-3.1-405b,wikisum,48,0.5102040816326531
qwen-2.5-72b,ll-3.1-405b,wikisum,45,0.5714285714285714
qwen-3.0-80b,ll-3.1-405b,wikisum,-66,1.0
deepseek-3.1,ll-3.1-405b,wikisum,-83,0.8673469387755102
kimi-k2,ll-3.1-405b,wikisum,-87,0.7346938775510204
gpt-4o-mini,qwen-2.5-72b,wikisum,-18,0.4795918367346938
gpt-4.1-mini,qwen-2.5-72b,wikisum,-90,0.9081632653061223
gpt-4o,qwen-2.5-72b,wikisum,-152,0.5102040816326531
gpt-4.1,qwen-2.5-72b,wikisum,-123,0.6122448979591837
haiku-3.5,qwen-2.5-72b,wikisum,-32,0.6326530612244898
sonnet-4.5,qwen-2.5-72b,wikisum,-157,0.9591836734693876
opus-4.1,qwen-2.5-72b,wikisum,-155,1.0
gemini-2.0-flash-lite,qwen-2.5-72b,wikisum,-68,0.5510204081632653
gemini-2.0-flash,qwen-2.5-72b,wikisum,-74,0.4795918367346938
ll-3.1-8b,qwen-2.5-72b,wikisum,55,0.4081632653061224
ll-3.1-70b,qwen-2.5-72b,wikisum,3,0.6122448979591837
ll-3.1-405b,qwen-2.5-72b,wikisum,-45,0.5816326530612245
qwen-3.0-80b,qwen-2.5-72b,wikisum,-111,1.0
deepseek-3.1,qwen-2.5-72b,wikisum,-128,0.826530612244898
kimi-k2,qwen-2.5-72b,wikisum,-132,0.7346938775510204
