evaluator,wikisum/training_set_1-20+test_set_1-30,sharegpt/english_26+english2_74,pku_saferlhf/mismatch_1-20+test_mismatch_1-20+test-mismatch_10_100-200,bigcodebench/instruct_1-50
gpt-4o-mini,1666,3400,1700,1700
gpt-4.1-mini,1666,3400,1700,1700
gpt-4o,1666,3400,1700,1700
gpt-4.1,1666,3400,1700,1700
haiku-3.5,1666,3400,1700,1700
sonnet-3.7,1666,3400,1700,1700
sonnet-4.5,1666,3400,1700,1700
opus-4.1,1666,3400,1700,1700
gemini-2.0-flash-lite,1666,3400,1700,1700
gemini-2.0-flash,1666,3400,1700,1700
ll-3.1-8b,1666,3400,1700,1700
ll-3.1-70b,1666,3400,1700,1700
ll-3.1-405b,1666,3400,1700,1700
qwen-2.5-7b,1666,3400,1700,1700
qwen-2.5-72b,1666,3400,1700,1700
qwen-3.0-80b,1666,3400,1700,1700
deepseek-3.1,1666,3400,1700,1700
kimi-k2,1666,3400,1700,1700
