evaluator,performance,n_samples
gpt-4o-mini,0.4991731632412001,8466
gpt-4.1-mini,0.5802031656035909,8466
gpt-4o,0.5381506106689453,8466
gpt-4.1,0.6157571462319867,8466
haiku-3.5,0.4551145759508623,8466
sonnet-3.7,0.5443886480931126,8466
sonnet-4.5,0.7215902493323243,8466
opus-4.1,0.8754378516996607,8466
gemini-2.0-flash-lite,0.48405386250885896,8466
gemini-2.0-flash,0.6484131530149608,8466
ll-3.1-8b,0.382471060713442,8466
ll-3.1-70b,0.4942121426884006,8466
ll-3.1-405b,0.49503897944720054,8466
qwen-2.5-7b,0.511103236475313,8466
qwen-2.5-72b,0.5426411528466808,8466
qwen-3.0-80b,0.8908575478384124,8466
deepseek-3.1,0.6709189699976376,8466
kimi-k2,0.6720194119916589,8466
