evaluator,performance,n_samples
gpt-4o-mini,0.4829753797799895,11454
gpt-4.1-mini,0.534922297887201,11454
gpt-4o,0.5125957609074118,11454
gpt-4.1,0.5940282870612886,11454
haiku-3.5,0.42168674698795183,11454
sonnet-3.7,0.5616384979476694,11454
sonnet-4.5,0.6719908373360798,11454
opus-4.1,0.8382425775409214,11454
gemini-2.0-flash-lite,0.42151213549851574,11454
gemini-2.0-flash,0.5734647942574348,11454
ll-3.1-8b,0.3787323205866946,11454
ll-3.1-70b,0.48707874978173565,11454
ll-3.1-405b,0.4746863172363865,11454
qwen-2.5-7b,0.503579535533438,11454
qwen-2.5-72b,0.5315173738431989,11454
qwen-3.0-80b,0.8287061288632792,11454
deepseek-3.1,0.5901868342936966,11454
kimi-k2,0.6332703555962688,11454
