evaluator,wikisum/training_set_1-20+test_set_1-30,sharegpt/english_26+english2_74,pku_saferlhf/mismatch_1-20+test_mismatch_1-20+test-mismatch_10_100-200,bigcodebench/instruct_1-50
gpt-4o-mini,0.0018528853666703,0.0,0.0,0.01
gpt-4.1-mini,0.0091910821643891,0.0,0.0,0.0
gpt-4o,0.0014779563461104,0.0,0.0,0.0
gpt-4.1,0.1354187849790147,0.0,0.0,0.0
haiku-3.5,-0.0045415224913495,0.0403846153846154,0.0765384615384615,-0.0973076923076923
sonnet-3.7,0.065938390127208,0.0172249419933606,0.211913214990138,-0.0458823529411764
sonnet-4.5,0.0477717456150816,0.1106846153846154,0.0942307692307692,0.0384615384615385
opus-4.1,0.247397386946665,0.1857461538461539,0.1795453129866085,-0.0197058823529411
gemini-2.0-flash-lite,-0.0086874930237749,0.0088461538461538,-0.2626923076923076,0.0002941176470587
gemini-2.0-flash,0.0124896239691082,0.113076923076923,-0.0061538461538461,0.068235294117647
ll-3.1-8b,-0.0649268236966602,-0.0338461538461538,-0.0749999999999999,0.03
ll-3.1-70b,0.0548771922041817,0.000576923076923,0.0242307692307692,-0.13
ll-3.1-405b,0.0719200276979777,0.0596153846153846,0.0138461538461538,0.0138235294117646
qwen-2.5-7b,0.0022273238103688,0.0053846153846153,0.0611538461538461,0.0024999999999999
qwen-2.5-72b,-0.0347739774642889,0.0553846153846153,0.1269230769230769,0.0784615384615384
qwen-3.0-80b,0.0114183604476273,0.0482692307692307,0.0069230769230769,0.1131249999999999
deepseek-3.1,0.015256928433203,0.0461538461538461,0.0165384615384615,0.0584375
kimi-k2,0.0565672581509849,0.0424999999999999,0.0849999999999999,-0.0206666666666667
