evaluator,wikisum/training_set_1-20+test_set_1-30,sharegpt/english_26+english2_74,pku_saferlhf/mismatch_1-20+test_mismatch_1-20+test-mismatch_10_100-200,bigcodebench/instruct_1-50
gpt-4o-mini,0.5018528853666704,0.0,0.0,0.51
gpt-4.1-mini,0.5091910821643891,0.0,0.0,0.0
gpt-4o,0.5014779563461105,0.0,0.0,0.0
gpt-4.1,0.6354187849790147,0.0,0.0,0.0
haiku-3.5,0.4954584775086504,0.5403846153846155,0.5765384615384616,0.4026923076923077
sonnet-3.7,0.565938390127208,0.5172249419933607,0.711913214990138,0.4541176470588235
sonnet-4.5,0.5477717456150817,0.6106846153846155,0.5942307692307692,0.5384615384615385
opus-4.1,0.747397386946665,0.6857461538461539,0.6795453129866086,0.4802941176470588
gemini-2.0-flash-lite,0.491312506976225,0.5088461538461538,0.2373076923076923,0.5002941176470588
gemini-2.0-flash,0.5124896239691082,0.6130769230769231,0.4938461538461538,0.5682352941176471
ll-3.1-8b,0.4350731763033397,0.4661538461538461,0.425,0.53
ll-3.1-70b,0.5548771922041817,0.500576923076923,0.5242307692307693,0.37
ll-3.1-405b,0.5719200276979778,0.5596153846153846,0.5138461538461538,0.5138235294117647
qwen-2.5-7b,0.5022273238103688,0.5053846153846153,0.5611538461538461,0.5025
qwen-2.5-72b,0.4652260225357111,0.5553846153846154,0.6269230769230769,0.5784615384615385
qwen-3.0-80b,0.5114183604476273,0.5482692307692307,0.5069230769230769,0.6131249999999999
deepseek-3.1,0.515256928433203,0.5461538461538461,0.5165384615384615,0.5584375
kimi-k2,0.556567258150985,0.5425,0.585,0.4793333333333333
