evaluator,performance,n_samples
gpt-4o-mini,0.5480152800118632,12378.0
gpt-4.1-mini,0.5271637224305653,10192.0
gpt-4o,0.5252977776242855,10546.0
gpt-4.1,0.641476732976379,10164.0
haiku-3.5,0.5022497805092185,9648.0
sonnet-3.7,0.5388648777059807,9648.0
sonnet-4.5,0.5757493718022465,9648.0
opus-4.1,0.6654866296158328,9648.0
gemini-2.0-flash-lite,0.4591600746276547,12248.0
gemini-2.0-flash,0.5468095256681684,12096.0
ll-3.1-8b,0.45848342309177126,11036.0
ll-3.1-70b,0.4904983418801102,10726.0
ll-3.1-405b,0.5385510612767844,10584.0
qwen-2.5-7b,0.5116670402269936,10976.0
qwen-2.5-72b,0.532571012993867,10840.0
qwen-3.0-80b,0.5354597094479309,10938.0
deepseek-3.1,0.5296897881724738,10546.0
kimi-k2,0.5390182435925361,10900.0
