evaluator,variance
gpt-4o-mini,0.0012649663292679286
gpt-4.1-mini,0.0002558307471720357
gpt-4o,0.0005956272794146619
gpt-4.1,7.814397725084332e-05
haiku-3.5,0.004174578468039976
sonnet-3.7,0.009740204099104994
sonnet-4.5,0.00120183160543606
opus-4.1,0.01396102850897974
gemini-2.0-flash-lite,0.01611976988607783
gemini-2.0-flash,0.0026673955026155828
ll-3.1-8b,0.002185911390930345
ll-3.1-70b,0.00609962393570897
ll-3.1-405b,0.0012073667628930019
qwen-2.5-7b,0.0008535261473858642
qwen-2.5-72b,0.003717741668346713
qwen-3.0-80b,0.002265110634384992
deepseek-3.1,0.00043928896848145814
kimi-k2,0.0020541292166153424
