evaluator,generator,dataset,distance,performance,n_samples
opus-4.1-thinking,gpt-oss-120b-thinking,wikisum,-87,0.7040816326530612,98
gemini-2.5-pro-thinking,gpt-oss-120b-thinking,wikisum,-91,0.5306122448979592,98
qwen-3.0-80b-thinking,gpt-oss-120b-thinking,wikisum,-11,0.4530688323791772,98
deepseek-r1-thinking,gpt-oss-120b-thinking,wikisum,-64,0.1836734693877551,98
kimi-k2-thinking,gpt-oss-120b-thinking,wikisum,-75,0.4173669467787114,98
gpt-oss-120b-thinking,opus-4.1-thinking,wikisum,87,0.7040816326530612,98
gemini-2.5-pro-thinking,opus-4.1-thinking,wikisum,-4,0.4795918367346938,98
qwen-3.0-80b-thinking,opus-4.1-thinking,wikisum,76,0.5102040816326531,98
deepseek-r1-thinking,opus-4.1-thinking,wikisum,23,0.1326530612244898,98
kimi-k2-thinking,opus-4.1-thinking,wikisum,12,0.5389610389610389,98
gpt-oss-120b-thinking,gemini-2.5-pro-thinking,wikisum,91,0.673469387755102,98
opus-4.1-thinking,gemini-2.5-pro-thinking,wikisum,4,0.4693877551020408,98
qwen-3.0-80b-thinking,gemini-2.5-pro-thinking,wikisum,80,0.6827681448519257,98
deepseek-r1-thinking,gemini-2.5-pro-thinking,wikisum,27,0.3163265306122449,98
kimi-k2-thinking,gemini-2.5-pro-thinking,wikisum,16,0.4663008060367004,98
gpt-oss-120b-thinking,qwen-3.0-80b-thinking,wikisum,11,0.689899688689035,98
opus-4.1-thinking,qwen-3.0-80b-thinking,wikisum,-76,0.6632653061224489,98
gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,wikisum,-80,0.7040816326530612,98
deepseek-r1-thinking,qwen-3.0-80b-thinking,wikisum,-53,0.3469387755102041,98
kimi-k2-thinking,qwen-3.0-80b-thinking,wikisum,-64,0.575235808609158,98
gpt-oss-120b-thinking,deepseek-r1-thinking,wikisum,64,0.7346938775510204,98
opus-4.1-thinking,deepseek-r1-thinking,wikisum,-23,0.7244897959183674,98
gemini-2.5-pro-thinking,deepseek-r1-thinking,wikisum,-27,0.8061224489795918,98
qwen-3.0-80b-thinking,deepseek-r1-thinking,wikisum,53,0.7411078717201167,98
kimi-k2-thinking,deepseek-r1-thinking,wikisum,-11,0.6485532988705687,98
gpt-oss-120b-thinking,kimi-k2-thinking,wikisum,75,0.7857142857142857,98
opus-4.1-thinking,kimi-k2-thinking,wikisum,-12,0.6020408163265306,98
gemini-2.5-pro-thinking,kimi-k2-thinking,wikisum,-16,0.5306122448979592,98
qwen-3.0-80b-thinking,kimi-k2-thinking,wikisum,64,0.4310125964261302,98
deepseek-r1-thinking,kimi-k2-thinking,wikisum,11,0.2040816326530612,98
gpt-oss-120b-thinking,gpt-4o-mini,wikisum,-51,0.8061224489795918,98
opus-4.1-thinking,gpt-4o-mini,wikisum,-138,0.7040816326530612,98
gemini-2.5-pro-thinking,gpt-4o-mini,wikisum,-142,1.0,98
qwen-3.0-80b-thinking,gpt-4o-mini,wikisum,-62,0.875068946497518,98
deepseek-r1-thinking,gpt-4o-mini,wikisum,-115,0.8571428571428571,98
kimi-k2-thinking,gpt-4o-mini,wikisum,-126,0.7223252937538651,98
gpt-oss-120b-thinking,gpt-4.1-mini,wikisum,21,0.5,98
opus-4.1-thinking,gpt-4.1-mini,wikisum,-66,0.5306122448979592,98
gemini-2.5-pro-thinking,gpt-4.1-mini,wikisum,-70,0.7653061224489796,98
qwen-3.0-80b-thinking,gpt-4.1-mini,wikisum,10,0.5770398554902186,98
deepseek-r1-thinking,gpt-4.1-mini,wikisum,-43,0.3163265306122449,98
kimi-k2-thinking,gpt-4.1-mini,wikisum,-54,0.40055241954938,98
gpt-oss-120b-thinking,gpt-4o,wikisum,83,0.7633756205184776,98
opus-4.1-thinking,gpt-4o,wikisum,-4,0.7959183673469388,98
gemini-2.5-pro-thinking,gpt-4o,wikisum,-8,0.9897959183673468,98
qwen-3.0-80b-thinking,gpt-4o,wikisum,72,0.7250566893424036,98
deepseek-r1-thinking,gpt-4o,wikisum,19,0.8571428571428571,98
kimi-k2-thinking,gpt-4o,wikisum,8,0.7173631357304827,98
gpt-oss-120b-thinking,gpt-4.1,wikisum,54,0.5408163265306123,98
opus-4.1-thinking,gpt-4.1,wikisum,-33,0.5306122448979592,98
gemini-2.5-pro-thinking,gpt-4.1,wikisum,-37,0.7346938775510204,98
qwen-3.0-80b-thinking,gpt-4.1,wikisum,43,0.5413636719055439,98
deepseek-r1-thinking,gpt-4.1,wikisum,-10,0.4285714285714285,98
kimi-k2-thinking,gpt-4.1,wikisum,-21,0.38712715855573,98
gpt-oss-120b-thinking,haiku-3.5,wikisum,-37,0.8759944655828433,98
opus-4.1-thinking,haiku-3.5,wikisum,-124,0.7142857142857143,98
gemini-2.5-pro-thinking,haiku-3.5,wikisum,-128,1.0,98
qwen-3.0-80b-thinking,haiku-3.5,wikisum,-48,0.8261847111726046,98
deepseek-r1-thinking,haiku-3.5,wikisum,-101,0.9081632653061223,98
kimi-k2-thinking,haiku-3.5,wikisum,-112,0.6943387524501327,98
gpt-oss-120b-thinking,sonnet-4.5,wikisum,88,0.7346938775510204,98
opus-4.1-thinking,sonnet-4.5,wikisum,1,0.5408163265306123,98
gemini-2.5-pro-thinking,sonnet-4.5,wikisum,-3,0.5408163265306123,98
qwen-3.0-80b-thinking,sonnet-4.5,wikisum,77,0.3977204917054541,98
deepseek-r1-thinking,sonnet-4.5,wikisum,24,0.2448979591836734,98
kimi-k2-thinking,sonnet-4.5,wikisum,13,0.4568666564370108,98
gpt-oss-120b-thinking,opus-4.1,wikisum,86,0.6492563126945694,98
opus-4.1-thinking,opus-4.1,wikisum,-1,0.5408163265306123,98
gemini-2.5-pro-thinking,opus-4.1,wikisum,-5,0.5306122448979592,98
qwen-3.0-80b-thinking,opus-4.1,wikisum,75,0.6380759200231816,98
deepseek-r1-thinking,opus-4.1,wikisum,22,0.2040816326530612,98
kimi-k2-thinking,opus-4.1,wikisum,11,0.5102040816326531,98
gpt-oss-120b-thinking,gemini-2.0-flash-lite,wikisum,-1,0.9081632653061223,98
opus-4.1-thinking,gemini-2.0-flash-lite,wikisum,-88,0.8877551020408163,98
gemini-2.5-pro-thinking,gemini-2.0-flash-lite,wikisum,-92,0.9693877551020408,98
qwen-3.0-80b-thinking,gemini-2.0-flash-lite,wikisum,-12,0.8546607832322118,98
deepseek-r1-thinking,gemini-2.0-flash-lite,wikisum,-65,0.9081632653061223,98
kimi-k2-thinking,gemini-2.0-flash-lite,wikisum,-76,0.8240524781341109,98
gpt-oss-120b-thinking,gemini-2.0-flash,wikisum,5,0.8867173988239364,98
opus-4.1-thinking,gemini-2.0-flash,wikisum,-82,0.7551020408163265,98
gemini-2.5-pro-thinking,gemini-2.0-flash,wikisum,-86,0.8775510204081632,98
qwen-3.0-80b-thinking,gemini-2.0-flash,wikisum,-6,0.7448979591836735,98
deepseek-r1-thinking,gemini-2.0-flash,wikisum,-59,0.7142857142857143,98
kimi-k2-thinking,gemini-2.0-flash,wikisum,-70,0.7521218011013929,98
gpt-oss-120b-thinking,ll-3.1-8b,wikisum,-124,0.9489795918367347,98
opus-4.1-thinking,ll-3.1-8b,wikisum,-211,0.979591836734694,98
gemini-2.5-pro-thinking,ll-3.1-8b,wikisum,-215,0.9897959183673468,98
qwen-3.0-80b-thinking,ll-3.1-8b,wikisum,-135,0.8848242916039526,98
deepseek-r1-thinking,ll-3.1-8b,wikisum,-188,0.9270522684566268,98
kimi-k2-thinking,ll-3.1-8b,wikisum,-199,0.9127290555861984,98
gpt-oss-120b-thinking,ll-3.1-70b,wikisum,-72,0.9285714285714286,98
opus-4.1-thinking,ll-3.1-70b,wikisum,-159,0.9387755102040816,98
gemini-2.5-pro-thinking,ll-3.1-70b,wikisum,-163,0.9693877551020408,98
qwen-3.0-80b-thinking,ll-3.1-70b,wikisum,-83,0.8013966924378546,98
deepseek-r1-thinking,ll-3.1-70b,wikisum,-136,0.7857142857142857,98
kimi-k2-thinking,ll-3.1-70b,wikisum,-147,0.9214929214929216,98
gpt-oss-120b-thinking,ll-3.1-405b,wikisum,-24,0.8979591836734694,98
opus-4.1-thinking,ll-3.1-405b,wikisum,-111,0.826530612244898,98
gemini-2.5-pro-thinking,ll-3.1-405b,wikisum,-115,0.9897959183673468,98
qwen-3.0-80b-thinking,ll-3.1-405b,wikisum,-35,0.8040816326530612,98
deepseek-r1-thinking,ll-3.1-405b,wikisum,-88,0.8061224489795918,98
kimi-k2-thinking,ll-3.1-405b,wikisum,-99,0.8648526077097506,98
gpt-oss-120b-thinking,qwen-2.5-72b,wikisum,-69,0.7448979591836735,98
opus-4.1-thinking,qwen-2.5-72b,wikisum,-156,0.8367346938775511,98
gemini-2.5-pro-thinking,qwen-2.5-72b,wikisum,-160,1.0,98
qwen-3.0-80b-thinking,qwen-2.5-72b,wikisum,-80,0.7896825396825397,98
deepseek-r1-thinking,qwen-2.5-72b,wikisum,-133,0.9183673469387756,98
kimi-k2-thinking,qwen-2.5-72b,wikisum,-144,0.7338229744244782,98
gpt-oss-120b-thinking,qwen-3.0-80b,wikisum,42,0.5352819093739191,98
opus-4.1-thinking,qwen-3.0-80b,wikisum,-45,0.5102040816326531,98
gemini-2.5-pro-thinking,qwen-3.0-80b,wikisum,-49,0.5408163265306123,98
qwen-3.0-80b-thinking,qwen-3.0-80b,wikisum,31,0.3208605609731577,98
deepseek-r1-thinking,qwen-3.0-80b,wikisum,-22,0.153888582460011,98
kimi-k2-thinking,qwen-3.0-80b,wikisum,-33,0.3112244897959184,98
gpt-oss-120b-thinking,deepseek-3.1,wikisum,59,0.7551020408163265,98
opus-4.1-thinking,deepseek-3.1,wikisum,-28,0.7040816326530612,98
gemini-2.5-pro-thinking,deepseek-3.1,wikisum,-32,0.8673469387755102,98
qwen-3.0-80b-thinking,deepseek-3.1,wikisum,48,0.7556689342403629,98
deepseek-r1-thinking,deepseek-3.1,wikisum,-5,0.7244897959183674,98
kimi-k2-thinking,deepseek-3.1,wikisum,-16,0.6295101416395217,98
gpt-oss-120b-thinking,kimi-k2,wikisum,63,0.8469387755102041,98
opus-4.1-thinking,kimi-k2,wikisum,-24,0.8673469387755102,98
gemini-2.5-pro-thinking,kimi-k2,wikisum,-28,0.6326530612244898,98
qwen-3.0-80b-thinking,kimi-k2,wikisum,52,0.6216547702824973,98
deepseek-r1-thinking,kimi-k2,wikisum,-1,0.4795918367346938,98
kimi-k2-thinking,kimi-k2,wikisum,-12,0.504333779843984,98
opus-4.1-thinking,gpt-oss-120b-thinking,sharegpt,-87,0.8103448275862069,58
gemini-2.5-pro-thinking,gpt-oss-120b-thinking,sharegpt,-91,0.5576470588235294,200
qwen-3.0-80b-thinking,gpt-oss-120b-thinking,sharegpt,-11,0.605,200
deepseek-r1-thinking,gpt-oss-120b-thinking,sharegpt,-64,0.32,200
kimi-k2-thinking,gpt-oss-120b-thinking,sharegpt,-75,0.4096153846153846,200
gpt-oss-120b-thinking,opus-4.1-thinking,sharegpt,87,0.603448275862069,58
gemini-2.5-pro-thinking,opus-4.1-thinking,sharegpt,-4,0.9310344827586208,58
qwen-3.0-80b-thinking,opus-4.1-thinking,sharegpt,76,0.7890466531440162,58
deepseek-r1-thinking,opus-4.1-thinking,sharegpt,23,0.5862068965517241,58
kimi-k2-thinking,opus-4.1-thinking,sharegpt,12,0.7068965517241379,58
gpt-oss-120b-thinking,gemini-2.5-pro-thinking,sharegpt,91,0.59,200
opus-4.1-thinking,gemini-2.5-pro-thinking,sharegpt,4,0.6206896551724138,58
qwen-3.0-80b-thinking,gemini-2.5-pro-thinking,sharegpt,80,0.615,200
deepseek-r1-thinking,gemini-2.5-pro-thinking,sharegpt,27,0.36,200
kimi-k2-thinking,gemini-2.5-pro-thinking,sharegpt,16,0.4795945205479452,200
gpt-oss-120b-thinking,qwen-3.0-80b-thinking,sharegpt,11,0.53,200
opus-4.1-thinking,qwen-3.0-80b-thinking,sharegpt,-76,0.8448275862068966,58
gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,sharegpt,-80,0.58,200
deepseek-r1-thinking,qwen-3.0-80b-thinking,sharegpt,-53,0.295,200
kimi-k2-thinking,qwen-3.0-80b-thinking,sharegpt,-64,0.4722562449637389,200
gpt-oss-120b-thinking,deepseek-r1-thinking,sharegpt,64,0.65,200
opus-4.1-thinking,deepseek-r1-thinking,sharegpt,-23,0.896551724137931,58
gemini-2.5-pro-thinking,deepseek-r1-thinking,sharegpt,-27,0.725,200
qwen-3.0-80b-thinking,deepseek-r1-thinking,sharegpt,53,0.7239215686274509,200
kimi-k2-thinking,deepseek-r1-thinking,sharegpt,-11,0.5667736185383244,200
gpt-oss-120b-thinking,kimi-k2-thinking,sharegpt,75,0.6030272108843537,200
opus-4.1-thinking,kimi-k2-thinking,sharegpt,-12,0.6206896551724138,58
gemini-2.5-pro-thinking,kimi-k2-thinking,sharegpt,-16,0.66,200
qwen-3.0-80b-thinking,kimi-k2-thinking,sharegpt,64,0.6732352941176472,200
deepseek-r1-thinking,kimi-k2-thinking,sharegpt,11,0.44,200
gpt-oss-120b-thinking,gpt-4o-mini,sharegpt,-51,0.6666666666666665,200
opus-4.1-thinking,gpt-4o-mini,sharegpt,-138,0.8620689655172413,58
