evaluator,generator,dataset,distance,performance
opus-4.1-thinking,gpt-oss-120b-thinking,wikisum,-87,0.5510204081632653
gemini-2.5-pro-thinking,gpt-oss-120b-thinking,wikisum,-91,0.0204081632653061
qwen-3.0-80b-thinking,gpt-oss-120b-thinking,wikisum,-11,0.0284765068818224
deepseek-r1-thinking,gpt-oss-120b-thinking,wikisum,-64,0.0204081632653061
kimi-k2-thinking,gpt-oss-120b-thinking,wikisum,-75,0.1525216983345062
gpt-oss-120b-thinking,opus-4.1-thinking,wikisum,87,0.8869277440706013
gemini-2.5-pro-thinking,opus-4.1-thinking,wikisum,-4,0.0
qwen-3.0-80b-thinking,opus-4.1-thinking,wikisum,76,0.0138483965014577
deepseek-r1-thinking,opus-4.1-thinking,wikisum,23,0.010204081632653
kimi-k2-thinking,opus-4.1-thinking,wikisum,12,0.2871876555500248
gpt-oss-120b-thinking,gemini-2.5-pro-thinking,wikisum,91,0.8571428571428571
opus-4.1-thinking,gemini-2.5-pro-thinking,wikisum,4,0.4183673469387755
qwen-3.0-80b-thinking,gemini-2.5-pro-thinking,wikisum,80,0.0
deepseek-r1-thinking,gemini-2.5-pro-thinking,wikisum,27,0.0306122448979591
kimi-k2-thinking,gemini-2.5-pro-thinking,wikisum,16,0.1186474589835934
gpt-oss-120b-thinking,qwen-3.0-80b-thinking,wikisum,11,0.7653061224489796
opus-4.1-thinking,qwen-3.0-80b-thinking,wikisum,-76,0.6836734693877551
gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,wikisum,-80,0.0314396028681743
deepseek-r1-thinking,qwen-3.0-80b-thinking,wikisum,-53,0.0408163265306122
kimi-k2-thinking,qwen-3.0-80b-thinking,wikisum,-64,0.2860922146636432
gpt-oss-120b-thinking,deepseek-r1-thinking,wikisum,64,0.8571428571428571
opus-4.1-thinking,deepseek-r1-thinking,wikisum,-23,0.826530612244898
gemini-2.5-pro-thinking,deepseek-r1-thinking,wikisum,-27,0.0510204081632653
qwen-3.0-80b-thinking,deepseek-r1-thinking,wikisum,53,0.1041750033346672
kimi-k2-thinking,deepseek-r1-thinking,wikisum,-11,0.2202257202257202
gpt-oss-120b-thinking,kimi-k2-thinking,wikisum,75,0.826530612244898
opus-4.1-thinking,kimi-k2-thinking,wikisum,-12,0.4387755102040816
gemini-2.5-pro-thinking,kimi-k2-thinking,wikisum,-16,0.0
qwen-3.0-80b-thinking,kimi-k2-thinking,wikisum,64,0.0
deepseek-r1-thinking,kimi-k2-thinking,wikisum,11,0.0510204081632653
gpt-oss-120b-thinking,gpt-4o-mini,wikisum,-51,0.9586321014892444
opus-4.1-thinking,gpt-4o-mini,wikisum,-138,0.9285714285714286
gemini-2.5-pro-thinking,gpt-4o-mini,wikisum,-142,0.0306122448979591
qwen-3.0-80b-thinking,gpt-4o-mini,wikisum,-62,0.0
deepseek-r1-thinking,gpt-4o-mini,wikisum,-115,0.06150027578599
kimi-k2-thinking,gpt-4o-mini,wikisum,-126,0.4033706385780118
gpt-oss-120b-thinking,gpt-4.1-mini,wikisum,21,0.8469387755102041
opus-4.1-thinking,gpt-4.1-mini,wikisum,-66,0.6224489795918368
gemini-2.5-pro-thinking,gpt-4.1-mini,wikisum,-70,0.010204081632653
qwen-3.0-80b-thinking,gpt-4.1-mini,wikisum,10,0.0136054421768707
deepseek-r1-thinking,gpt-4.1-mini,wikisum,-43,0.0306122448979591
kimi-k2-thinking,gpt-4.1-mini,wikisum,-54,0.0408163265306122
gpt-oss-120b-thinking,gpt-4o,wikisum,83,0.9489795918367347
opus-4.1-thinking,gpt-4o,wikisum,-4,0.9489795918367347
gemini-2.5-pro-thinking,gpt-4o,wikisum,-8,0.0306122448979591
qwen-3.0-80b-thinking,gpt-4o,wikisum,72,0.0
deepseek-r1-thinking,gpt-4o,wikisum,19,0.0816326530612244
kimi-k2-thinking,gpt-4o,wikisum,8,0.1521586521586521
gpt-oss-120b-thinking,gpt-4.1,wikisum,54,0.8333333333333334
opus-4.1-thinking,gpt-4.1,wikisum,-33,0.673469387755102
gemini-2.5-pro-thinking,gpt-4.1,wikisum,-37,0.0
qwen-3.0-80b-thinking,gpt-4.1,wikisum,43,0.0
deepseek-r1-thinking,gpt-4.1,wikisum,-10,0.0510204081632653
kimi-k2-thinking,gpt-4.1,wikisum,-21,0.092800538506257
gpt-oss-120b-thinking,haiku-3.5,wikisum,-37,0.8571428571428571
opus-4.1-thinking,haiku-3.5,wikisum,-124,0.7857142857142857
gemini-2.5-pro-thinking,haiku-3.5,wikisum,-128,0.2886544448287789
qwen-3.0-80b-thinking,haiku-3.5,wikisum,-48,0.1858355745398935
deepseek-r1-thinking,haiku-3.5,wikisum,-101,0.1632653061224489
kimi-k2-thinking,haiku-3.5,wikisum,-112,0.2925170068027211
gpt-oss-120b-thinking,sonnet-4.5,wikisum,88,0.846111417539989
opus-4.1-thinking,sonnet-4.5,wikisum,1,0.3673469387755102
gemini-2.5-pro-thinking,sonnet-4.5,wikisum,-3,0.0204081632653061
qwen-3.0-80b-thinking,sonnet-4.5,wikisum,77,0.0437140012799544
deepseek-r1-thinking,sonnet-4.5,wikisum,24,0.010204081632653
kimi-k2-thinking,sonnet-4.5,wikisum,13,0.2865646258503401
gpt-oss-120b-thinking,opus-4.1,wikisum,86,0.8775510204081632
opus-4.1-thinking,opus-4.1,wikisum,-1,0.3775510204081632
gemini-2.5-pro-thinking,opus-4.1,wikisum,-5,0.0
qwen-3.0-80b-thinking,opus-4.1,wikisum,75,0.0
deepseek-r1-thinking,opus-4.1,wikisum,22,0.0204081632653061
kimi-k2-thinking,opus-4.1,wikisum,11,0.2517006802721088
gpt-oss-120b-thinking,gemini-2.0-flash-lite,wikisum,-1,0.9387755102040816
opus-4.1-thinking,gemini-2.0-flash-lite,wikisum,-88,0.7244897959183674
gemini-2.5-pro-thinking,gemini-2.0-flash-lite,wikisum,-92,0.0612244897959183
qwen-3.0-80b-thinking,gemini-2.0-flash-lite,wikisum,-12,0.0228091236494597
deepseek-r1-thinking,gemini-2.0-flash-lite,wikisum,-65,0.0612244897959183
kimi-k2-thinking,gemini-2.0-flash-lite,wikisum,-76,0.2618274582560297
gpt-oss-120b-thinking,gemini-2.0-flash,wikisum,5,0.8775510204081632
opus-4.1-thinking,gemini-2.0-flash,wikisum,-82,0.7346938775510204
gemini-2.5-pro-thinking,gemini-2.0-flash,wikisum,-86,0.0
qwen-3.0-80b-thinking,gemini-2.0-flash,wikisum,-6,0.0
deepseek-r1-thinking,gemini-2.0-flash,wikisum,-59,0.0510204081632653
kimi-k2-thinking,gemini-2.0-flash,wikisum,-70,0.1984882842025699
gpt-oss-120b-thinking,ll-3.1-8b,wikisum,-124,0.9285714285714286
opus-4.1-thinking,ll-3.1-8b,wikisum,-211,1.0
gemini-2.5-pro-thinking,ll-3.1-8b,wikisum,-215,0.5102040816326531
qwen-3.0-80b-thinking,ll-3.1-8b,wikisum,-135,0.5469387755102041
deepseek-r1-thinking,ll-3.1-8b,wikisum,-188,0.4897959183673469
kimi-k2-thinking,ll-3.1-8b,wikisum,-199,0.8070500927643786
gpt-oss-120b-thinking,ll-3.1-70b,wikisum,-72,0.9489795918367347
opus-4.1-thinking,ll-3.1-70b,wikisum,-159,0.8673469387755102
gemini-2.5-pro-thinking,ll-3.1-70b,wikisum,-163,0.0918367346938775
qwen-3.0-80b-thinking,ll-3.1-70b,wikisum,-83,0.1166180758017492
deepseek-r1-thinking,ll-3.1-70b,wikisum,-136,0.1122448979591836
kimi-k2-thinking,ll-3.1-70b,wikisum,-147,0.4800476021674179
gpt-oss-120b-thinking,ll-3.1-405b,wikisum,-24,0.927879626426842
opus-4.1-thinking,ll-3.1-405b,wikisum,-111,0.8571428571428571
gemini-2.5-pro-thinking,ll-3.1-405b,wikisum,-115,0.0510204081632653
qwen-3.0-80b-thinking,ll-3.1-405b,wikisum,-35,0.1028756957328386
deepseek-r1-thinking,ll-3.1-405b,wikisum,-88,0.1020408163265306
kimi-k2-thinking,ll-3.1-405b,wikisum,-99,0.4229591836734694
gpt-oss-120b-thinking,qwen-2.5-72b,wikisum,-69,0.8367346938775511
opus-4.1-thinking,qwen-2.5-72b,wikisum,-156,0.9081632653061223
gemini-2.5-pro-thinking,qwen-2.5-72b,wikisum,-160,0.0724662746454514
qwen-3.0-80b-thinking,qwen-2.5-72b,wikisum,-80,0.0
deepseek-r1-thinking,qwen-2.5-72b,wikisum,-133,0.173469387755102
kimi-k2-thinking,qwen-2.5-72b,wikisum,-144,0.1914480077745383
gpt-oss-120b-thinking,qwen-3.0-80b,wikisum,42,0.8737090362706127
opus-4.1-thinking,qwen-3.0-80b,wikisum,-45,0.5612244897959183
gemini-2.5-pro-thinking,qwen-3.0-80b,wikisum,-49,0.0
qwen-3.0-80b-thinking,qwen-3.0-80b,wikisum,31,0.0
deepseek-r1-thinking,qwen-3.0-80b,wikisum,-22,0.0612244897959183
kimi-k2-thinking,qwen-3.0-80b,wikisum,-33,0.196349347192293
gpt-oss-120b-thinking,deepseek-3.1,wikisum,59,0.8543279380717804
opus-4.1-thinking,deepseek-3.1,wikisum,-28,0.6020408163265306
gemini-2.5-pro-thinking,deepseek-3.1,wikisum,-32,0.0
