evaluator,generator,dataset,distance,performance,n_samples
opus-4.1-thinking,gpt-oss-120b-thinking,wikisum,-87,0.5510204081632653,98
gemini-2.5-pro-thinking,gpt-oss-120b-thinking,wikisum,-91,0.0204081632653061,98
qwen-3.0-80b-thinking,gpt-oss-120b-thinking,wikisum,-11,0.0284765068818224,98
deepseek-r1-thinking,gpt-oss-120b-thinking,wikisum,-64,0.0204081632653061,98
kimi-k2-thinking,gpt-oss-120b-thinking,wikisum,-75,0.1525216983345062,98
gpt-oss-120b-thinking,opus-4.1-thinking,wikisum,87,0.8869277440706013,98
gemini-2.5-pro-thinking,opus-4.1-thinking,wikisum,-4,0.0,98
qwen-3.0-80b-thinking,opus-4.1-thinking,wikisum,76,0.0138483965014577,98
deepseek-r1-thinking,opus-4.1-thinking,wikisum,23,0.010204081632653,98
kimi-k2-thinking,opus-4.1-thinking,wikisum,12,0.2871876555500248,98
gpt-oss-120b-thinking,gemini-2.5-pro-thinking,wikisum,91,0.8571428571428571,98
opus-4.1-thinking,gemini-2.5-pro-thinking,wikisum,4,0.4183673469387755,98
qwen-3.0-80b-thinking,gemini-2.5-pro-thinking,wikisum,80,0.0,98
deepseek-r1-thinking,gemini-2.5-pro-thinking,wikisum,27,0.0306122448979591,98
kimi-k2-thinking,gemini-2.5-pro-thinking,wikisum,16,0.1186474589835934,98
gpt-oss-120b-thinking,qwen-3.0-80b-thinking,wikisum,11,0.7653061224489796,98
opus-4.1-thinking,qwen-3.0-80b-thinking,wikisum,-76,0.6836734693877551,98
gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,wikisum,-80,0.0314396028681743,98
deepseek-r1-thinking,qwen-3.0-80b-thinking,wikisum,-53,0.0408163265306122,98
kimi-k2-thinking,qwen-3.0-80b-thinking,wikisum,-64,0.2860922146636432,98
gpt-oss-120b-thinking,deepseek-r1-thinking,wikisum,64,0.8571428571428571,98
opus-4.1-thinking,deepseek-r1-thinking,wikisum,-23,0.826530612244898,98
gemini-2.5-pro-thinking,deepseek-r1-thinking,wikisum,-27,0.0510204081632653,98
qwen-3.0-80b-thinking,deepseek-r1-thinking,wikisum,53,0.1041750033346672,98
kimi-k2-thinking,deepseek-r1-thinking,wikisum,-11,0.2202257202257202,98
gpt-oss-120b-thinking,kimi-k2-thinking,wikisum,75,0.826530612244898,98
opus-4.1-thinking,kimi-k2-thinking,wikisum,-12,0.4387755102040816,98
gemini-2.5-pro-thinking,kimi-k2-thinking,wikisum,-16,0.0,98
qwen-3.0-80b-thinking,kimi-k2-thinking,wikisum,64,0.0,98
deepseek-r1-thinking,kimi-k2-thinking,wikisum,11,0.0510204081632653,98
gpt-oss-120b-thinking,gpt-4o-mini,wikisum,-51,0.9586321014892444,98
opus-4.1-thinking,gpt-4o-mini,wikisum,-138,0.9285714285714286,98
gemini-2.5-pro-thinking,gpt-4o-mini,wikisum,-142,0.0306122448979591,98
qwen-3.0-80b-thinking,gpt-4o-mini,wikisum,-62,0.0,98
deepseek-r1-thinking,gpt-4o-mini,wikisum,-115,0.06150027578599,98
kimi-k2-thinking,gpt-4o-mini,wikisum,-126,0.4033706385780118,98
gpt-oss-120b-thinking,gpt-4.1-mini,wikisum,21,0.8469387755102041,98
opus-4.1-thinking,gpt-4.1-mini,wikisum,-66,0.6224489795918368,98
gemini-2.5-pro-thinking,gpt-4.1-mini,wikisum,-70,0.010204081632653,98
qwen-3.0-80b-thinking,gpt-4.1-mini,wikisum,10,0.0136054421768707,98
deepseek-r1-thinking,gpt-4.1-mini,wikisum,-43,0.0306122448979591,98
kimi-k2-thinking,gpt-4.1-mini,wikisum,-54,0.0408163265306122,98
gpt-oss-120b-thinking,gpt-4o,wikisum,83,0.9489795918367347,98
opus-4.1-thinking,gpt-4o,wikisum,-4,0.9489795918367347,98
gemini-2.5-pro-thinking,gpt-4o,wikisum,-8,0.0306122448979591,98
qwen-3.0-80b-thinking,gpt-4o,wikisum,72,0.0,98
deepseek-r1-thinking,gpt-4o,wikisum,19,0.0816326530612244,98
kimi-k2-thinking,gpt-4o,wikisum,8,0.1521586521586521,98
gpt-oss-120b-thinking,gpt-4.1,wikisum,54,0.8333333333333334,98
opus-4.1-thinking,gpt-4.1,wikisum,-33,0.673469387755102,98
gemini-2.5-pro-thinking,gpt-4.1,wikisum,-37,0.0,98
qwen-3.0-80b-thinking,gpt-4.1,wikisum,43,0.0,98
deepseek-r1-thinking,gpt-4.1,wikisum,-10,0.0510204081632653,98
kimi-k2-thinking,gpt-4.1,wikisum,-21,0.092800538506257,98
gpt-oss-120b-thinking,haiku-3.5,wikisum,-37,0.8571428571428571,98
opus-4.1-thinking,haiku-3.5,wikisum,-124,0.7857142857142857,98
gemini-2.5-pro-thinking,haiku-3.5,wikisum,-128,0.2886544448287789,98
qwen-3.0-80b-thinking,haiku-3.5,wikisum,-48,0.1858355745398935,98
deepseek-r1-thinking,haiku-3.5,wikisum,-101,0.1632653061224489,98
kimi-k2-thinking,haiku-3.5,wikisum,-112,0.2925170068027211,98
gpt-oss-120b-thinking,sonnet-4.5,wikisum,88,0.846111417539989,98
opus-4.1-thinking,sonnet-4.5,wikisum,1,0.3673469387755102,98
gemini-2.5-pro-thinking,sonnet-4.5,wikisum,-3,0.0204081632653061,98
qwen-3.0-80b-thinking,sonnet-4.5,wikisum,77,0.0437140012799544,98
deepseek-r1-thinking,sonnet-4.5,wikisum,24,0.010204081632653,98
kimi-k2-thinking,sonnet-4.5,wikisum,13,0.2865646258503401,98
gpt-oss-120b-thinking,opus-4.1,wikisum,86,0.8775510204081632,98
opus-4.1-thinking,opus-4.1,wikisum,-1,0.3775510204081632,98
gemini-2.5-pro-thinking,opus-4.1,wikisum,-5,0.0,98
qwen-3.0-80b-thinking,opus-4.1,wikisum,75,0.0,98
deepseek-r1-thinking,opus-4.1,wikisum,22,0.0204081632653061,98
kimi-k2-thinking,opus-4.1,wikisum,11,0.2517006802721088,98
gpt-oss-120b-thinking,gemini-2.0-flash-lite,wikisum,-1,0.9387755102040816,98
opus-4.1-thinking,gemini-2.0-flash-lite,wikisum,-88,0.7244897959183674,98
gemini-2.5-pro-thinking,gemini-2.0-flash-lite,wikisum,-92,0.0612244897959183,98
qwen-3.0-80b-thinking,gemini-2.0-flash-lite,wikisum,-12,0.0228091236494597,98
deepseek-r1-thinking,gemini-2.0-flash-lite,wikisum,-65,0.0612244897959183,98
kimi-k2-thinking,gemini-2.0-flash-lite,wikisum,-76,0.2618274582560297,98
gpt-oss-120b-thinking,gemini-2.0-flash,wikisum,5,0.8775510204081632,98
opus-4.1-thinking,gemini-2.0-flash,wikisum,-82,0.7346938775510204,98
gemini-2.5-pro-thinking,gemini-2.0-flash,wikisum,-86,0.0,98
qwen-3.0-80b-thinking,gemini-2.0-flash,wikisum,-6,0.0,98
deepseek-r1-thinking,gemini-2.0-flash,wikisum,-59,0.0510204081632653,98
kimi-k2-thinking,gemini-2.0-flash,wikisum,-70,0.1984882842025699,98
gpt-oss-120b-thinking,ll-3.1-8b,wikisum,-124,0.9285714285714286,98
opus-4.1-thinking,ll-3.1-8b,wikisum,-211,1.0,98
gemini-2.5-pro-thinking,ll-3.1-8b,wikisum,-215,0.5102040816326531,98
qwen-3.0-80b-thinking,ll-3.1-8b,wikisum,-135,0.5469387755102041,98
deepseek-r1-thinking,ll-3.1-8b,wikisum,-188,0.4897959183673469,98
kimi-k2-thinking,ll-3.1-8b,wikisum,-199,0.8070500927643786,98
gpt-oss-120b-thinking,ll-3.1-70b,wikisum,-72,0.9489795918367347,98
opus-4.1-thinking,ll-3.1-70b,wikisum,-159,0.8673469387755102,98
gemini-2.5-pro-thinking,ll-3.1-70b,wikisum,-163,0.0918367346938775,98
qwen-3.0-80b-thinking,ll-3.1-70b,wikisum,-83,0.1166180758017492,98
deepseek-r1-thinking,ll-3.1-70b,wikisum,-136,0.1122448979591836,98
kimi-k2-thinking,ll-3.1-70b,wikisum,-147,0.4800476021674179,98
gpt-oss-120b-thinking,ll-3.1-405b,wikisum,-24,0.927879626426842,98
opus-4.1-thinking,ll-3.1-405b,wikisum,-111,0.8571428571428571,98
gemini-2.5-pro-thinking,ll-3.1-405b,wikisum,-115,0.0510204081632653,98
qwen-3.0-80b-thinking,ll-3.1-405b,wikisum,-35,0.1028756957328386,98
deepseek-r1-thinking,ll-3.1-405b,wikisum,-88,0.1020408163265306,98
kimi-k2-thinking,ll-3.1-405b,wikisum,-99,0.4229591836734694,98
gpt-oss-120b-thinking,qwen-2.5-72b,wikisum,-69,0.8367346938775511,98
opus-4.1-thinking,qwen-2.5-72b,wikisum,-156,0.9081632653061223,98
gemini-2.5-pro-thinking,qwen-2.5-72b,wikisum,-160,0.0724662746454514,98
qwen-3.0-80b-thinking,qwen-2.5-72b,wikisum,-80,0.0,98
deepseek-r1-thinking,qwen-2.5-72b,wikisum,-133,0.173469387755102,98
kimi-k2-thinking,qwen-2.5-72b,wikisum,-144,0.1914480077745383,98
gpt-oss-120b-thinking,qwen-3.0-80b,wikisum,42,0.8737090362706127,98
opus-4.1-thinking,qwen-3.0-80b,wikisum,-45,0.5612244897959183,98
gemini-2.5-pro-thinking,qwen-3.0-80b,wikisum,-49,0.0,98
qwen-3.0-80b-thinking,qwen-3.0-80b,wikisum,31,0.0,98
deepseek-r1-thinking,qwen-3.0-80b,wikisum,-22,0.0612244897959183,98
kimi-k2-thinking,qwen-3.0-80b,wikisum,-33,0.196349347192293,98
gpt-oss-120b-thinking,deepseek-3.1,wikisum,59,0.8543279380717804,98
opus-4.1-thinking,deepseek-3.1,wikisum,-28,0.6020408163265306,98
gemini-2.5-pro-thinking,deepseek-3.1,wikisum,-32,0.0,98
qwen-3.0-80b-thinking,deepseek-3.1,wikisum,48,0.0,98
deepseek-r1-thinking,deepseek-3.1,wikisum,-5,0.0306122448979591,98
kimi-k2-thinking,deepseek-3.1,wikisum,-16,0.1795338825185246,98
gpt-oss-120b-thinking,kimi-k2,wikisum,63,0.9081632653061223,98
opus-4.1-thinking,kimi-k2,wikisum,-24,0.8469387755102041,98
gemini-2.5-pro-thinking,kimi-k2,wikisum,-28,0.0306122448979591,98
qwen-3.0-80b-thinking,kimi-k2,wikisum,52,0.0612244897959183,98
deepseek-r1-thinking,kimi-k2,wikisum,-1,0.1020408163265306,98
kimi-k2-thinking,kimi-k2,wikisum,-12,0.1587110633727175,98
opus-4.1-thinking,gpt-oss-120b-thinking,sharegpt,-87,0.955,200
gemini-2.5-pro-thinking,gpt-oss-120b-thinking,sharegpt,-91,0.065,200
qwen-3.0-80b-thinking,gpt-oss-120b-thinking,sharegpt,-11,0.0918315645326942,200
deepseek-r1-thinking,gpt-oss-120b-thinking,sharegpt,-64,0.08,200
kimi-k2-thinking,gpt-oss-120b-thinking,sharegpt,-75,0.3125571504518873,200
gpt-oss-120b-thinking,opus-4.1-thinking,sharegpt,87,0.7855172413793103,58
gemini-2.5-pro-thinking,opus-4.1-thinking,sharegpt,-4,0.0689655172413793,58
qwen-3.0-80b-thinking,opus-4.1-thinking,sharegpt,76,0.1593466424682396,58
deepseek-r1-thinking,opus-4.1-thinking,sharegpt,23,0.0862068965517241,58
kimi-k2-thinking,opus-4.1-thinking,sharegpt,12,0.2443140132061629,58
gpt-oss-120b-thinking,gemini-2.5-pro-thinking,sharegpt,91,0.8113888888888888,200
opus-4.1-thinking,gemini-2.5-pro-thinking,sharegpt,4,0.895,200
qwen-3.0-80b-thinking,gemini-2.5-pro-thinking,sharegpt,80,0.0380325203252032,200
deepseek-r1-thinking,gemini-2.5-pro-thinking,sharegpt,27,0.03,200
kimi-k2-thinking,gemini-2.5-pro-thinking,sharegpt,16,0.1348358208955224,200
gpt-oss-120b-thinking,qwen-3.0-80b-thinking,sharegpt,11,0.6974482758620689,200
opus-4.1-thinking,qwen-3.0-80b-thinking,sharegpt,-76,0.975,200
gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,sharegpt,-80,0.02,200
deepseek-r1-thinking,qwen-3.0-80b-thinking,sharegpt,-53,0.055,200
kimi-k2-thinking,qwen-3.0-80b-thinking,sharegpt,-64,0.2928199428389965,200
gpt-oss-120b-thinking,deepseek-r1-thinking,sharegpt,64,0.7847871148459383,200
opus-4.1-thinking,deepseek-r1-thinking,sharegpt,-23,0.975,200
gemini-2.5-pro-thinking,deepseek-r1-thinking,sharegpt,-27,0.03,200
qwen-3.0-80b-thinking,deepseek-r1-thinking,sharegpt,53,0.1199626517273576,200
kimi-k2-thinking,deepseek-r1-thinking,sharegpt,-11,0.2303147482014388,200
gpt-oss-120b-thinking,kimi-k2-thinking,sharegpt,75,0.8657442528735632,200
opus-4.1-thinking,kimi-k2-thinking,sharegpt,-12,0.7574,200
gemini-2.5-pro-thinking,kimi-k2-thinking,sharegpt,-16,0.02,200
qwen-3.0-80b-thinking,kimi-k2-thinking,sharegpt,64,0.0522423706324635,200
deepseek-r1-thinking,kimi-k2-thinking,sharegpt,11,0.03,200
gpt-oss-120b-thinking,gpt-4o-mini,sharegpt,-51,0.8630361305361305,200
opus-4.1-thinking,gpt-4o-mini,sharegpt,-138,0.985,200
gemini-2.5-pro-thinking,gpt-4o-mini,sharegpt,-142,0.1,200
qwen-3.0-80b-thinking,gpt-4o-mini,sharegpt,-62,0.1211620635747785,200
deepseek-r1-thinking,gpt-4o-mini,sharegpt,-115,0.105,200
kimi-k2-thinking,gpt-4o-mini,sharegpt,-126,0.3873369565217391,200
gpt-oss-120b-thinking,gpt-4.1-mini,sharegpt,21,0.8134293706293707,200
opus-4.1-thinking,gpt-4.1-mini,sharegpt,-66,0.73,200
gemini-2.5-pro-thinking,gpt-4.1-mini,sharegpt,-70,0.015,200
qwen-3.0-80b-thinking,gpt-4.1-mini,sharegpt,10,0.0304527712724434,200
deepseek-r1-thinking,gpt-4.1-mini,sharegpt,-43,0.0301020408163265,200
kimi-k2-thinking,gpt-4.1-mini,sharegpt,-54,0.1781021276595744,200
gpt-oss-120b-thinking,gpt-4o,sharegpt,83,0.885430985915493,200
opus-4.1-thinking,gpt-4o,sharegpt,-4,0.95,200
gemini-2.5-pro-thinking,gpt-4o,sharegpt,-8,0.025,200
qwen-3.0-80b-thinking,gpt-4o,sharegpt,72,0.0294321859370403,200
deepseek-r1-thinking,gpt-4o,sharegpt,19,0.065,200
kimi-k2-thinking,gpt-4o,sharegpt,8,0.3834153846153846,200
gpt-oss-120b-thinking,gpt-4.1,sharegpt,54,0.7849300699300699,200
opus-4.1-thinking,gpt-4.1,sharegpt,-33,0.8,200
gemini-2.5-pro-thinking,gpt-4.1,sharegpt,-37,0.015,200
qwen-3.0-80b-thinking,gpt-4.1,sharegpt,43,0.0355889724310777,200
deepseek-r1-thinking,gpt-4.1,sharegpt,-10,0.0203103448275862,200
kimi-k2-thinking,gpt-4.1,sharegpt,-21,0.1715151515151515,200
gpt-oss-120b-thinking,haiku-3.5,sharegpt,-37,0.8655319148936171,200
opus-4.1-thinking,haiku-3.5,sharegpt,-124,0.71,200
gemini-2.5-pro-thinking,haiku-3.5,sharegpt,-128,0.105,200
qwen-3.0-80b-thinking,haiku-3.5,sharegpt,-48,0.1433986928104575,200
deepseek-r1-thinking,haiku-3.5,sharegpt,-101,0.11,200
kimi-k2-thinking,haiku-3.5,sharegpt,-112,0.407158273381295,200
