evaluator,variance
gpt-4o-mini,0.0017185977482229414
gpt-4.1-mini,0.052517123187810565
gpt-4o,0.005630659908020829
gpt-4.1,0.008812938909057008
haiku-3.5,0.08267012687427916
sonnet-3.7,0.02083835293240975
sonnet-4.5,0.004620935850330518
opus-4.1,0.0011557331153274704
gemini-2.0-flash-lite,0.05741908925334838
gemini-2.0-flash,0.03715537553256597
ll-3.1-8b,0.029374140724717262
ll-3.1-70b,0.02408454515960047
ll-3.1-405b,0.019921379918986164
qwen-2.5-7b,0.0024046916605778
qwen-2.5-72b,0.01187949959095283
qwen-3.0-80b,0.00963688374209226
deepseek-3.1,0.019348690976991028
kimi-k2,0.05581240956079329
