evaluator,generator,dataset,distance,performance
gpt-4.1-mini,gpt-4o-mini,wikisum,-72,0.9897959183673468
gpt-4o,gpt-4o-mini,wikisum,-134,0.5816326530612245
gpt-4.1,gpt-4o-mini,wikisum,-105,0.9897959183673468
haiku-3.5,gpt-4o-mini,wikisum,-14,0.5510204081632653
sonnet-4.5,gpt-4o-mini,wikisum,-139,1.0
opus-4.1,gpt-4o-mini,wikisum,-137,0.9591836734693876
gemini-2.0-flash-lite,gpt-4o-mini,wikisum,-50,0.3775510204081632
gemini-2.0-flash,gpt-4o-mini,wikisum,-56,0.336734693877551
ll-3.1-8b,gpt-4o-mini,wikisum,73,0.3571428571428571
ll-3.1-70b,gpt-4o-mini,wikisum,21,0.3265306122448979
ll-3.1-405b,gpt-4o-mini,wikisum,-27,0.5510204081632653
qwen-2.5-72b,gpt-4o-mini,wikisum,18,0.6020408163265306
qwen-3.0-80b,gpt-4o-mini,wikisum,-93,1.0
deepseek-3.1,gpt-4o-mini,wikisum,-110,0.8367346938775511
kimi-k2,gpt-4o-mini,wikisum,-114,0.9387755102040816
gpt-4o-mini,gpt-4.1-mini,wikisum,72,0.0816326530612244
gpt-4o,gpt-4.1-mini,wikisum,-62,0.2040816326530612
gpt-4.1,gpt-4.1-mini,wikisum,-33,0.4183673469387755
haiku-3.5,gpt-4.1-mini,wikisum,58,0.0306122448979591
sonnet-4.5,gpt-4.1-mini,wikisum,-67,0.6836734693877551
opus-4.1,gpt-4.1-mini,wikisum,-65,0.6836734693877551
gemini-2.0-flash-lite,gpt-4.1-mini,wikisum,22,0.0
gemini-2.0-flash,gpt-4.1-mini,wikisum,16,0.0408163265306122
ll-3.1-8b,gpt-4.1-mini,wikisum,145,0.1530612244897959
ll-3.1-70b,gpt-4.1-mini,wikisum,93,0.0204081632653061
ll-3.1-405b,gpt-4.1-mini,wikisum,45,0.0204081632653061
qwen-2.5-72b,gpt-4.1-mini,wikisum,90,0.010204081632653
qwen-3.0-80b,gpt-4.1-mini,wikisum,-21,0.9285714285714286
deepseek-3.1,gpt-4.1-mini,wikisum,-38,0.1020408163265306
kimi-k2,gpt-4.1-mini,wikisum,-42,0.4591836734693877
gpt-4o-mini,gpt-4o,wikisum,134,0.3979591836734694
gpt-4.1-mini,gpt-4o,wikisum,62,1.0
gpt-4.1,gpt-4o,wikisum,29,0.9897959183673468
haiku-3.5,gpt-4o,wikisum,120,0.5102040816326531
sonnet-4.5,gpt-4o,wikisum,-5,1.0
opus-4.1,gpt-4o,wikisum,-3,0.9489795918367347
gemini-2.0-flash-lite,gpt-4o,wikisum,84,0.3469387755102041
gemini-2.0-flash,gpt-4o,wikisum,78,0.3775510204081632
ll-3.1-8b,gpt-4o,wikisum,207,0.3571428571428571
ll-3.1-70b,gpt-4o,wikisum,155,0.3469387755102041
ll-3.1-405b,gpt-4o,wikisum,107,0.5510204081632653
