evaluator,wikisum/training_set_1-20+test_set_1-30,sharegpt/english_26+english2_74,pku_saferlhf/mismatch_1-20+test_mismatch_1-20+test-mismatch_10_100-200,bigcodebench/instruct_1-50
gpt-4o-mini,0.3733493397358943,0.453235294117647,0.4658823529411765,0.4435294117647058
gpt-4.1-mini,0.8439375750300121,0.4576470588235294,0.2994117647058824,0.5047058823529412
gpt-4o,0.4423769507803121,0.4667647058823529,0.6094117647058823,0.4776470588235295
gpt-4.1,0.8157262905162064,0.5982352941176471,0.6452941176470589,0.7047058823529412
haiku-3.5,0.4705882352941176,0.2935294117647058,0.178235294117647,0.8364705882352942
sonnet-3.7,0.505532867561633,0.4591176470588236,0.5170588235294118,0.7782352941176471
sonnet-4.5,0.8769507803121247,0.736764705882353,0.8788235294117647,0.8029411764705883
opus-4.1,0.8541416566626651,0.7723529411764706,0.8217647058823528,0.8061440533726767
gemini-2.0-flash-lite,0.3067226890756302,0.7102941176470587,0.15,0.4717647058823529
gemini-2.0-flash,0.3319327731092437,0.8002941176470588,0.5941176470588235,0.616470588235294
ll-3.1-8b,0.3013205282112844,0.3411764705882353,0.1017647058823529,0.5194117647058824
ll-3.1-70b,0.2911164465786314,0.3373529411764706,0.5058823529411766,0.6276470588235294
ll-3.1-405b,0.4195678271308523,0.317222395807638,0.4752941176470588,0.6541176470588235
qwen-2.5-7b,0.4543817527010804,0.4164705882352941,0.5341176470588236,0.4700000000000001
qwen-2.5-72b,0.4693877551020408,0.4794117647058823,0.7041176470588235,0.5276470588235295
qwen-3.0-80b,0.9675870348139254,0.8926470588235295,0.9282352941176472,0.7429411764705883
deepseek-3.1,0.5606242496998799,0.796470588235294,0.64,0.4682352941176471
kimi-k2,0.7869147659063626,0.8938235294117647,0.9028506787330316,0.4005882352941176
