evaluator,performance,n_samples
gpt-4o-mini,0.43810536262697847,8466
gpt-4.1-mini,0.5113394755492559,8466
gpt-4o,0.4927947082447437,8466
gpt-4.1,0.671863926293409,8466
haiku-3.5,0.41424521615875265,8466
sonnet-3.7,0.5439661891516278,8466
sonnet-4.5,0.8061658398299079,8466
opus-4.1,0.805155314284615,8466
gemini-2.0-flash-lite,0.4704701157571462,8466
gemini-2.0-flash,0.6298133711315852,8466
ll-3.1-8b,0.32104890148830617,8466
ll-3.1-70b,0.4203874320812662,8466
ll-3.1-405b,0.436753619861324,8466
qwen-2.5-7b,0.4583038034490905,8466
qwen-2.5-72b,0.5322466335931963,8466
qwen-3.0-80b,0.884479092841956,8466
deepseek-3.1,0.6527285613040397,8466
kimi-k2,0.7755547075178543,8466
