evaluator,wikisum/training_set_1-20+test_set_1-30,sharegpt/english_26+english2_74,pku_saferlhf/mismatch_1-20+test_mismatch_1-20+test-mismatch_10_100-200,bigcodebench/instruct_1-50
gpt-4o-mini,1764.0,3600.0,1800.0,1800.0
gpt-4.1-mini,1764.0,3600.0,1800.0,1800.0
gpt-4o,1764.0,3600.0,1800.0,1800.0
gpt-4.1,1764.0,3600.0,1800.0,1800.0
haiku-3.5,1764.0,3600.0,1800.0,1800.0
sonnet-3.7,1764.0,3600.0,1800.0,1800.0
sonnet-4.5,1764.0,3600.0,1800.0,1800.0
opus-4.1,1764.0,3600.0,1800.0,1800.0
gemini-2.0-flash-lite,1764.0,3600.0,1800.0,1800.0
gemini-2.0-flash,1764.0,3600.0,1800.0,1800.0
ll-3.1-8b,1764.0,3600.0,1800.0,1800.0
ll-3.1-70b,1764.0,3600.0,1800.0,1800.0
ll-3.1-405b,1764.0,3600.0,1800.0,1800.0
qwen-2.5-7b,1764.0,3600.0,1800.0,1800.0
qwen-2.5-72b,1764.0,3600.0,1800.0,1800.0
qwen-3.0-80b,1764.0,3600.0,1800.0,1800.0
deepseek-3.1,1764.0,3600.0,1800.0,1800.0
kimi-k2,1764.0,3600.0,1800.0,1800.0
