evaluator,wikisum/training_set_1-20+test_set_1-30,sharegpt/english_26+english2_74,pku_saferlhf/mismatch_1-20+test_mismatch_1-20+test-mismatch_10_100-200,bigcodebench/instruct_1-50
gpt-4o-mini,0.0066026410564226,0.0142647058823529,0.0041176470588235,0.0167647058823529
gpt-4.1-mini,0.0183073229291717,0.0383823529411764,0.0176470588235294,0.0629411764705882
gpt-4o,0.0009003601440575,0.0300964197121234,0.0994117647058823,0.033235294117647
gpt-4.1,0.1386554621848739,0.0547058823529411,0.1076470588235294,0.0926470588235294
haiku-3.5,0.0048019207683073,0.0139469782433521,0.0573529411764706,0.0088235294117646
sonnet-3.7,0.0440839643232464,0.0504647058823529,0.1347058823529412,0.0638235294117647
sonnet-4.5,0.0706317009562444,0.0605559939044111,0.1120588235294117,0.0364646464646464
opus-4.1,0.1130521173986836,0.073879049153908,0.1536425339366516,0.104571037490285
gemini-2.0-flash-lite,0.0024009603841536,0.0160294117647058,-0.3035294117647059,0.0141176470588235
gemini-2.0-flash,0.0009003601440576,0.0523529411764706,0.0158823529411764,0.0576470588235293
ll-3.1-8b,-0.1077430972388955,-0.0967647058823529,-0.3261764705882353,-0.0297058823529411
ll-3.1-70b,-0.0558223289315726,-0.0219117647058823,0.0155882352941176,0.0376470588235293
ll-3.1-405b,0.0444177671068427,-0.0166176470588235,-0.0373529411764705,0.0361764705882352
qwen-2.5-7b,0.0042016806722688,-0.0011764705882353,0.0605882352941176,-0.0023529411764706
qwen-2.5-72b,0.0099039615846338,0.0126470588235294,0.1023529411764705,-0.0017647058823529
qwen-3.0-80b,0.010204081632653,0.0519117647058823,0.0191176470588235,0.0844117647058824
deepseek-3.1,0.0138055222088835,0.0191176470588234,0.0788235294117647,-0.0352941176470588
kimi-k2,0.0744297719087634,0.0732035755478661,0.1399999999999999,-0.0111764705882353
