evaluator,wikisum/training_set_1-20+test_set_1-30,sharegpt/english_26+english2_74,pku_saferlhf/mismatch_1-20+test_mismatch_1-20+test-mismatch_10_100-200,bigcodebench/instruct_1-50
gpt-4o-mini,0.5066026410564226,0.514264705882353,0.5041176470588236,0.5167647058823529
gpt-4.1-mini,0.5183073229291717,0.5383823529411764,0.5176470588235295,0.5629411764705883
gpt-4o,0.5009003601440576,0.5300964197121234,0.5994117647058823,0.533235294117647
gpt-4.1,0.6386554621848739,0.5547058823529412,0.6076470588235294,0.5926470588235294
haiku-3.5,0.5048019207683073,0.5139469782433521,0.5573529411764706,0.5088235294117647
sonnet-3.7,0.5440839643232465,0.550464705882353,0.6347058823529412,0.5638235294117647
sonnet-4.5,0.5706317009562445,0.5605559939044111,0.6120588235294118,0.5364646464646464
opus-4.1,0.6130521173986836,0.5738790491539081,0.6536425339366516,0.6045710374902851
gemini-2.0-flash-lite,0.5024009603841536,0.5160294117647058,0.1964705882352941,0.5141176470588236
gemini-2.0-flash,0.5009003601440577,0.5523529411764706,0.5158823529411765,0.5576470588235294
ll-3.1-8b,0.3922569027611044,0.403235294117647,0.1738235294117647,0.4702941176470588
ll-3.1-70b,0.4441776710684273,0.4780882352941176,0.5155882352941177,0.5376470588235294
ll-3.1-405b,0.5444177671068428,0.4833823529411765,0.4626470588235294,0.5361764705882353
qwen-2.5-7b,0.5042016806722689,0.4988235294117646,0.5605882352941176,0.4976470588235294
qwen-2.5-72b,0.5099039615846338,0.5126470588235295,0.6023529411764705,0.498235294117647
qwen-3.0-80b,0.5102040816326531,0.5519117647058823,0.5191176470588236,0.5844117647058824
deepseek-3.1,0.5138055222088835,0.5191176470588235,0.5788235294117647,0.4647058823529412
kimi-k2,0.5744297719087634,0.5732035755478662,0.6399999999999999,0.4888235294117646
