evaluator,performance,n_samples
gpt-4o-mini,0.5112213560122845,8964.0
gpt-4.1-mini,0.5351996220174817,8964.0
gpt-4o,0.5389000504395488,8964.0
gpt-4.1,0.5894755492558469,8964.0
haiku-3.5,0.519834600286723,8964.0
sonnet-3.7,0.5688074515193159,8964.0
sonnet-4.5,0.5680430772570281,8964.0
opus-4.1,0.6037676194348319,8964.0
gemini-2.0-flash-lite,0.44879518072289154,8964.0
gemini-2.0-flash,0.5359673990077959,8964.0
ll-3.1-8b,0.3684738955823293,8964.0
ll-3.1-70b,0.490904795653201,8964.0
ll-3.1-405b,0.5018308528230568,8964.0
qwen-2.5-7b,0.5120481927710844,8964.0
qwen-2.5-72b,0.5272265532719111,8964.0
qwen-3.0-80b,0.5436451689109378,8964.0
deepseek-3.1,0.5191353649893693,8964.0
kimi-k2,0.5699140275056396,8964.0
