evaluator,variance
gpt-4o-mini,3.6442574478770755e-05
gpt-4.1-mini,0.0004566890824457032
gpt-4o,0.001733020793481248
gpt-4.1,0.0012160939375750295
haiku-3.5,0.000593903859212644
sonnet-3.7,0.0017451698548187457
sonnet-4.5,0.0009943773380719015
opus-4.1,0.0010805219435884377
gemini-2.0-flash-lite,0.02474479654631961
gemini-2.0-flash,0.0007662031799514508
ll-3.1-8b,0.016578743655325273
ll-3.1-70b,0.0017021680543465902
ll-3.1-405b,0.0015919529298814357
qwen-2.5-7b,0.0009190988159969875
qwen-2.5-72b,0.002315485410851014
qwen-3.0-80b,0.0011433990545497916
deepseek-3.1,0.002184550371769357
kimi-k2,0.0038387889074119196
