evaluator,generator,dataset,distance,performance,n_samples
gpt-4.1-mini,gpt-4o-mini,wikisum,-72,0.010204081632653,98
gpt-4o,gpt-4o-mini,wikisum,-134,0.0,98
gpt-4.1,gpt-4o-mini,wikisum,-105,0.2142857142857142,98
haiku-3.5,gpt-4o-mini,wikisum,-14,0.0,98
sonnet-4.5,gpt-4o-mini,wikisum,-139,0.1224489795918367,98
opus-4.1,gpt-4o-mini,wikisum,-137,0.2346938775510204,98
gemini-2.0-flash-lite,gpt-4o-mini,wikisum,-50,0.0,98
gemini-2.0-flash,gpt-4o-mini,wikisum,-56,0.0,98
ll-3.1-8b,gpt-4o-mini,wikisum,73,0.2448979591836734,98
ll-3.1-70b,gpt-4o-mini,wikisum,21,1.0,98
ll-3.1-405b,gpt-4o-mini,wikisum,-27,0.336734693877551,98
qwen-2.5-72b,gpt-4o-mini,wikisum,18,0.0,98
qwen-3.0-80b,gpt-4o-mini,wikisum,-93,0.0,98
deepseek-3.1,gpt-4o-mini,wikisum,-110,0.0,98
kimi-k2,gpt-4o-mini,wikisum,-114,0.1428571428571428,98
gpt-4o-mini,gpt-4.1-mini,wikisum,72,0.0,98
gpt-4o,gpt-4.1-mini,wikisum,-62,0.0,98
gpt-4.1,gpt-4.1-mini,wikisum,-33,0.0,98
haiku-3.5,gpt-4.1-mini,wikisum,58,0.0,98
sonnet-4.5,gpt-4.1-mini,wikisum,-67,0.0,98
opus-4.1,gpt-4.1-mini,wikisum,-65,0.0306122448979591,98
gemini-2.0-flash-lite,gpt-4.1-mini,wikisum,22,0.0,98
gemini-2.0-flash,gpt-4.1-mini,wikisum,16,0.0,98
ll-3.1-8b,gpt-4.1-mini,wikisum,145,0.0510204081632653,98
ll-3.1-70b,gpt-4.1-mini,wikisum,93,0.673469387755102,98
ll-3.1-405b,gpt-4.1-mini,wikisum,45,0.0,98
qwen-2.5-72b,gpt-4.1-mini,wikisum,90,0.0,98
qwen-3.0-80b,gpt-4.1-mini,wikisum,-21,0.0,98
deepseek-3.1,gpt-4.1-mini,wikisum,-38,0.0,98
kimi-k2,gpt-4.1-mini,wikisum,-42,0.0408163265306122,98
gpt-4o-mini,gpt-4o,wikisum,134,0.0,98
gpt-4.1-mini,gpt-4o,wikisum,62,0.010204081632653,98
gpt-4.1,gpt-4o,wikisum,29,0.2448979591836734,98
haiku-3.5,gpt-4o,wikisum,120,0.0,98
sonnet-4.5,gpt-4o,wikisum,-5,0.0408163265306122,98
opus-4.1,gpt-4o,wikisum,-3,0.2244897959183673,98
gemini-2.0-flash-lite,gpt-4o,wikisum,84,0.0,98
gemini-2.0-flash,gpt-4o,wikisum,78,0.0,98
ll-3.1-8b,gpt-4o,wikisum,207,0.1326530612244898,98
ll-3.1-70b,gpt-4o,wikisum,155,1.0,98
ll-3.1-405b,gpt-4o,wikisum,107,0.4387755102040816,98
qwen-2.5-72b,gpt-4o,wikisum,152,0.0,98
qwen-3.0-80b,gpt-4o,wikisum,41,0.0,98
deepseek-3.1,gpt-4o,wikisum,24,0.0,98
kimi-k2,gpt-4o,wikisum,20,0.1224489795918367,98
