evaluator,bigcodebench/instruct_1-50
gpt-oss-120b-thinking,0.7693652345960729
opus-4.1-thinking,0.795537988581467
gemini-2.5-pro-thinking,0.8982608695652174
qwen-3.0-80b-thinking,0.4973473869126043
deepseek-r1-thinking,0.5110759771629337
kimi-k2-thinking,0.7711530288912267
gpt-4o-mini,0.4930434782608696
gpt-4.1-mini,0.491304347826087
gpt-4o,0.4834782608695652
gpt-4.1,0.6582608695652175
haiku-3.5,0.5526086956521739
sonnet-3.7,0.6330434782608696
sonnet-4.5,0.6799999999999999
opus-4.1,0.8338410726609484
gemini-2.0-flash-lite,0.4713043478260869
gemini-2.0-flash,0.5808695652173913
ll-3.1-8b,0.488695652173913
ll-3.1-70b,0.4821739130434782
ll-3.1-405b,0.5413768115942029
qwen-2.5-7b,0.4656521739130434
qwen-2.5-72b,0.5273913043478261
qwen-3.0-80b,0.7330434782608696
deepseek-3.1,0.5165217391304348
kimi-k2,0.4908695652173913
