evaluator,performance,n_samples
gpt-oss-120b-thinking,0.7693652345960729,2300
opus-4.1-thinking,0.795537988581467,2300
gemini-2.5-pro-thinking,0.8982608695652174,2300
qwen-3.0-80b-thinking,0.4973473869126043,2300
deepseek-r1-thinking,0.5110759771629337,2300
kimi-k2-thinking,0.7711530288912267,2300
gpt-4o-mini,0.4930434782608696,2300
gpt-4.1-mini,0.49130434782608706,2300
gpt-4o,0.4834782608695652,2300
gpt-4.1,0.6582608695652175,2300
haiku-3.5,0.5526086956521739,2300
sonnet-3.7,0.6330434782608696,2300
sonnet-4.5,0.6799999999999999,2300
opus-4.1,0.8338410726609484,2300
gemini-2.0-flash-lite,0.4713043478260869,2300
gemini-2.0-flash,0.5808695652173913,2300
ll-3.1-8b,0.4886956521739129,2300
ll-3.1-70b,0.4821739130434782,2300
ll-3.1-405b,0.5413768115942029,2300
qwen-2.5-7b,0.46565217391304337,2300
qwen-2.5-72b,0.5273913043478261,2300
qwen-3.0-80b,0.7330434782608696,2300
deepseek-3.1,0.5165217391304348,2300
kimi-k2,0.4908695652173913,2300
