evaluator,generator,dataset,distance,performance,n_samples
opus-4.1-thinking,gpt-oss-120b-thinking,bigcodebench,-87,0.84,100
gemini-2.5-pro-thinking,gpt-oss-120b-thinking,bigcodebench,-91,0.45,100
qwen-3.0-80b-thinking,gpt-oss-120b-thinking,bigcodebench,-11,0.16,100
deepseek-r1-thinking,gpt-oss-120b-thinking,bigcodebench,-64,0.27,100
kimi-k2-thinking,gpt-oss-120b-thinking,bigcodebench,-75,0.3225806451612903,100
gpt-4o-mini,gpt-oss-120b-thinking,bigcodebench,51,0.45,100
gpt-4.1-mini,gpt-oss-120b-thinking,bigcodebench,-21,0.05,100
gpt-4o,gpt-oss-120b-thinking,bigcodebench,-83,0.27,100
gpt-4.1,gpt-oss-120b-thinking,bigcodebench,-54,0.45,100
haiku-3.5,gpt-oss-120b-thinking,bigcodebench,37,0.19,100
sonnet-4.5,gpt-oss-120b-thinking,bigcodebench,-88,0.5,100
opus-4.1,gpt-oss-120b-thinking,bigcodebench,-86,0.69,100
gemini-2.0-flash-lite,gpt-oss-120b-thinking,bigcodebench,1,0.03,100
gemini-2.0-flash,gpt-oss-120b-thinking,bigcodebench,-5,0.14,100
ll-3.1-8b,gpt-oss-120b-thinking,bigcodebench,124,0.43,100
ll-3.1-70b,gpt-oss-120b-thinking,bigcodebench,72,0.49,100
ll-3.1-405b,gpt-oss-120b-thinking,bigcodebench,24,0.44,100
qwen-2.5-72b,gpt-oss-120b-thinking,bigcodebench,69,0.33,100
qwen-3.0-80b,gpt-oss-120b-thinking,bigcodebench,-42,0.35,100
deepseek-3.1,gpt-oss-120b-thinking,bigcodebench,-59,0.17,100
kimi-k2,gpt-oss-120b-thinking,bigcodebench,-63,0.32,100
gpt-oss-120b-thinking,opus-4.1-thinking,bigcodebench,87,0.7,100
gemini-2.5-pro-thinking,opus-4.1-thinking,bigcodebench,-4,0.84,100
qwen-3.0-80b-thinking,opus-4.1-thinking,bigcodebench,76,0.34,100
deepseek-r1-thinking,opus-4.1-thinking,bigcodebench,23,0.38,100
kimi-k2-thinking,opus-4.1-thinking,bigcodebench,12,0.6881720430107527,100
gpt-4o-mini,opus-4.1-thinking,bigcodebench,138,0.49,100
gpt-4.1-mini,opus-4.1-thinking,bigcodebench,66,0.36,100
gpt-4o,opus-4.1-thinking,bigcodebench,4,0.46,100
gpt-4.1,opus-4.1-thinking,bigcodebench,33,0.51,100
haiku-3.5,opus-4.1-thinking,bigcodebench,124,0.43,100
sonnet-4.5,opus-4.1-thinking,bigcodebench,-1,0.56,100
opus-4.1,opus-4.1-thinking,bigcodebench,1,0.5959595959595959,100
gemini-2.0-flash-lite,opus-4.1-thinking,bigcodebench,88,0.3,100
gemini-2.0-flash,opus-4.1-thinking,bigcodebench,82,0.48,100
ll-3.1-8b,opus-4.1-thinking,bigcodebench,211,0.48,100
ll-3.1-70b,opus-4.1-thinking,bigcodebench,159,0.45,100
ll-3.1-405b,opus-4.1-thinking,bigcodebench,111,0.46,100
qwen-2.5-72b,opus-4.1-thinking,bigcodebench,156,0.41,100
qwen-3.0-80b,opus-4.1-thinking,bigcodebench,45,0.7,100
deepseek-3.1,opus-4.1-thinking,bigcodebench,28,0.42,100
kimi-k2,opus-4.1-thinking,bigcodebench,24,0.4,100
gpt-oss-120b-thinking,gemini-2.5-pro-thinking,bigcodebench,91,0.59,100
opus-4.1-thinking,gemini-2.5-pro-thinking,bigcodebench,4,0.7878787878787878,100
qwen-3.0-80b-thinking,gemini-2.5-pro-thinking,bigcodebench,80,0.12,100
deepseek-r1-thinking,gemini-2.5-pro-thinking,bigcodebench,27,0.31,100
kimi-k2-thinking,gemini-2.5-pro-thinking,bigcodebench,16,0.3058823529411765,100
gpt-4o-mini,gemini-2.5-pro-thinking,bigcodebench,142,0.36,100
gpt-4.1-mini,gemini-2.5-pro-thinking,bigcodebench,70,0.08,100
gpt-4o,gemini-2.5-pro-thinking,bigcodebench,8,0.27,100
gpt-4.1,gemini-2.5-pro-thinking,bigcodebench,37,0.51,100
haiku-3.5,gemini-2.5-pro-thinking,bigcodebench,128,0.3,100
sonnet-4.5,gemini-2.5-pro-thinking,bigcodebench,3,0.43,100
opus-4.1,gemini-2.5-pro-thinking,bigcodebench,5,0.6464646464646465,100
gemini-2.0-flash-lite,gemini-2.5-pro-thinking,bigcodebench,92,0.04,100
gemini-2.0-flash,gemini-2.5-pro-thinking,bigcodebench,86,0.1,100
ll-3.1-8b,gemini-2.5-pro-thinking,bigcodebench,215,0.32,100
ll-3.1-70b,gemini-2.5-pro-thinking,bigcodebench,163,0.34,100
ll-3.1-405b,gemini-2.5-pro-thinking,bigcodebench,115,0.19,100
qwen-2.5-72b,gemini-2.5-pro-thinking,bigcodebench,160,0.35,100
qwen-3.0-80b,gemini-2.5-pro-thinking,bigcodebench,49,0.42,100
deepseek-3.1,gemini-2.5-pro-thinking,bigcodebench,32,0.19,100
kimi-k2,gemini-2.5-pro-thinking,bigcodebench,28,0.16,100
gpt-oss-120b-thinking,qwen-3.0-80b-thinking,bigcodebench,11,0.83,100
opus-4.1-thinking,qwen-3.0-80b-thinking,bigcodebench,-76,0.74,100
gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,bigcodebench,-80,0.96,100
deepseek-r1-thinking,qwen-3.0-80b-thinking,bigcodebench,-53,0.55,100
kimi-k2-thinking,qwen-3.0-80b-thinking,bigcodebench,-64,0.9494949494949496,100
gpt-4o-mini,qwen-3.0-80b-thinking,bigcodebench,62,0.54,100
gpt-4.1-mini,qwen-3.0-80b-thinking,bigcodebench,-10,0.7,100
gpt-4o,qwen-3.0-80b-thinking,bigcodebench,-72,0.6,100
gpt-4.1,qwen-3.0-80b-thinking,bigcodebench,-43,0.66,100
haiku-3.5,qwen-3.0-80b-thinking,bigcodebench,48,0.65,100
sonnet-4.5,qwen-3.0-80b-thinking,bigcodebench,-77,0.62,100
opus-4.1,qwen-3.0-80b-thinking,bigcodebench,-75,0.92,100
gemini-2.0-flash-lite,qwen-3.0-80b-thinking,bigcodebench,12,0.59,100
gemini-2.0-flash,qwen-3.0-80b-thinking,bigcodebench,6,0.73,100
ll-3.1-8b,qwen-3.0-80b-thinking,bigcodebench,135,0.56,100
ll-3.1-70b,qwen-3.0-80b-thinking,bigcodebench,83,0.57,100
ll-3.1-405b,qwen-3.0-80b-thinking,bigcodebench,35,0.81,100
qwen-2.5-72b,qwen-3.0-80b-thinking,bigcodebench,80,0.75,100
qwen-3.0-80b,qwen-3.0-80b-thinking,bigcodebench,-31,0.67,100
deepseek-3.1,qwen-3.0-80b-thinking,bigcodebench,-48,0.75,100
kimi-k2,qwen-3.0-80b-thinking,bigcodebench,-52,0.57,100
gpt-oss-120b-thinking,deepseek-r1-thinking,bigcodebench,64,0.93,100
opus-4.1-thinking,deepseek-r1-thinking,bigcodebench,-23,0.69,100
gemini-2.5-pro-thinking,deepseek-r1-thinking,bigcodebench,-27,0.88,100
qwen-3.0-80b-thinking,deepseek-r1-thinking,bigcodebench,53,0.7171717171717171,100
kimi-k2-thinking,deepseek-r1-thinking,bigcodebench,-11,0.8829787234042553,100
gpt-4o-mini,deepseek-r1-thinking,bigcodebench,115,0.56,100
gpt-4.1-mini,deepseek-r1-thinking,bigcodebench,43,0.57,100
gpt-4o,deepseek-r1-thinking,bigcodebench,-19,0.58,100
gpt-4.1,deepseek-r1-thinking,bigcodebench,10,0.64,100
haiku-3.5,deepseek-r1-thinking,bigcodebench,101,0.51,100
sonnet-4.5,deepseek-r1-thinking,bigcodebench,-24,0.52,100
opus-4.1,deepseek-r1-thinking,bigcodebench,-22,0.6868686868686867,100
gemini-2.0-flash-lite,deepseek-r1-thinking,bigcodebench,65,0.57,100
gemini-2.0-flash,deepseek-r1-thinking,bigcodebench,59,0.7,100
