evaluator,wikisum/training_set_1-20+test_set_1-30,sharegpt/english_26+english2_74,pku_saferlhf/mismatch_1-20+test_mismatch_1-20+test-mismatch_10_100-200,bigcodebench/instruct_1-50
gpt-oss-120b-thinking,2254,4458,2300,2300
opus-4.1-thinking,2254,1334,2300,2300
gemini-2.5-pro-thinking,2254,4458,2300,2300
qwen-3.0-80b-thinking,2254,4458,2300,2300
deepseek-r1-thinking,2254,4458,2300,2300
kimi-k2-thinking,2254,4458,2300,2300
gpt-4o-mini,2254,4600,2300,2300
gpt-4.1-mini,2254,4600,2300,2300
gpt-4o,2254,4600,2300,2300
gpt-4.1,2254,4600,2300,2300
haiku-3.5,2254,4600,2300,2300
sonnet-3.7,2254,4600,2300,2300
sonnet-4.5,2254,4600,2300,2300
opus-4.1,2254,4600,2300,2300
gemini-2.0-flash-lite,2254,4600,2300,2300
gemini-2.0-flash,2254,4600,2300,2300
ll-3.1-8b,2254,4600,2300,2300
ll-3.1-70b,2254,4600,2300,2300
ll-3.1-405b,2254,4600,2300,2300
qwen-2.5-7b,2254,4600,2300,2300
qwen-2.5-72b,2254,4600,2300,2300
qwen-3.0-80b,2254,4600,2300,2300
deepseek-3.1,2254,4600,2300,2300
kimi-k2,2254,4600,2300,2300
