evaluator,pku_saferlhf/mismatch_1-20+test_mismatch_1-20+test-mismatch_10_100-200,bigcodebench/instruct_1-50
gpt-oss-120b-thinking,2400.0,2400.0
opus-4.1-thinking,2400.0,2400.0
gemini-2.5-pro-thinking,2400.0,2400.0
qwen-3.0-80b-thinking,2400.0,2400.0
deepseek-r1-thinking,2400.0,2400.0
kimi-k2-thinking,2400.0,2400.0
gpt-4o-mini,2400.0,2400.0
gpt-4.1-mini,2400.0,2400.0
gpt-4o,2400.0,2400.0
gpt-4.1,2400.0,2400.0
haiku-3.5,2400.0,2400.0
sonnet-3.7,2400.0,2400.0
sonnet-4.5,2400.0,2400.0
opus-4.1,2400.0,2400.0
gemini-2.0-flash-lite,2400.0,2400.0
gemini-2.0-flash,2400.0,2400.0
ll-3.1-8b,2400.0,2400.0
ll-3.1-70b,2400.0,2400.0
ll-3.1-405b,2400.0,2400.0
qwen-2.5-7b,2400.0,2400.0
qwen-2.5-72b,2400.0,2400.0
qwen-3.0-80b,2400.0,2400.0
deepseek-3.1,2400.0,2400.0
kimi-k2,2400.0,2400.0
