evaluator,performance,n_samples
gpt-oss-120b-thinking,0.6218434190774007,4800.0
opus-4.1-thinking,0.6119003995949076,4800.0
gemini-2.5-pro-thinking,0.5844729907773387,4800.0
qwen-3.0-80b-thinking,0.541495619955859,4800.0
deepseek-r1-thinking,0.5379506433986272,4800.0
kimi-k2-thinking,0.6049257100171411,4800.0
gpt-4o-mini,0.5404347826086956,4800.0
gpt-4.1-mini,0.5252173913043479,4800.0
gpt-4o,0.5318156036691505,4800.0
gpt-4.1,0.6278260869565218,4800.0
haiku-3.5,0.4969202898550725,4800.0
sonnet-3.7,0.5860061315496099,4800.0
sonnet-4.5,0.5629347826086957,4800.0
opus-4.1,0.5859285765730569,4800.0
gemini-2.0-flash-lite,0.3617391304347826,4800.0
gemini-2.0-flash,0.5226086956521739,4800.0
ll-3.1-8b,0.47608695652173905,4800.0
ll-3.1-70b,0.4350000000000001,4800.0
ll-3.1-405b,0.5210009057971015,4800.0
qwen-2.5-7b,0.5297826086956523,4800.0
qwen-2.5-72b,0.5942391304347826,4800.0
qwen-3.0-80b,0.552391304347826,4800.0
deepseek-3.1,0.5350010979358806,4800.0
kimi-k2,0.5192391304347826,4800.0
