evaluator,variance
gpt-oss-120b-thinking,0.015494410748535786
opus-4.1-thinking,0.02276252851584729
gemini-2.5-pro-thinking,0.00031167709054803067
qwen-3.0-80b-thinking,8.098375925688961e-05
deepseek-r1-thinking,0.0014166710976233903
kimi-k2-thinking,0.0028263228232426893
gpt-4o-mini,0.0017740075614366682
gpt-4.1-mini,0.00010293005671077481
gpt-4o,0.001257659019747945
gpt-4.1,0.0005036862003780752
haiku-3.5,0.01203497427011133
sonnet-3.7,0.0329718030900723
sonnet-4.5,0.001919305293005673
opus-4.1,0.02099753394878766
gemini-2.0-flash-lite,0.03835245746691871
gemini-2.0-flash,0.004956616257088859
ll-3.1-8b,0.0046163516068052956
ll-3.1-70b,0.01086209829867675
ll-3.1-405b,7.621203692764136e-05
qwen-2.5-7b,0.0012718336483931978
qwen-2.5-72b,0.001032159735349714
qwen-3.0-80b,0.004616351606805295
deepseek-3.1,0.0004765328163728505
kimi-k2,0.005153331758034037
