evaluator,wikisum/training_set_1-20+test_set_1-30,sharegpt/english_26+english2_74,pku_saferlhf/mismatch_1-20+test_mismatch_1-20+test-mismatch_10_100-200,bigcodebench/instruct_1-50
gpt-oss-120b-thinking,2352.0,4658.0,2400.0,2400.0
opus-4.1-thinking,2352.0,4658.0,2400.0,2400.0
gemini-2.5-pro-thinking,2352.0,4658.0,2400.0,2400.0
qwen-3.0-80b-thinking,2352.0,4658.0,2400.0,2400.0
deepseek-r1-thinking,2352.0,4658.0,2400.0,2400.0
kimi-k2-thinking,2352.0,4658.0,2400.0,2400.0
gpt-4o-mini,5766.0,4800.0,2400.0,2400.0
gpt-4.1-mini,3580.0,4800.0,2400.0,2400.0
gpt-4o,3934.0,4800.0,2400.0,2400.0
gpt-4.1,3552.0,4800.0,2400.0,2400.0
haiku-3.5,3036.0,4800.0,2400.0,2400.0
sonnet-3.7,3036.0,4800.0,2400.0,2400.0
sonnet-4.5,3036.0,4800.0,2400.0,2400.0
opus-4.1,3036.0,4800.0,2400.0,2400.0
gemini-2.0-flash-lite,5636.0,4800.0,2400.0,2400.0
gemini-2.0-flash,5484.0,4800.0,2400.0,2400.0
ll-3.1-8b,4424.0,4800.0,2400.0,2400.0
ll-3.1-70b,4114.0,4800.0,2400.0,2400.0
ll-3.1-405b,3972.0,4800.0,2400.0,2400.0
qwen-2.5-7b,4364.0,4800.0,2400.0,2400.0
qwen-2.5-72b,4228.0,4800.0,2400.0,2400.0
qwen-3.0-80b,4326.0,4800.0,2400.0,2400.0
deepseek-3.1,3934.0,4800.0,2400.0,2400.0
kimi-k2,4288.0,4800.0,2400.0,2400.0
