evaluator,wikisum/training_set_1-20+test_set_1-30,sharegpt/english_26+english2_74,pku_saferlhf/mismatch_1-20+test_mismatch_1-20+test-mismatch_10_100-200,bigcodebench/instruct_1-50
gpt-oss-120b-thinking,0.0344713717818327,0.0347915368555344,0.2098616295469841,0.0338252086078172
opus-4.1-thinking,0.16282165039929,0.114864658847047,0.2185834078854673,0.0052173913043478
gemini-2.5-pro-thinking,0.0355969191636104,0.0524775112443778,0.0969565217391305,0.0719894598155468
qwen-3.0-80b-thinking,-0.0070688607471642,0.0565946669546522,0.047858942957911,0.0351322969538069
deepseek-r1-thinking,0.0181958799971222,0.0039720446598059,0.0645652173913043,0.0113360694059497
kimi-k2-thinking,0.0333409699042833,0.0925035481774958,0.1425177492225546,0.0673336708117277
gpt-4o-mini,0.0164538185540695,0.0796739130434782,0.0702173913043477,0.0106521739130435
gpt-4.1-mini,0.0079025478641846,0.0321739130434782,0.0180434782608696,0.0323913043478261
gpt-4o,0.001979713963008,0.038169943270141,0.0568920769035184,0.0067391304347825
gpt-4.1,0.107562524875402,0.1377173913043479,0.1436956521739131,0.1119565217391304
haiku-3.5,-0.0161771230231222,0.0218478260869565,0.0744927536231884,-0.0806521739130434
sonnet-3.7,0.0639561198567463,0.0226675676268195,0.2144035674470457,-0.042391304347826
sonnet-4.5,0.0413576225092735,0.107995652173913,0.0939130434782609,0.0319565217391304
opus-4.1,0.2366619811342827,0.1859130434782608,0.1883920675071151,-0.0165349143610012
gemini-2.0-flash-lite,-0.0100128445487591,-0.0076086956521739,-0.2767391304347826,0.0002173913043478
gemini-2.0-flash,0.0118672981380312,0.0870652173913043,-0.0271739130434782,0.0723913043478261
ll-3.1-8b,-0.0782166997425964,-0.0391304347826086,-0.0719565217391304,0.0241304347826086
ll-3.1-70b,0.0269516111907415,-0.0233695652173913,0.0086956521739131,-0.138695652173913
ll-3.1-405b,0.0486825780171754,0.0805807027992853,0.0271739130434782,0.0148278985507246
qwen-2.5-7b,0.0025335942626771,-0.0017391304347826,0.055,0.0045652173913043
qwen-2.5-72b,-0.0482898008701808,0.0443478260869565,0.1169565217391304,0.0715217391304348
qwen-3.0-80b,0.0093269691684769,0.031195652173913,0.0043478260869564,0.1004347826086956
deepseek-3.1,0.005391897465556,0.0334782608695651,0.0195652173913043,0.0504369784804566
kimi-k2,0.0486415753784695,0.0190461401952085,0.07,-0.0315217391304347
