evaluator,wikisum/training_set_1-20+test_set_1-30,sharegpt/english_26+english2_74,pku_saferlhf/mismatch_1-20+test_mismatch_1-20+test-mismatch_10_100-200,bigcodebench/instruct_1-50
gpt-oss-120b-thinking,0.5344713717818328,0.5347915368555345,0.7098616295469842,0.5338252086078172
opus-4.1-thinking,0.6628216503992901,0.614864658847047,0.7185834078854674,0.5052173913043478
gemini-2.5-pro-thinking,0.5355969191636104,0.5524775112443778,0.5969565217391305,0.5719894598155468
qwen-3.0-80b-thinking,0.4929311392528357,0.5565946669546522,0.547858942957911,0.5351322969538069
deepseek-r1-thinking,0.5181958799971222,0.5039720446598059,0.5645652173913044,0.5113360694059498
kimi-k2-thinking,0.5333409699042834,0.5925035481774958,0.6425177492225547,0.5673336708117277
gpt-4o-mini,0.5164538185540696,0.5796739130434783,0.5702173913043478,0.5106521739130435
gpt-4.1-mini,0.5079025478641847,0.5321739130434783,0.5180434782608696,0.5323913043478261
gpt-4o,0.501979713963008,0.538169943270141,0.5568920769035185,0.5067391304347826
gpt-4.1,0.6075625248754021,0.6377173913043479,0.6436956521739131,0.6119565217391304
haiku-3.5,0.4838228769768777,0.5218478260869566,0.5744927536231884,0.4193478260869565
sonnet-3.7,0.5639561198567463,0.5226675676268195,0.7144035674470457,0.457608695652174
sonnet-4.5,0.5413576225092736,0.607995652173913,0.5939130434782609,0.5319565217391304
opus-4.1,0.7366619811342827,0.6859130434782609,0.6883920675071151,0.4834650856389987
gemini-2.0-flash-lite,0.4899871554512408,0.4923913043478261,0.2232608695652174,0.5002173913043478
gemini-2.0-flash,0.5118672981380312,0.5870652173913044,0.4728260869565217,0.5723913043478261
ll-3.1-8b,0.4217833002574035,0.4608695652173913,0.4280434782608695,0.5241304347826087
ll-3.1-70b,0.5269516111907415,0.4766304347826087,0.5086956521739131,0.361304347826087
ll-3.1-405b,0.5486825780171755,0.5805807027992853,0.5271739130434783,0.5148278985507246
qwen-2.5-7b,0.5025335942626772,0.4982608695652173,0.555,0.5045652173913043
qwen-2.5-72b,0.4517101991298191,0.5443478260869565,0.6169565217391304,0.5715217391304348
qwen-3.0-80b,0.509326969168477,0.5311956521739131,0.5043478260869565,0.6004347826086956
deepseek-3.1,0.505391897465556,0.5334782608695652,0.5195652173913043,0.5504369784804567
kimi-k2,0.5486415753784696,0.5190461401952086,0.5700000000000001,0.4684782608695652
