evaluator,variance
gpt-oss-120b-thinking,0.007700129599482901
opus-4.1-thinking,0.008212792361243709
gemini-2.5-pro-thinking,0.000696402077088184
qwen-3.0-80b-thinking,0.0007958299840766407
deepseek-r1-thinking,0.0007465494650669295
kimi-k2-thinking,0.0021135726837080188
gpt-4o-mini,0.0012768668817942281
gpt-4.1-mini,0.00014143444921987003
gpt-4o,0.0006834570557448571
gpt-4.1,0.00032841337255777467
haiku-3.5,0.00426430353405475
sonnet-3.7,0.011882325858037184
sonnet-4.5,0.0014258299814556101
opus-4.1,0.012666708017853119
gemini-2.0-flash-lite,0.018370891894770355
gemini-2.0-flash,0.0028351028099087394
ll-3.1-8b,0.0021961712249427548
ll-3.1-70b,0.005529749815944173
ll-3.1-405b,0.0008295327406473103
qwen-2.5-7b,0.0007148207017220347
qwen-2.5-72b,0.0048598038238811215
qwen-3.0-80b,0.001962602582887257
deepseek-3.1,0.00037108522043319037
kimi-k2,0.0019348582369684147
