evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0.45,0.49,0.36,0.54,0.56,0.45,,0.54,0.51,0.52,0.46,0.5,0.49,0.49,0.51,0.47,0.55,0.44,0.46,0.53,0.48,0.48,0.53,0.53
gpt-4.1-mini,0.05,0.36,0.08,0.7,0.57,0.23,0.66,,0.56,0.48,0.43,0.42,0.34,0.31,0.53,0.53,0.82,0.64,0.62,0.73,0.63,0.43,0.6,0.58
gpt-4o,0.27,0.46,0.27,0.6,0.58,0.33,0.51,0.49,,0.48,0.43,0.46,0.46,0.44,0.46,0.5,0.73,0.53,0.46,0.63,0.59,0.45,0.5,0.49
gpt-4.1,0.45,0.51,0.51,0.66,0.64,0.5,0.78,0.51,0.66,,0.61,0.6,0.6,0.6,0.66,0.69,0.95,0.9,0.81,0.86,0.86,0.57,0.61,0.6
haiku-3.5,0.19,0.43,0.3,0.65,0.51,0.41,0.71,0.64,0.69,0.58,,0.47,0.37,0.34,0.66,0.62,0.78,0.68,0.62,0.71,0.73,0.57,0.46,0.59
sonnet-3.7,0.45,0.44,0.32,0.74,0.66,0.61,0.65,0.83,0.75,0.73,0.6,,0.48,0.41,0.63,0.65,0.8,0.71,0.59,0.72,0.78,0.7,0.67,0.64
sonnet-4.5,0.5,0.56,0.43,0.62,0.52,0.54,0.87,0.63,0.77,0.65,0.74,0.68,,0.49,0.65,0.65,0.9,0.8,0.8,0.93,0.86,0.67,0.65,0.73
opus-4.1,0.69,0.5959595959595959,0.6464646464646465,0.92,0.6868686868686867,0.79,0.97,0.88,0.8787878787878788,0.95,0.8061224489795918,0.7,0.41414141414141414,,0.86,0.88,1.0,0.99,0.94,0.97,0.92,0.86,0.9,0.93
gemini-2.0-flash-lite,0.03,0.3,0.04,0.59,0.57,0.19,0.75,0.5,0.73,0.43,0.36,0.4,0.25,0.15,,0.45,0.78,0.58,0.57,0.7,0.7,0.49,0.61,0.67
gemini-2.0-flash,0.14,0.48,0.1,0.73,0.7,0.33,0.82,0.5,0.7,0.46,0.53,0.55,0.37,0.31,0.56,,0.89,0.77,0.74,0.85,0.83,0.63,0.68,0.69
ll-3.1-8b,0.43,0.48,0.32,0.56,0.5,0.51,0.49,0.51,0.5,0.51,0.47,0.49,0.47,0.45,0.5,0.51,,0.49,0.5,0.5,0.5,0.51,0.51,0.53
ll-3.1-70b,0.49,0.45,0.34,0.57,0.54,0.44,0.49,0.45,0.47,0.47,0.47,0.46,0.46,0.49,0.48,0.48,0.56,,0.47,0.5,0.52,0.48,0.5,0.51
ll-3.1-405b,0.44,0.46,0.19,0.81,0.5416666666666666,0.46,0.47,0.67,0.53,0.6,0.5,0.44,0.32,0.28,0.6,0.59,0.73,0.57,,0.67,0.58,0.62,0.67,0.71
qwen-2.5-7b,0.41,0.41,0.27,0.62,0.54,0.45,0.51,0.5,0.52,0.54,0.41,0.44,0.44,0.36,0.46,0.43,0.52,0.45,0.45,,0.49,0.44,0.53,0.52
qwen-2.5-72b,0.33,0.41,0.35,0.75,0.54,0.49,0.49,0.63,0.51,0.57,0.43,0.43,0.39,0.36,0.69,0.64,0.7,0.58,0.51,0.57,,0.55,0.63,0.58
qwen-3.0-80b,0.35,0.7,0.42,0.67,0.95,0.43,0.97,0.58,0.84,0.6,0.77,0.71,0.56,0.61,0.78,0.75,0.95,0.94,0.95,0.92,0.92,,0.7,0.79
deepseek-3.1,0.17,0.42,0.19,0.75,0.65,0.31,0.62,0.59,0.62,0.55,0.44,0.49,0.45,0.41,0.6,0.54,0.67,0.53,0.52,0.64,0.6,0.53,,0.59
kimi-k2,0.32,0.4,0.16,0.57,0.62,0.35,0.6,0.39,0.59,0.45,0.56,0.5,0.47,0.42,0.44,0.38,0.78,0.6,0.61,0.64,0.54,0.46,0.44,
