evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0.95,0.99,0.86,0.94,0.94,0.89,,0.96,0.99,0.94,0.96,0.98,0.99,0.99,0.97,0.95,0.93,0.92,0.96,0.97,0.98,0.96,0.95,0.97
gpt-4.1-mini,0.55,0.84,0.58,0.72,0.81,0.61,0.84,,0.86,0.8,0.79,0.84,0.72,0.73,0.75,0.77,0.66,0.8,0.86,0.75,0.83,0.73,0.72,0.72
gpt-4o,0.77,0.9,0.77,0.8,0.88,0.73,0.89,0.83,,0.86,0.87,0.88,0.88,0.9,0.84,0.8,0.69,0.85,0.82,0.81,0.85,0.81,0.84,0.83
gpt-4.1,0.89,0.97,0.89,0.84,0.86,0.88,0.72,0.95,0.82,,0.87,0.9,0.9,0.9,0.8,0.79,0.55,0.6,0.69,0.64,0.64,0.93,0.85,0.86
haiku-3.5,0.63,0.75,0.76,0.73,0.81,0.71,0.65,0.68,0.67,0.6,,0.61,0.71,0.72,0.6,0.66,0.6,0.64,0.62,0.65,0.65,0.67,0.66,0.67
sonnet-3.7,0.47,0.56,0.46,0.36,0.52,0.37,0.43,0.37,0.43,0.37,0.44,,0.5,0.57,0.29,0.35,0.48,0.49,0.49,0.44,0.4,0.38,0.33,0.3
sonnet-4.5,0.02,0.08,0.07,0.12,0.06,0.04,0.37,0.15,0.27,0.15,0.24,0.2,,0.09,0.15,0.15,0.4,0.3,0.3,0.43,0.36,0.17,0.17,0.23
opus-4.1,0.23,0.36363636363636365,0.29292929292929293,0.44,0.24242424242424243,0.33,0.47,0.42,0.3838383838383838,0.45,0.3877551020408163,0.34,0.25252525252525254,,0.4,0.42,0.5,0.49,0.46,0.49,0.42,0.4,0.46,0.43
gemini-2.0-flash-lite,0.51,0.42,0.46,0.27,0.49,0.41,0.39,0.3,0.37,0.27,0.42,0.42,0.39,0.47,,0.23,0.38,0.36,0.37,0.38,0.4,0.33,0.23,0.33
gemini-2.0-flash,0.62,0.68,0.58,0.47,0.64,0.53,0.52,0.42,0.48,0.4,0.59,0.51,0.59,0.59,0.28,,0.51,0.49,0.46,0.51,0.51,0.37,0.4,0.41
ll-3.1-8b,0.93,0.98,0.82,0.92,0.96,0.97,0.99,0.99,0.98,0.99,0.97,0.99,0.97,0.95,1.0,0.99,,0.99,1.0,1.0,1.0,0.99,0.99,0.97
ll-3.1-70b,0.95,0.93,0.84,0.85,0.94,0.86,0.93,0.85,0.93,0.93,0.97,0.96,0.96,0.97,0.9,0.96,0.92,,0.97,0.96,0.94,0.9,0.9,0.89
ll-3.1-405b,0.84,0.94,0.69,0.61,0.9583333333333334,0.84,0.87,0.71,0.87,0.86,0.96,0.9,0.82,0.76,0.84,0.85,0.77,0.89,,0.83,0.86,0.8,0.77,0.77
qwen-2.5-7b,0.91,0.89,0.75,0.84,0.92,0.87,0.93,0.88,0.9,0.92,0.87,0.86,0.86,0.86,0.9,0.87,0.86,0.91,0.91,,0.95,0.84,0.89,0.88
qwen-2.5-72b,0.83,0.91,0.85,0.73,0.94,0.89,0.97,0.83,0.97,0.87,0.91,0.93,0.89,0.86,0.79,0.78,0.8,0.88,0.95,0.89,,0.85,0.85,0.84
qwen-3.0-80b,0.35,0.44,0.32,0.31,0.51,0.35,0.51,0.3,0.5,0.46,0.59,0.55,0.54,0.51,0.38,0.37,0.51,0.5,0.51,0.52,0.54,,0.38,0.45
deepseek-3.1,0.67,0.84,0.69,0.63,0.81,0.69,0.84,0.65,0.78,0.79,0.9,0.89,0.83,0.89,0.76,0.82,0.77,0.89,0.88,0.8,0.84,0.87,,0.77
kimi-k2,0.7,0.76,0.64,0.69,0.72,0.65,0.8,0.71,0.73,0.71,0.68,0.8,0.81,0.8,0.64,0.7,0.62,0.74,0.75,0.72,0.74,0.72,0.76,
