evaluator,performance,n_samples
gpt-4o-mini,0.4994117647058824,1700
gpt-4.1-mini,0.5476470588235294,1700
gpt-4o,0.5064705882352942,1700
gpt-4.1,0.6982352941176471,1700
haiku-3.5,0.6011764705882352,1700
sonnet-3.7,0.6670588235294118,1700
sonnet-4.5,0.7335294117647059,1700
opus-4.1,0.8734736318769931,1700
gemini-2.0-flash-lite,0.536470588235294,1700
gemini-2.0-flash,0.6399999999999998,1700
ll-3.1-8b,0.4964705882352941,1700
ll-3.1-70b,0.48588235294117643,1700
ll-3.1-405b,0.5617647058823529,1700
qwen-2.5-7b,0.47117647058823536,1700
qwen-2.5-72b,0.5447058823529413,1700
qwen-3.0-80b,0.7847058823529411,1700
deepseek-3.1,0.5523529411764706,1700
kimi-k2,0.5217647058823529,1700
