evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.48411841360729146,0.9204107626128211,0.7643534344026669,0.48411841360729146,1.0,0.9204107626128211,0.9204107626128211,0.9204107626128211,0.6172994135892521,0.36820161732669576,0.2712530240738354,0.48411841360729146,0.6172994135892521,0.7643534344026669,0.7643534344026669,0.6172994135892521,0.6172994135892521
gpt-4.1-mini,0.0017899303914868528,,0.2712530240738354,0.7643534344026669,0.1933479044956428,0.13321061920721386,0.0017899303914868528,0.00018314322488235366,0.6172994135892521,0.6172994135892521,6.147806615047975e-11,0.006637120515926128,0.02097873567785172,4.69241261264223e-06,0.012032975725363479,0.1933479044956428,0.056887933640980784,0.13321061920721386
gpt-4o,0.9204107626128211,0.9204107626128211,,0.7643534344026669,0.1933479044956428,0.48411841360729146,0.48411841360729146,0.2712530240738354,0.48411841360729146,1.0,4.69241261264223e-06,0.6172994135892521,0.48411841360729146,0.012032975725363479,0.08862608011406767,0.36820161732669576,1.0,0.9204107626128211
gpt-4.1,1.5905328473786136e-08,0.9204107626128211,0.0017899303914868528,,0.03520020021770479,0.056887933640980784,0.056887933640980784,0.056887933640980784,0.0017899303914868528,0.00018314322488235366,1.252324512538536e-22,3.0632901754379845e-17,2.7027625220487884e-10,8.284451872080075e-14,8.284451872080075e-14,0.1933479044956428,0.03520020021770479,0.056887933640980784
haiku-3.5,3.2160015295666335e-05,0.006637120515926128,0.00018314322488235366,0.13321061920721386,,0.6172994135892521,0.012032975725363479,0.0017899303914868528,0.0017899303914868528,0.02097873567785172,1.5905328473786136e-08,0.00040877716742681523,0.02097873567785172,3.2160015295666335e-05,4.69241261264223e-06,0.1933479044956428,0.48411841360729146,0.08862608011406767
sonnet-3.7,0.0035176417229701587,1.3097998650070218e-11,5.636282034205402e-07,4.69241261264223e-06,0.056887933640980784,,0.7643534344026669,0.08862608011406767,0.012032975725363479,0.0035176417229701587,1.1159089057251951e-09,3.2160015295666335e-05,0.08862608011406767,1.2579150016678854e-05,1.5905328473786136e-08,7.85013964559367e-05,0.0008737198369123724,0.006637120515926128
sonnet-4.5,1.312981552203585e-14,0.012032975725363479,5.513580775850052e-08,0.0035176417229701587,1.6673626494501009e-06,0.00040877716742681523,,0.9204107626128211,0.0035176417229701587,0.0035176417229701587,3.0632901754379845e-17,1.1159089057251951e-09,1.1159089057251951e-09,2.726143732806038e-20,8.284451872080075e-14,0.0008737198369123724,0.0035176417229701587,4.69241261264223e-06
opus-4.1,2.630866896130179e-25,1.9113575360277063e-15,1.9113575360277063e-15,1.252324512538536e-22,2.7027625220487884e-10,7.85013964559367e-05,0.08862608011406767,,8.284451872080075e-14,1.9113575360277063e-15,1.5777218104420236e-30,1.5934990285464438e-28,2.005959521923613e-21,2.630866896130179e-25,3.208563668244003e-19,8.284451872080075e-14,3.0632901754379845e-17,2.726143732806038e-20
gemini-2.0-flash-lite,5.636282034205402e-07,1.0,4.69241261264223e-06,0.1933479044956428,0.006637120515926128,0.056887933640980784,5.636282034205402e-07,4.825421503937195e-13,,0.36820161732669576,1.5905328473786136e-08,0.13321061920721386,0.1933479044956428,7.85013964559367e-05,7.85013964559367e-05,0.9204107626128211,0.03520020021770479,0.0008737198369123724
gemini-2.0-flash,6.147806615047975e-11,1.0,7.85013964559367e-05,0.48411841360729146,0.6172994135892521,0.36820161732669576,0.012032975725363479,0.00018314322488235366,0.2712530240738354,,2.540853335492305e-16,5.513580775850052e-08,1.6673626494501009e-06,4.825421503937195e-13,1.3097998650070218e-11,0.012032975725363479,0.00040877716742681523,0.00018314322488235366
ll-3.1-8b,0.9204107626128211,0.9204107626128211,1.0,0.9204107626128211,0.6172994135892521,0.9204107626128211,0.6172994135892521,0.36820161732669576,1.0,0.9204107626128211,,0.9204107626128211,1.0,1.0,1.0,0.9204107626128211,0.9204107626128211,0.6172994135892521
ll-3.1-70b,0.9204107626128211,0.36820161732669576,0.6172994135892521,0.6172994135892521,0.6172994135892521,0.48411841360729146,0.48411841360729146,0.9204107626128211,0.7643534344026669,0.7643534344026669,0.2712530240738354,,0.6172994135892521,1.0,0.7643534344026669,0.7643534344026669,1.0,0.9204107626128211
ll-3.1-405b,0.6172994135892521,0.0008737198369123724,0.6172994135892521,0.056887933640980784,1.0,0.2712530240738354,0.00040877716742681523,1.2579150016678854e-05,0.056887933640980784,0.08862608011406767,4.69241261264223e-06,0.1933479044956428,,0.0008737198369123724,0.13321061920721386,0.02097873567785172,0.0008737198369123724,3.2160015295666335e-05
qwen-2.5-7b,0.9204107626128211,1.0,0.7643534344026669,0.48411841360729146,0.08862608011406767,0.2712530240738354,0.2712530240738354,0.006637120515926128,0.48411841360729146,0.1933479044956428,0.7643534344026669,0.36820161732669576,0.36820161732669576,,0.9204107626128211,0.2712530240738354,0.6172994135892521,0.7643534344026669
qwen-2.5-72b,0.9204107626128211,0.012032975725363479,0.9204107626128211,0.1933479044956428,0.1933479044956428,0.1933479044956428,0.03520020021770479,0.006637120515926128,0.00018314322488235366,0.006637120515926128,7.85013964559367e-05,0.13321061920721386,0.9204107626128211,0.1933479044956428,,0.36820161732669576,0.012032975725363479,0.13321061920721386
qwen-3.0-80b,2.630866896130179e-25,0.13321061920721386,2.6059358186561004e-12,0.056887933640980784,5.513580775850052e-08,3.2160015295666335e-05,0.2712530240738354,0.03520020021770479,1.5905328473786136e-08,5.636282034205402e-07,1.252324512538536e-22,2.005959521923613e-21,1.252324512538536e-22,3.208563668244003e-19,3.208563668244003e-19,,7.85013964559367e-05,4.3373666334216375e-09
deepseek-3.1,0.02097873567785172,0.08862608011406767,0.02097873567785172,0.36820161732669576,0.2712530240738354,0.9204107626128211,0.36820161732669576,0.08862608011406767,0.056887933640980784,0.48411841360729146,0.0008737198369123724,0.6172994135892521,0.7643534344026669,0.006637120515926128,0.056887933640980784,0.6172994135892521,,0.08862608011406767
kimi-k2,0.056887933640980784,0.03520020021770479,0.08862608011406767,0.36820161732669576,0.2712530240738354,1.0,0.6172994135892521,0.13321061920721386,0.2712530240738354,0.02097873567785172,1.5905328473786136e-08,0.056887933640980784,0.03520020021770479,0.006637120515926128,0.48411841360729146,0.48411841360729146,0.2712530240738354,
