evaluator,performance,n_samples
gpt-4o-mini,0.51,1800.0
gpt-4.1-mini,0.5402941176470588,1800.0
gpt-4o,0.5111764705882353,1800.0
gpt-4.1,0.6485294117647058,1800.0
haiku-3.5,0.41294117647058826,1800.0
sonnet-3.7,0.4541176470588235,1800.0
sonnet-4.5,0.5352941176470588,1800.0
opus-4.1,0.48029411764705887,1800.0
gemini-2.0-flash-lite,0.5002941176470588,1800.0
gemini-2.0-flash,0.5682352941176471,1800.0
ll-3.1-8b,0.53,1800.0
ll-3.1-70b,0.36970588235294116,1800.0
ll-3.1-405b,0.5138235294117647,1800.0
qwen-2.5-7b,0.5026470588235294,1800.0
qwen-2.5-72b,0.5682352941176471,1800.0
qwen-3.0-80b,0.6091176470588235,1800.0
deepseek-3.1,0.558235294117647,1800.0
kimi-k2,0.4744117647058823,1800.0
