evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0.98,0.05,0.02,0.03,0.02,0.0,0.04,0.01,0.04,0.02,0.19,0.04,0.0,0.06,0.03,0.03,0.07,0.03
gpt-4.1-mini,0.11,0.98,0.06,0.03,0.04,0.06,0.0,0.04,0.08,0.07,0.52,0.13,0.04,0.24,0.19,0.04,0.01,0.05
gpt-4o,0.11,0.07,0.89,0.03,0.1,0.08,0.14,0.18,0.15,0.07,0.42,0.17,0.18,0.2,0.15,0.08,0.07,0.05
gpt-4.1,0.63,0.1,0.42,0.9,0.35,0.23,0.23,0.27,0.37,0.3,0.8,0.63,0.58,0.56,0.63,0.14,0.29,0.22
haiku-3.5,0.5,0.73,0.49,0.57,0.32,0.28,0.66,0.49,0.55,0.53,0.57,0.37,0.28,0.48,0.41,0.62,0.55,0.52
sonnet-3.7,0.86,0.77,0.8,0.81,0.9,0.07,0.92,0.94,0.74,0.84,0.92,0.86,0.84,0.82,0.84,0.82,0.78,0.79
sonnet-4.5,0.53,0.51,0.51,0.57,0.5,0.48,0.52,0.51,0.58,0.55,0.77,0.6,0.53,0.66,0.56,0.49,0.51,0.5
opus-4.1,0.93,0.83,0.95,0.88,0.94,0.85,0.86,0.06,0.87,0.8,0.99,0.97,0.96,0.96,0.96,0.86,0.81,0.89
gemini-2.0-flash-lite,0.03,0.07,0.03,0.02,0.01,0.01,0.01,0.02,0.97,0.02,0.14,0.02,0.01,0.06,0.05,0.0,0.01,0.01
gemini-2.0-flash,0.37,0.18,0.2,0.15,0.3,0.2,0.13,0.13,0.25,0.88,0.51,0.34,0.27,0.37,0.3,0.23,0.23,0.2
ll-3.1-8b,0.51,0.75,0.54,0.66,0.51,0.47,0.48,0.44,0.57,0.59,0.51,0.51,0.51,0.51,0.5,0.6,0.61,0.59
ll-3.1-70b,0.35,0.2,0.21,0.27,0.19,0.21,0.12,0.08,0.25,0.26,0.69,0.46,0.42,0.52,0.4,0.14,0.22,0.22
ll-3.1-405b,0.28,0.09,0.16,0.08,0.17,0.12,0.05,0.05,0.12,0.15,0.53,0.25,0.85,0.4,0.3,0.05,0.12,0.1
qwen-2.5-7b,0.01,0.06,0.01,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.07,0.0,0.02,0.99,0.01,0.02,0.01,0.0
qwen-2.5-72b,0.14,0.07,0.08,0.11,0.4,0.28,0.28,0.28,0.09,0.1,0.29,0.2,0.12,0.14,0.97,0.1,0.08,0.07
qwen-3.0-80b,0.29,0.05,0.22,0.13,0.26,0.26,0.18,0.28,0.12,0.13,0.6,0.47,0.44,0.43,0.35,0.96,0.06,0.12
deepseek-3.1,0.32,0.42,0.21,0.35,0.26,0.32,0.29,0.26,0.42,0.43,0.61,0.4,0.31,0.42,0.31,0.32,0.76,0.41
kimi-k2,0.24,0.39,0.16,0.39,0.27,0.27,0.31,0.21,0.44,0.4,0.56,0.38,0.24,0.42,0.36,0.47,0.42,0.6
