evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,7.969072864542661e-27,1.252324512538536e-22,7.969072864542661e-27,2.630866896130179e-25,7.969072864542661e-27,1.5777218104420236e-30,6.449688895763542e-24,1.5934990285464438e-28,6.449688895763542e-24,7.969072864542661e-27,2.7027625220487884e-10,6.449688895763542e-24,1.5777218104420236e-30,2.005959521923613e-21,2.630866896130179e-25,2.630866896130179e-25,2.726143732806038e-20,2.630866896130179e-25
gpt-4.1-mini,2.540853335492305e-16,7.969072864542661e-27,2.005959521923613e-21,2.630866896130179e-25,6.449688895763542e-24,2.005959521923613e-21,1.5777218104420236e-30,6.449688895763542e-24,3.208563668244003e-19,2.726143732806038e-20,0.7643534344026669,1.312981552203585e-14,6.449688895763542e-24,1.8100026213029253e-07,2.7027625220487884e-10,6.449688895763542e-24,1.5934990285464438e-28,1.252324512538536e-22
gpt-4o,2.540853335492305e-16,2.726143732806038e-20,2.540853335492305e-16,2.630866896130179e-25,3.0632901754379845e-17,3.208563668244003e-19,8.284451872080075e-14,6.147806615047975e-11,4.825421503937195e-13,2.726143732806038e-20,0.13321061920721386,1.3097998650070218e-11,6.147806615047975e-11,1.1159089057251951e-09,4.825421503937195e-13,3.208563668244003e-19,2.726143732806038e-20,1.252324512538536e-22
gpt-4.1,0.012032975725363479,3.0632901754379845e-17,0.13321061920721386,3.0632901754379845e-17,0.0035176417229701587,5.513580775850052e-08,5.513580775850052e-08,4.69241261264223e-06,0.012032975725363479,7.85013964559367e-05,1.1159089057251951e-09,0.012032975725363479,0.13321061920721386,0.2712530240738354,0.012032975725363479,8.284451872080075e-14,3.2160015295666335e-05,1.5905328473786136e-08
haiku-3.5,1.0,4.69241261264223e-06,0.9204107626128211,0.1933479044956428,0.00040877716742681523,1.2579150016678854e-05,0.0017899303914868528,0.9204107626128211,0.36820161732669576,0.6172994135892521,0.1933479044956428,0.012032975725363479,1.2579150016678854e-05,0.7643534344026669,0.08862608011406767,0.02097873567785172,0.36820161732669576,0.7643534344026669
sonnet-3.7,8.284451872080075e-14,5.513580775850052e-08,1.1159089057251951e-09,2.7027625220487884e-10,3.0632901754379845e-17,2.726143732806038e-20,3.208563668244003e-19,2.005959521923613e-21,1.6673626494501009e-06,2.6059358186561004e-12,3.208563668244003e-19,8.284451872080075e-14,2.6059358186561004e-12,6.147806615047975e-11,2.6059358186561004e-12,6.147806615047975e-11,1.5905328473786136e-08,4.3373666334216375e-09
sonnet-4.5,0.6172994135892521,0.9204107626128211,0.9204107626128211,0.1933479044956428,1.0,0.7643534344026669,0.7643534344026669,0.9204107626128211,0.13321061920721386,0.36820161732669576,5.513580775850052e-08,0.056887933640980784,0.6172994135892521,0.0017899303914868528,0.2712530240738354,0.9204107626128211,0.9204107626128211,1.0
opus-4.1,2.726143732806038e-20,1.3097998650070218e-11,1.252324512538536e-22,1.9113575360277063e-15,2.005959521923613e-21,4.825421503937195e-13,8.284451872080075e-14,2.005959521923613e-21,1.312981552203585e-14,1.1159089057251951e-09,1.5934990285464438e-28,2.630866896130179e-25,6.449688895763542e-24,6.449688895763542e-24,6.449688895763542e-24,8.284451872080075e-14,2.7027625220487884e-10,2.540853335492305e-16
gemini-2.0-flash-lite,2.630866896130179e-25,2.726143732806038e-20,2.630866896130179e-25,7.969072864542661e-27,1.5934990285464438e-28,1.5934990285464438e-28,1.5934990285464438e-28,7.969072864542661e-27,2.630866896130179e-25,7.969072864542661e-27,8.284451872080075e-14,7.969072864542661e-27,1.5934990285464438e-28,2.005959521923613e-21,1.252324512538536e-22,1.5777218104420236e-30,1.5934990285464438e-28,1.5934990285464438e-28
gemini-2.0-flash,0.012032975725363479,6.147806615047975e-11,1.1159089057251951e-09,4.825421503937195e-13,7.85013964559367e-05,1.1159089057251951e-09,1.312981552203585e-14,1.312981552203585e-14,5.636282034205402e-07,1.9113575360277063e-15,0.9204107626128211,0.0017899303914868528,4.69241261264223e-06,0.012032975725363479,7.85013964559367e-05,5.513580775850052e-08,5.513580775850052e-08,1.1159089057251951e-09
ll-3.1-8b,0.9204107626128211,5.636282034205402e-07,0.48411841360729146,0.0017899303914868528,0.9204107626128211,0.6172994135892521,0.7643534344026669,0.2712530240738354,0.1933479044956428,0.08862608011406767,0.9204107626128211,0.9204107626128211,0.9204107626128211,0.9204107626128211,1.0,0.056887933640980784,0.03520020021770479,0.08862608011406767
ll-3.1-70b,0.0035176417229701587,1.1159089057251951e-09,4.3373666334216375e-09,4.69241261264223e-06,2.7027625220487884e-10,4.3373666334216375e-09,1.9113575360277063e-15,3.208563668244003e-19,5.636282034205402e-07,1.6673626494501009e-06,0.00018314322488235366,0.48411841360729146,0.13321061920721386,0.7643534344026669,0.056887933640980784,8.284451872080075e-14,1.5905328473786136e-08,1.5905328473786136e-08
ll-3.1-405b,1.2579150016678854e-05,3.3220489794536525e-18,2.6059358186561004e-12,3.208563668244003e-19,1.3097998650070218e-11,1.9113575360277063e-15,1.252324512538536e-22,1.252324512538536e-22,1.9113575360277063e-15,4.825421503937195e-13,0.6172994135892521,5.636282034205402e-07,4.825421503937195e-13,0.056887933640980784,7.85013964559367e-05,1.252324512538536e-22,1.9113575360277063e-15,3.0632901754379845e-17
qwen-2.5-7b,1.5934990285464438e-28,2.005959521923613e-21,1.5934990285464438e-28,7.969072864542661e-27,1.5777218104420236e-30,1.5777218104420236e-30,1.5777218104420236e-30,2.630866896130179e-25,1.5777218104420236e-30,1.5777218104420236e-30,2.726143732806038e-20,1.5777218104420236e-30,7.969072864542661e-27,1.5934990285464438e-28,1.5934990285464438e-28,7.969072864542661e-27,1.5934990285464438e-28,1.5777218104420236e-30
qwen-2.5-72b,8.284451872080075e-14,2.726143732806038e-20,3.208563668244003e-19,2.540853335492305e-16,0.056887933640980784,1.2579150016678854e-05,1.2579150016678854e-05,1.2579150016678854e-05,3.3220489794536525e-18,3.0632901754379845e-17,3.2160015295666335e-05,1.1159089057251951e-09,1.9113575360277063e-15,8.284451872080075e-14,2.630866896130179e-25,3.0632901754379845e-17,3.208563668244003e-19,2.726143732806038e-20
qwen-3.0-80b,3.2160015295666335e-05,1.252324512538536e-22,1.5905328473786136e-08,1.312981552203585e-14,1.6673626494501009e-06,1.6673626494501009e-06,6.147806615047975e-11,1.2579150016678854e-05,1.9113575360277063e-15,1.312981552203585e-14,0.056887933640980784,0.6172994135892521,0.2712530240738354,0.1933479044956428,0.0035176417229701587,6.449688895763542e-24,2.005959521923613e-21,1.9113575360277063e-15
deepseek-3.1,0.00040877716742681523,0.13321061920721386,4.3373666334216375e-09,0.0035176417229701587,1.6673626494501009e-06,0.00040877716742681523,3.2160015295666335e-05,1.6673626494501009e-06,0.13321061920721386,0.1933479044956428,0.03520020021770479,0.056887933640980784,0.00018314322488235366,0.13321061920721386,0.00018314322488235366,0.00040877716742681523,1.8100026213029253e-07,0.08862608011406767
kimi-k2,1.8100026213029253e-07,0.03520020021770479,2.6059358186561004e-12,0.03520020021770479,4.69241261264223e-06,4.69241261264223e-06,0.00018314322488235366,4.3373666334216375e-09,0.2712530240738354,0.056887933640980784,0.2712530240738354,0.02097873567785172,1.8100026213029253e-07,0.13321061920721386,0.006637120515926128,0.6172994135892521,0.13321061920721386,0.056887933640980784
