evaluator,deviation
gpt-4o-mini,-0.05647058823529416
gpt-4.1-mini,0.004705882352941226
gpt-4o,-0.02235294117647052
gpt-4.1,0.20470588235294118
haiku-3.5,0.3364705882352942
sonnet-3.7,0.27823529411764714
sonnet-4.5,0.30294117647058827
opus-4.1,0.3061440533726767
gemini-2.0-flash-lite,-0.02823529411764708
gemini-2.0-flash,0.11647058823529399
ll-3.1-8b,0.01941176470588235
ll-3.1-70b,0.12764705882352945
ll-3.1-405b,0.15411764705882347
qwen-2.5-7b,-0.029999999999999916
qwen-2.5-72b,0.02764705882352947
qwen-3.0-80b,0.24294117647058833
deepseek-3.1,-0.03176470588235292
kimi-k2,-0.09941176470588242
