evaluator,performance,n_samples
gpt-4o-mini,0.44352941176470584,1700
gpt-4.1-mini,0.5047058823529412,1700
gpt-4o,0.4776470588235295,1700
gpt-4.1,0.7047058823529412,1700
haiku-3.5,0.8364705882352942,1700
sonnet-3.7,0.7782352941176471,1700
sonnet-4.5,0.8029411764705883,1700
opus-4.1,0.8061440533726767,1700
gemini-2.0-flash-lite,0.4717647058823529,1700
gemini-2.0-flash,0.616470588235294,1700
ll-3.1-8b,0.5194117647058824,1700
ll-3.1-70b,0.6276470588235294,1700
ll-3.1-405b,0.6541176470588235,1700
qwen-2.5-7b,0.4700000000000001,1700
qwen-2.5-72b,0.5276470588235295,1700
qwen-3.0-80b,0.7429411764705883,1700
deepseek-3.1,0.4682352941176471,1700
kimi-k2,0.4005882352941176,1700
