evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.68,0.54,0.6,0.21,0.28,0.33,0.13,0.5,0.38,0.57,0.32,0.28,0.62,0.41,0.5,0.55,0.64
gpt-4.1-mini,0.6,,0.6,0.31,0.3,0.24,0.35,0.24,0.57,0.54,0.8,0.61,0.54,0.73,0.62,0.34,0.62,0.57
gpt-4o,0.6,0.5,,0.41,0.32,0.27,0.34,0.26,0.56,0.46,0.69,0.44,0.4,0.74,0.55,0.44,0.59,0.55
gpt-4.1,0.82,0.67,0.79,,0.56,0.46,0.5,0.38,0.81,0.69,0.95,0.75,0.76,0.85,0.9,0.63,0.72,0.74
haiku-3.5,0.89,0.93,0.96,0.94,,0.58,0.59,0.34,0.95,0.92,0.89,0.77,0.81,0.96,0.92,0.87,0.98,0.92
sonnet-3.7,0.92,0.88,0.83,0.81,0.62,,0.41,0.18,0.89,0.83,0.9,0.69,0.8,0.91,0.9,0.83,0.93,0.9
sonnet-4.5,0.93,0.71,0.86,0.79,0.67,0.78,,0.45,0.76,0.74,0.97,0.87,0.88,0.94,0.89,0.77,0.79,0.85
opus-4.1,0.9292929292929293,0.75,0.846938775510204,0.8350515463917526,0.7244897959183674,0.81,0.5876288659793815,,0.7142857142857143,0.6391752577319587,0.9797979797979798,0.8673469387755103,0.8350515463917526,0.9484536082474225,0.8775510204081632,0.826530612244898,0.6565656565656566,0.8762886597938144
gemini-2.0-flash-lite,0.51,0.56,0.58,0.5,0.3,0.35,0.33,0.21,,0.48,0.57,0.44,0.4,0.56,0.56,0.53,0.57,0.57
gemini-2.0-flash,0.79,0.71,0.71,0.55,0.54,0.54,0.49,0.32,0.6,,0.77,0.53,0.54,0.71,0.68,0.62,0.7,0.68
ll-3.1-8b,0.49,0.71,0.53,0.59,0.42,0.47,0.41,0.27,0.54,0.55,,0.48,0.49,0.52,0.49,0.59,0.64,0.64
ll-3.1-70b,0.69,0.75,0.71,0.68,0.37,0.42,0.44,0.31,0.74,0.64,0.77,,0.5,0.74,0.72,0.66,0.79,0.74
ll-3.1-405b,0.73,0.86,0.77,0.76,0.32,0.31,0.32,0.21,0.79,0.67,0.83,0.52,,0.82,0.72,0.75,0.86,0.88
qwen-2.5-7b,0.5,0.64,0.48,0.6,0.3,0.33,0.4,0.25,0.56,0.5,0.55,0.39,0.39,,0.39,0.48,0.61,0.62
qwen-2.5-72b,0.56,0.76,0.61,0.66,0.15,0.29,0.29,0.1,0.61,0.56,0.7,0.44,0.41,0.75,,0.57,0.77,0.74
qwen-3.0-80b,0.96,0.64,0.83,0.64,0.57,0.55,0.53,0.55,0.75,0.72,0.94,0.87,0.9,0.9,0.84,,0.72,0.72
deepseek-3.1,0.62,0.59,0.58,0.42,0.2,0.27,0.3,0.25,0.52,0.44,0.68,0.44,0.44,0.67,0.54,0.42,,0.58
kimi-k2,0.44,0.48,0.47,0.32,0.21,0.23,0.24,0.12,0.43,0.36,0.7,0.45,0.4,0.58,0.46,0.4,0.52,
