evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0/0,54/46,78/22,62/38,71/29,66/34,61/39,61/39,54/46,52/48,63/37,70/30,68/32,76/24,77/23,60/40,57/43,56/44
gpt-4.1-mini,56/44,0/0,60/40,49/51,54/46,54/46,49/51,48/52,49/51,50/50,52/48,57/43,58/42,51/49,56/44,50/50,48/52,51/49
gpt-4o,72/28,60/40,0/0,61/39,72/28,69/31,66/34,64/36,60/40,62/38,57/43,64/36,64/36,58/42,67/33,56/44,61/39,63/37
gpt-4.1,60/40,63/37,63/37,0/0,66/34,66/34,58/42,60/40,53/47,59/41,53/47,55/45,56/44,55/45,54/46,57/43,54/46,52/48
haiku-3.5,61/39,53/47,54/46,54/46,0/0,72/28,63/37,62/38,53/47,54/46,55/45,61/39,63/37,54/46,58/42,55/45,50/50,52/48
sonnet-3.7,48/52,50/50,39/61,49/51,52/48,0/0,51/49,52/48,55/45,51/49,52/48,53/47,50/50,45/55,46/54,51/49,51/49,48/52
sonnet-4.5,43/57,33/67,38/62,39/61,33/67,36/64,0/0,43/57,32/68,28/72,47/53,39/61,38/62,44/56,41/59,39/61,35/65,39/61
opus-4.1,45/54,48/48,42/56,50/47,42/56,45/55,42/55,0/0,52/46,58/39,47/52,47/51,45/52,47/50,44/54,51/47,59/40,47/50
gemini-2.0-flash-lite,13/87,10/90,14/86,12/88,24/76,19/81,19/81,31/69,0/0,6/94,15/85,14/86,16/84,16/84,18/82,13/87,15/85,13/87
gemini-2.0-flash,39/61,23/77,35/65,19/81,28/72,26/74,31/69,30/70,20/80,0/0,37/63,21/79,30/70,31/69,34/66,24/76,28/72,24/76
ll-3.1-8b,97/3,79/21,95/5,85/15,92/8,95/5,91/9,77/23,90/10,91/9,0/0,98/2,99/1,96/4,95/5,89/11,86/14,86/14
ll-3.1-70b,69/31,55/45,61/39,62/38,81/19,72/28,74/26,73/27,58/42,68/32,67/33,0/0,82/18,66/34,64/36,62/38,59/41,62/38
ll-3.1-405b,61/39,48/52,59/41,56/44,70/30,63/37,62/38,59/41,53/47,57/43,63/37,74/26,0/0,60/40,68/32,55/45,52/48,54/46
qwen-2.5-7b,72/28,70/30,72/28,72/28,72/28,73/27,70/30,69/31,74/26,66/34,63/37,61/39,67/33,0/0,73/27,70/30,71/29,68/32
qwen-2.5-72b,68/32,52/48,57/43,58/42,55/45,49/51,49/51,48/52,47/53,54/46,54/46,54/46,53/47,59/41,0/0,47/53,47/53,52/48
qwen-3.0-80b,52/48,34/66,47/53,42/58,45/55,47/53,51/49,47/53,37/63,38/62,48/52,47/53,50/50,48/52,46/54,0/0,36/64,40/60
deepseek-3.1,54/46,37/63,46/54,42/58,50/50,49/51,50/50,47/53,40/60,42/58,50/50,50/50,54/46,55/45,46/54,40/60,0/0,52/48
kimi-k2,54/46,56/44,65/35,54/46,57/43,57/43,56/44,54/46,53/47,62/38,52/48,53/47,58/42,58/42,58/42,56/44,54/46,0/0
