evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.54,0.78,0.62,0.71,0.66,0.61,0.61,0.54,0.52,0.63,0.7,0.68,0.76,0.77,0.6,0.57,0.56
gpt-4.1-mini,0.56,,0.6,0.49,0.54,0.54,0.49,0.48,0.49,0.5,0.52,0.57,0.58,0.51,0.56,0.5,0.48,0.51
gpt-4o,0.72,0.6,,0.61,0.72,0.69,0.66,0.64,0.6,0.62,0.57,0.64,0.64,0.58,0.67,0.56,0.61,0.63
gpt-4.1,0.6,0.63,0.63,,0.66,0.66,0.58,0.6,0.53,0.59,0.53,0.55,0.56,0.55,0.54,0.57,0.54,0.52
haiku-3.5,0.61,0.53,0.54,0.54,,0.72,0.63,0.62,0.53,0.54,0.55,0.61,0.63,0.54,0.58,0.55,0.5,0.52
sonnet-3.7,0.48,0.5,0.39,0.49,0.52,,0.51,0.52,0.55,0.51,0.52,0.53,0.5,0.45,0.46,0.51,0.51,0.48
sonnet-4.5,0.43,0.33,0.38,0.39,0.33,0.36,,0.43,0.32,0.28,0.47,0.39,0.38,0.44,0.41,0.39,0.35,0.39
opus-4.1,0.45454545454545453,0.5,0.42857142857142855,0.5154639175257731,0.42857142857142855,0.45,0.4329896907216495,,0.5306122448979592,0.5979381443298969,0.47474747474747475,0.47959183673469385,0.4639175257731959,0.4845360824742268,0.4489795918367347,0.5204081632653061,0.5959595959595959,0.4845360824742268
gemini-2.0-flash-lite,0.13,0.1,0.14,0.12,0.24,0.19,0.19,0.31,,0.06,0.15,0.14,0.16,0.16,0.18,0.13,0.15,0.13
gemini-2.0-flash,0.39,0.23,0.35,0.19,0.28,0.26,0.31,0.3,0.2,,0.37,0.21,0.3,0.31,0.34,0.24,0.28,0.24
ll-3.1-8b,0.97,0.79,0.95,0.85,0.92,0.95,0.91,0.77,0.9,0.91,,0.98,0.99,0.96,0.95,0.89,0.86,0.86
ll-3.1-70b,0.69,0.55,0.61,0.62,0.81,0.72,0.74,0.73,0.58,0.68,0.67,,0.82,0.66,0.64,0.62,0.59,0.62
ll-3.1-405b,0.61,0.48,0.59,0.56,0.7,0.63,0.62,0.59,0.53,0.57,0.63,0.74,,0.6,0.68,0.55,0.52,0.54
qwen-2.5-7b,0.72,0.7,0.72,0.72,0.72,0.73,0.7,0.69,0.74,0.66,0.63,0.61,0.67,,0.73,0.7,0.71,0.68
qwen-2.5-72b,0.68,0.52,0.57,0.58,0.55,0.49,0.49,0.48,0.47,0.54,0.54,0.54,0.53,0.59,,0.47,0.47,0.52
qwen-3.0-80b,0.52,0.34,0.47,0.42,0.45,0.47,0.51,0.47,0.37,0.38,0.48,0.47,0.5,0.48,0.46,,0.36,0.4
deepseek-3.1,0.54,0.37,0.46,0.42,0.5,0.49,0.5,0.47,0.4,0.42,0.5,0.5,0.54,0.55,0.46,0.4,,0.52
kimi-k2,0.54,0.56,0.65,0.54,0.57,0.57,0.56,0.54,0.53,0.62,0.52,0.53,0.58,0.58,0.58,0.56,0.54,
