evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.00040877716742681523,0.48411841360729146,0.056887933640980784,4.3373666334216375e-09,1.2579150016678854e-05,0.0008737198369123724,1.312981552203585e-14,1.0,0.02097873567785172,0.1933479044956428,0.00040877716742681523,1.2579150016678854e-05,0.02097873567785172,0.08862608011406767,1.0,0.36820161732669576,0.006637120515926128
gpt-4.1-mini,0.056887933640980784,,0.056887933640980784,0.00018314322488235366,7.85013964559367e-05,1.8100026213029253e-07,0.0035176417229701587,1.8100026213029253e-07,0.1933479044956428,0.48411841360729146,1.1159089057251951e-09,0.03520020021770479,0.48411841360729146,4.69241261264223e-06,0.02097873567785172,0.0017899303914868528,0.02097873567785172,0.1933479044956428
gpt-4o,0.056887933640980784,1.0,,0.08862608011406767,0.00040877716742681523,4.69241261264223e-06,0.0017899303914868528,1.6673626494501009e-06,0.2712530240738354,0.48411841360729146,0.00018314322488235366,0.2712530240738354,0.056887933640980784,1.6673626494501009e-06,0.36820161732669576,0.2712530240738354,0.08862608011406767,0.36820161732669576
gpt-4.1,6.147806615047975e-11,0.0008737198369123724,4.3373666334216375e-09,,0.2712530240738354,0.48411841360729146,1.0,0.02097873567785172,2.7027625220487884e-10,0.00018314322488235366,1.252324512538536e-22,5.636282034205402e-07,1.8100026213029253e-07,4.825421503937195e-13,3.0632901754379845e-17,0.012032975725363479,1.2579150016678854e-05,1.6673626494501009e-06
haiku-3.5,2.540853335492305e-16,2.726143732806038e-20,6.449688895763542e-24,2.005959521923613e-21,,0.13321061920721386,0.08862608011406767,0.0017899303914868528,1.252324512538536e-22,3.208563668244003e-19,2.540853335492305e-16,5.513580775850052e-08,2.7027625220487884e-10,6.449688895763542e-24,3.208563668244003e-19,1.312981552203585e-14,7.969072864542661e-27,3.208563668244003e-19
sonnet-3.7,3.208563668244003e-19,1.9113575360277063e-15,1.3097998650070218e-11,2.7027625220487884e-10,0.02097873567785172,,0.08862608011406767,6.147806615047975e-11,2.540853335492305e-16,1.3097998650070218e-11,3.0632901754379845e-17,0.00018314322488235366,1.1159089057251951e-09,3.3220489794536525e-18,3.0632901754379845e-17,1.3097998650070218e-11,2.726143732806038e-20,3.0632901754379845e-17
sonnet-4.5,2.726143732806038e-20,3.2160015295666335e-05,8.284451872080075e-14,4.3373666334216375e-09,0.0008737198369123724,1.5905328473786136e-08,,0.36820161732669576,1.8100026213029253e-07,1.6673626494501009e-06,2.630866896130179e-25,1.312981552203585e-14,1.9113575360277063e-15,2.005959521923613e-21,2.540853335492305e-16,5.513580775850052e-08,4.3373666334216375e-09,4.825421503937195e-13
opus-4.1,2.726143732806038e-20,5.636282034205402e-07,4.825421503937195e-13,2.6059358186561004e-12,1.2579150016678854e-05,2.7027625220487884e-10,0.08862608011406767,,3.2160015295666335e-05,0.006637120515926128,7.969072864542661e-27,1.312981552203585e-14,2.6059358186561004e-12,1.252324512538536e-22,1.9113575360277063e-15,1.3097998650070218e-11,0.0017899303914868528,1.9113575360277063e-15
gemini-2.0-flash-lite,0.9204107626128211,0.2712530240738354,0.13321061920721386,1.0,7.85013964559367e-05,0.0035176417229701587,0.0008737198369123724,4.3373666334216375e-09,,0.7643534344026669,0.1933479044956428,0.2712530240738354,0.056887933640980784,0.2712530240738354,0.2712530240738354,0.6172994135892521,0.1933479044956428,0.1933479044956428
gemini-2.0-flash,4.3373666334216375e-09,3.2160015295666335e-05,3.2160015295666335e-05,0.36820161732669576,0.48411841360729146,0.48411841360729146,0.9204107626128211,0.00040877716742681523,0.056887933640980784,,5.513580775850052e-08,0.6172994135892521,0.48411841360729146,3.2160015295666335e-05,0.00040877716742681523,0.02097873567785172,7.85013964559367e-05,0.00040877716742681523
