evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.28,0.14,0.41999999999999993,0.1,0.20000000000000007,0.26000000000000006,0.059292929292929175,0.010000000000000009,0.17000000000000004,0.05999999999999994,0.009999999999999953,0.010000000000000009,0.12,0.02999999999999997,0.45999999999999996,0.17000000000000004,0.07999999999999996
gpt-4.1-mini,0.28,,0.09999999999999998,0.019999999999999962,0.23000000000000004,0.12,0.05999999999999994,0.010000000000000009,0.13,0.25,0.51,0.36,0.4,0.37,0.38,0.019999999999999962,0.20999999999999996,0.04999999999999993
gpt-4o,0.14,0.09999999999999998,,0.2,0.27999999999999997,0.09999999999999998,0.2,0.10693877551020403,0.14,0.16999999999999998,0.21999999999999997,0.14999999999999997,0.17000000000000004,0.21999999999999997,0.16000000000000003,0.26999999999999996,0.16999999999999993,0.020000000000000018
gpt-4.1,0.41999999999999993,0.019999999999999907,0.19999999999999996,,0.5,0.2700000000000001,0.29000000000000004,0.2150515463917526,0.31000000000000005,0.24,0.5399999999999999,0.43000000000000005,0.52,0.44999999999999996,0.56,0.27,0.1399999999999999,0.06000000000000005
haiku-3.5,0.09999999999999998,0.2300000000000001,0.28,0.5,,0.19999999999999996,0.26,0.0644897959183674,0.25,0.4600000000000001,0.30999999999999994,0.14,0.13000000000000012,0.26,0.07000000000000006,0.43999999999999995,0.17999999999999994,0.13
sonnet-3.7,0.20000000000000007,0.12,0.09999999999999998,0.27,0.19999999999999996,,0.19,0.009999999999999953,0.24,0.37,0.37,0.10999999999999988,0.1100000000000001,0.2400000000000001,0.19000000000000006,0.38,0.20000000000000007,0.13
sonnet-4.5,0.2600000000000001,0.05999999999999994,0.20000000000000007,0.29000000000000004,0.26,0.18999999999999995,,0.037628865979381476,0.09000000000000008,0.22999999999999998,0.3799999999999999,0.30999999999999994,0.20000000000000007,0.33999999999999997,0.18000000000000005,0.30000000000000004,0.09000000000000008,0.08999999999999997
opus-4.1,0.059292929292929175,0.010000000000000009,0.10693877551020403,0.2150515463917526,0.06448979591836745,0.010000000000000009,0.03762886597938142,,0.07571428571428573,0.040824742268041225,0.2497979797979798,0.17734693877551033,0.04505154639175257,0.19845360824742242,0.022448979591836782,0.37653061224489803,0.09343434343434343,0.003711340206185576
gemini-2.0-flash-lite,0.010000000000000009,0.13,0.14,0.31000000000000005,0.24999999999999994,0.24,0.09000000000000002,0.0757142857142857,,0.07999999999999996,0.10999999999999999,0.18,0.19000000000000006,0.1200000000000001,0.17000000000000004,0.28,0.08999999999999997,1.1102230246251565e-16
gemini-2.0-flash,0.17000000000000004,0.25,0.16999999999999993,0.24,0.4600000000000001,0.37,0.22999999999999998,0.04082474226804128,0.07999999999999996,,0.32000000000000006,0.17000000000000004,0.21000000000000008,0.20999999999999996,0.2400000000000001,0.33999999999999997,0.1399999999999999,0.040000000000000036
ll-3.1-8b,0.05999999999999994,0.51,0.21999999999999997,0.5399999999999999,0.31,0.37,0.37999999999999995,0.2497979797979798,0.10999999999999999,0.32000000000000006,,0.25,0.31999999999999995,0.07000000000000006,0.18999999999999995,0.5299999999999999,0.32000000000000006,0.33999999999999997
ll-3.1-70b,0.010000000000000009,0.36,0.1499999999999999,0.43000000000000005,0.14,0.10999999999999993,0.31,0.17734693877551028,0.17999999999999994,0.17000000000000004,0.25,,0.020000000000000018,0.13,0.15999999999999992,0.53,0.22999999999999998,0.18999999999999995
ll-3.1-405b,0.010000000000000009,0.4,0.17000000000000004,0.52,0.13000000000000006,0.11000000000000004,0.2,0.0450515463917526,0.19000000000000006,0.21000000000000008,0.31999999999999995,0.020000000000000018,,0.20999999999999996,0.1299999999999999,0.65,0.29999999999999993,0.28
qwen-2.5-7b,0.12,0.37,0.21999999999999997,0.44999999999999996,0.25999999999999995,0.24000000000000005,0.33999999999999997,0.19845360824742242,0.1200000000000001,0.20999999999999996,0.07000000000000006,0.13,0.20999999999999996,,0.14,0.38,0.28,0.19999999999999996
qwen-2.5-72b,0.030000000000000027,0.38,0.16000000000000003,0.56,0.07000000000000003,0.19,0.18,0.022448979591836754,0.17000000000000004,0.2400000000000001,0.18999999999999995,0.15999999999999998,0.12999999999999995,0.14,,0.4099999999999999,0.31000000000000005,0.19999999999999996
qwen-3.0-80b,0.45999999999999996,0.019999999999999907,0.2699999999999999,0.27,0.43999999999999995,0.38,0.30000000000000004,0.37653061224489803,0.28,0.33999999999999997,0.5299999999999999,0.53,0.65,0.38,0.4099999999999999,,0.1399999999999999,0.12
deepseek-3.1,0.17000000000000004,0.20999999999999996,0.16999999999999993,0.13999999999999996,0.18,0.20000000000000007,0.09000000000000002,0.09343434343434343,0.08999999999999997,0.13999999999999996,0.32000000000000006,0.23000000000000004,0.3,0.28,0.31000000000000005,0.13999999999999996,,0.09999999999999998
kimi-k2,0.08000000000000002,0.04999999999999993,0.020000000000000018,0.06,0.13000000000000003,0.13000000000000003,0.08999999999999997,0.003711340206185576,5.551115123125783e-17,0.040000000000000036,0.33999999999999997,0.19,0.28,0.19999999999999996,0.2,0.12,0.09999999999999998,
