evaluator,performance,n_samples
gpt-4o-mini,0.5167647058823529,1800.0
gpt-4.1-mini,0.5629411764705883,1800.0
gpt-4o,0.533235294117647,1800.0
gpt-4.1,0.5926470588235294,1800.0
haiku-3.5,0.5088235294117647,1800.0
sonnet-3.7,0.5638235294117647,1800.0
sonnet-4.5,0.5364646464646464,1800.0
opus-4.1,0.6045710374902851,1800.0
gemini-2.0-flash-lite,0.5141176470588236,1800.0
gemini-2.0-flash,0.5576470588235294,1800.0
ll-3.1-8b,0.47029411764705886,1800.0
ll-3.1-70b,0.5376470588235294,1800.0
ll-3.1-405b,0.5361764705882353,1800.0
qwen-2.5-7b,0.4976470588235294,1800.0
qwen-2.5-72b,0.49823529411764705,1800.0
qwen-3.0-80b,0.5844117647058824,1800.0
deepseek-3.1,0.4647058823529412,1800.0
kimi-k2,0.48882352941176466,1800.0
