evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0.99,0.01,0.01,0.03,0.0,0.01,0.03,0.02,0.08,0.03,0.24,0.03,0.0,0.09,0.03,0.02,0.03,0.08
gpt-4.1-mini,0.34,0.86,0.14,0.12,0.22,0.18,0.11,0.12,0.22,0.27,0.65,0.36,0.28,0.52,0.39,0.13,0.24,0.23
gpt-4o,0.1,0.09,0.94,0.04,0.06,0.02,0.05,0.03,0.12,0.18,0.5,0.14,0.11,0.29,0.14,0.06,0.11,0.11
gpt-4.1,0.56,0.2,0.37,0.8,0.22,0.2,0.17,0.11,0.44,0.38,0.75,0.49,0.39,0.62,0.58,0.27,0.47,0.33
haiku-3.5,0.01,0.02,0.0,0.01,1.0,0.0,0.01,0.0,0.03,0.01,0.16,0.01,0.0,0.01,0.01,0.0,0.02,0.0
sonnet-3.7,0.45,0.26,0.26,0.17,0.17,0.86,0.1,0.07,0.22,0.2,0.64,0.38,0.16,0.47,0.37,0.15,0.24,0.24
sonnet-4.5,0.72,0.56,0.67,0.5757575757575758,0.6767676767676768,0.7,0.42,0.6060606060606061,0.62,0.57,0.79,0.66,0.67,0.79,0.75,0.6060606060606061,0.5151515151515151,0.62
opus-4.1,0.6082474226804123,0.32,0.42,0.31,0.34375,0.43,0.29,0.79,0.35,0.30303030303030304,0.72,0.52,0.34,0.5959595959595959,0.55,0.31313131313131315,0.29292929292929293,0.41836734693877553
gemini-2.0-flash-lite,0.07,0.11,0.05,0.04,0.02,0.04,0.05,0.02,0.95,0.08,0.27,0.06,0.03,0.13,0.13,0.02,0.09,0.12
gemini-2.0-flash,0.2,0.1,0.11,0.07,0.1,0.06,0.04,0.06,0.04,0.99,0.43,0.08,0.13,0.24,0.25,0.06,0.04,0.12
ll-3.1-8b,0.35,0.72,0.36,0.64,0.18,0.29,0.14,0.03,0.65,0.63,0.5,0.42,0.34,0.45,0.43,0.61,0.66,0.59
ll-3.1-70b,0.29,0.39,0.29,0.34,0.01,0.04,0.13,0.04,0.33,0.23,0.59,0.8,0.11,0.47,0.33,0.26,0.42,0.41
ll-3.1-405b,0.04,0.11,0.06,0.06,0.02,0.0,0.02,0.0,0.09,0.06,0.33,0.04,0.99,0.15,0.08,0.02,0.16,0.16
qwen-2.5-7b,0.0,0.05,0.0,0.04,0.0,0.01,0.02,0.01,0.0,0.0,0.04,0.0,0.02,0.98,0.01,0.01,0.05,0.0
qwen-2.5-72b,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.05,0.0,0.02,0.98,0.01,0.0,0.0
qwen-3.0-80b,0.35,0.08,0.23,0.2,0.24,0.22,0.17,0.14,0.17,0.24,0.65,0.41,0.33,0.58,0.4,0.89,0.15,0.18
deepseek-3.1,0.32,0.48,0.27,0.4,0.21,0.25,0.18,0.19,0.4,0.46,0.63,0.37,0.31,0.37,0.28,0.4,0.58,0.42
kimi-k2,0.56,0.5,0.52,0.51,0.51,0.58,0.52,0.52,0.52,0.49,0.8,0.6,0.64,0.7,0.56,0.53,0.59,0.41
