evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,1.5934990285464438e-28,1.5934990285464438e-28,1.5934990285464438e-28,2.630866896130179e-25,1.5777218104420236e-30,1.5934990285464438e-28,2.630866896130179e-25,7.969072864542661e-27,3.208563668244003e-19,2.630866896130179e-25,1.8100026213029253e-07,2.630866896130179e-25,1.5777218104420236e-30,3.3220489794536525e-18,2.630866896130179e-25,7.969072864542661e-27,2.630866896130179e-25,3.208563668244003e-19
gpt-4.1-mini,0.0017899303914868528,8.284451872080075e-14,8.284451872080075e-14,1.9113575360277063e-15,1.5905328473786136e-08,6.147806615047975e-11,2.540853335492305e-16,1.9113575360277063e-15,1.5905328473786136e-08,4.69241261264223e-06,0.0035176417229701587,0.006637120515926128,1.2579150016678854e-05,0.7643534344026669,0.03520020021770479,1.312981552203585e-14,1.8100026213029253e-07,5.513580775850052e-08
gpt-4o,3.0632901754379845e-17,3.3220489794536525e-18,2.005959521923613e-21,6.449688895763542e-24,2.005959521923613e-21,7.969072864542661e-27,1.252324512538536e-22,2.630866896130179e-25,1.9113575360277063e-15,6.147806615047975e-11,1.0,8.284451872080075e-14,2.540853335492305e-16,3.2160015295666335e-05,8.284451872080075e-14,2.005959521923613e-21,2.540853335492305e-16,2.540853335492305e-16
gpt-4.1,0.2712530240738354,1.1159089057251951e-09,0.012032975725363479,1.1159089057251951e-09,1.5905328473786136e-08,1.1159089057251951e-09,1.3097998650070218e-11,2.540853335492305e-16,0.2712530240738354,0.02097873567785172,5.636282034205402e-07,0.9204107626128211,0.03520020021770479,0.02097873567785172,0.13321061920721386,4.69241261264223e-06,0.6172994135892521,0.0008737198369123724
haiku-3.5,1.5934990285464438e-28,7.969072864542661e-27,1.5777218104420236e-30,1.5934990285464438e-28,1.5777218104420236e-30,1.5777218104420236e-30,1.5934990285464438e-28,1.5777218104420236e-30,2.630866896130179e-25,1.5934990285464438e-28,2.6059358186561004e-12,1.5934990285464438e-28,1.5777218104420236e-30,1.5934990285464438e-28,1.5934990285464438e-28,1.5777218104420236e-30,7.969072864542661e-27,1.5777218104420236e-30
sonnet-3.7,0.36820161732669576,1.6673626494501009e-06,1.6673626494501009e-06,1.3097998650070218e-11,1.3097998650070218e-11,8.284451872080075e-14,3.0632901754379845e-17,2.726143732806038e-20,1.5905328473786136e-08,1.1159089057251951e-09,0.006637120515926128,0.02097873567785172,2.6059358186561004e-12,0.6172994135892521,0.012032975725363479,4.825421503937195e-13,1.8100026213029253e-07,1.8100026213029253e-07
sonnet-4.5,1.2579150016678854e-05,0.2712530240738354,0.0008737198369123724,0.13321061920721386,0.00040877716742681523,7.85013964559367e-05,0.13321061920721386,0.03520020021770479,0.02097873567785172,0.1933479044956428,4.3373666334216375e-09,0.0017899303914868528,0.0008737198369123724,4.3373666334216375e-09,5.636282034205402e-07,0.03520020021770479,0.7643534344026669,0.02097873567785172
opus-4.1,0.03520020021770479,0.00040877716742681523,0.13321061920721386,0.00018314322488235366,0.0017899303914868528,0.1933479044956428,3.2160015295666335e-05,4.3373666334216375e-09,0.0035176417229701587,7.85013964559367e-05,1.2579150016678854e-05,0.7643534344026669,0.0017899303914868528,0.056887933640980784,0.36820161732669576,0.00018314322488235366,3.2160015295666335e-05,0.13321061920721386
gemini-2.0-flash-lite,2.726143732806038e-20,2.540853335492305e-16,1.252324512538536e-22,6.449688895763542e-24,7.969072864542661e-27,6.449688895763542e-24,1.252324512538536e-22,7.969072864542661e-27,1.252324512538536e-22,3.208563668244003e-19,4.69241261264223e-06,2.005959521923613e-21,2.630866896130179e-25,1.312981552203585e-14,1.312981552203585e-14,7.969072864542661e-27,3.3220489794536525e-18,1.9113575360277063e-15
gemini-2.0-flash,1.1159089057251951e-09,3.0632901754379845e-17,2.540853335492305e-16,2.726143732806038e-20,3.0632901754379845e-17,2.005959521923613e-21,6.449688895763542e-24,2.005959521923613e-21,6.449688895763542e-24,1.5934990285464438e-28,0.1933479044956428,3.208563668244003e-19,1.312981552203585e-14,1.8100026213029253e-07,5.636282034205402e-07,2.005959521923613e-21,6.449688895763542e-24,1.9113575360277063e-15
