evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-oss-120b-thinking,,7.85013964559367e-05,0.08862608011406767,1.3097998650070218e-11,2.726143732806038e-20,0.02097873567785172,3.3220489794536525e-18,1.8100026213029253e-07,2.6059358186561004e-12,4.3373666334216375e-09,1.2579150016678854e-05,5.513580775850052e-08,1.2579150016678854e-05,0.0008737198369123724,5.636282034205402e-07,0.012032975725363479,2.726143732806038e-20,5.636282034205402e-07,2.7027625220487884e-10,3.208563668244003e-19,2.540853335492305e-16,0.006637120515926128,5.636282034205402e-07,4.3373666334216375e-09
opus-4.1-thinking,2.6059358186561004e-12,,4.3373666334216375e-09,1.6673626494501009e-06,0.00018314322488235366,0.00018314322488235366,1.252324512538536e-22,5.513580775850052e-08,1.252324512538536e-22,1.9113575360277063e-15,5.513580775850052e-08,0.00018314322488235366,0.056887933640980784,0.48411841360729146,6.147806615047975e-11,1.3097998650070218e-11,7.969072864542661e-27,2.630866896130179e-25,3.208563668244003e-19,6.449688895763542e-24,3.208563668244003e-19,5.636282034205402e-07,0.012032975725363479,3.0632901754379845e-17
gemini-2.5-pro-thinking,0.36820161732669576,2.6059358186561004e-12,,6.449688895763542e-24,1.9113575360277063e-15,1.2579150016678854e-05,1.5934990285464438e-28,2.630866896130179e-25,7.969072864542661e-27,1.252324512538536e-22,3.3220489794536525e-18,2.005959521923613e-21,2.7027625220487884e-10,1.2579150016678854e-05,2.005959521923613e-21,3.208563668244003e-19,1.5934990285464438e-28,1.252324512538536e-22,2.630866896130179e-25,7.969072864542661e-27,7.969072864542661e-27,6.449688895763542e-24,3.0632901754379845e-17,1.252324512538536e-22
qwen-3.0-80b-thinking,2.6059358186561004e-12,0.0017899303914868528,1.9113575360277063e-15,,1.2579150016678854e-05,6.147806615047975e-11,3.2160015295666335e-05,0.48411841360729146,0.0008737198369123724,0.00040877716742681523,0.7643534344026669,0.056887933640980784,0.006637120515926128,0.03520020021770479,1.0,0.7643534344026669,6.147806615047975e-11,3.2160015295666335e-05,0.006637120515926128,1.8100026213029253e-07,1.8100026213029253e-07,0.2712530240738354,0.7643534344026669,1.0
deepseek-r1-thinking,4.69241261264223e-06,0.02097873567785172,0.00018314322488235366,0.36820161732669576,,4.69241261264223e-06,0.00018314322488235366,1.0,0.0035176417229701587,0.056887933640980784,0.7643534344026669,0.6172994135892521,0.1933479044956428,0.00040877716742681523,0.2712530240738354,1.0,6.147806615047975e-11,0.0017899303914868528,0.08862608011406767,4.69241261264223e-06,7.85013964559367e-05,0.1933479044956428,0.08862608011406767,0.13321061920721386
kimi-k2-thinking,0.00040877716742681523,0.00018314322488235366,0.00018314322488235366,1.252324512538536e-22,1.9113575360277063e-15,,3.0632901754379845e-17,2.540853335492305e-16,2.540853335492305e-16,2.540853335492305e-16,5.636282034205402e-07,5.513580775850052e-08,0.0035176417229701587,0.00018314322488235366,2.7027625220487884e-10,1.8100026213029253e-07,4.825421503937195e-13,1.5905328473786136e-08,5.513580775850052e-08,3.208563668244003e-19,2.6059358186561004e-12,1.1159089057251951e-09,1.5905328473786136e-08,6.147806615047975e-11
gpt-4o-mini,0.36820161732669576,0.9204107626128211,0.006637120515926128,0.48411841360729146,0.2712530240738354,0.36820161732669576,,0.48411841360729146,0.9204107626128211,0.7643534344026669,0.48411841360729146,1.0,0.9204107626128211,0.9204107626128211,0.9204107626128211,0.6172994135892521,0.36820161732669576,0.2712530240738354,0.48411841360729146,0.6172994135892521,0.7643534344026669,0.7643534344026669,0.6172994135892521,0.6172994135892521
gpt-4.1-mini,1.252324512538536e-22,0.006637120515926128,3.208563668244003e-19,7.85013964559367e-05,0.1933479044956428,5.513580775850052e-08,0.0017899303914868528,,0.2712530240738354,0.7643534344026669,0.1933479044956428,0.13321061920721386,0.0017899303914868528,0.00018314322488235366,0.6172994135892521,0.6172994135892521,6.147806615047975e-11,0.006637120515926128,0.02097873567785172,4.69241261264223e-06,0.012032975725363479,0.1933479044956428,0.056887933640980784,0.13321061920721386
gpt-4o,4.69241261264223e-06,0.48411841360729146,4.69241261264223e-06,0.056887933640980784,0.13321061920721386,0.0008737198369123724,0.9204107626128211,0.9204107626128211,,0.7643534344026669,0.1933479044956428,0.48411841360729146,0.48411841360729146,0.2712530240738354,0.48411841360729146,1.0,4.69241261264223e-06,0.6172994135892521,0.48411841360729146,0.012032975725363479,0.08862608011406767,0.36820161732669576,1.0,0.9204107626128211
gpt-4.1,0.36820161732669576,0.9204107626128211,0.9204107626128211,0.0017899303914868528,0.006637120515926128,1.0,1.5905328473786136e-08,0.9204107626128211,0.0017899303914868528,,0.03520020021770479,0.056887933640980784,0.056887933640980784,0.056887933640980784,0.0017899303914868528,0.00018314322488235366,1.252324512538536e-22,3.0632901754379845e-17,2.7027625220487884e-10,8.284451872080075e-14,8.284451872080075e-14,0.1933479044956428,0.03520020021770479,0.056887933640980784
