evaluator,performance,n_samples
gpt-oss-120b-thinking,0.5338252086078172,2400.0
opus-4.1-thinking,0.5052173913043478,2400.0
gemini-2.5-pro-thinking,0.5719894598155468,2400.0
qwen-3.0-80b-thinking,0.5351322969538069,2400.0
deepseek-r1-thinking,0.5113360694059498,2400.0
kimi-k2-thinking,0.5673336708117277,2400.0
gpt-4o-mini,0.5106521739130435,2400.0
gpt-4.1-mini,0.5323913043478261,2400.0
gpt-4o,0.5067391304347826,2400.0
gpt-4.1,0.6119565217391304,2400.0
haiku-3.5,0.41934782608695653,2400.0
sonnet-3.7,0.457608695652174,2400.0
sonnet-4.5,0.5319565217391304,2400.0
opus-4.1,0.4834650856389987,2400.0
gemini-2.0-flash-lite,0.5002173913043478,2400.0
gemini-2.0-flash,0.5723913043478261,2400.0
ll-3.1-8b,0.5241304347826087,2400.0
ll-3.1-70b,0.361304347826087,2400.0
ll-3.1-405b,0.5148278985507246,2400.0
qwen-2.5-7b,0.5045652173913043,2400.0
qwen-2.5-72b,0.5715217391304348,2400.0
qwen-3.0-80b,0.6004347826086956,2400.0
deepseek-3.1,0.5504369784804567,2400.0
kimi-k2,0.46847826086956523,2400.0
