evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.0,deepseek-3.1
gpt-4o-mini,,-0.20657894736842103,0.09999999999999998,-0.05263157894736842,-0.19999999999999996,0.09868421052631571,-0.05921052631578949,,-0.22368421052631582,-0.0013157894736842701,0.06710526315789467,0.043421052631578916,-0.14210526315789473,0.10263157894736846,,0.04999999999999999,0.12368421052631573,-0.1907894736842106,,0.09868421052631571
gpt-4.1-mini,0.5473684210526316,,0.6486842105263158,0.25131578947368416,0.22105263157894728,0.6697368421052632,0.2736842105263157,,0.22236842105263166,0.6486842105263158,0.3223684210526316,0.3302631578947368,0.09736842105263166,0.5723684210526316,,0.5236842105263158,0.6960526315789473,0.2157894736842105,,0.775
gpt-4o,-0.047368421052631504,-0.3355263157894737,,-0.15526315789473694,-0.45131578947368434,0.0,-0.13157894736842107,,-0.2947368421052632,-0.09868421052631582,-0.05789473684210533,-0.2039473684210527,-0.10921052631578954,-0.046052631578947345,,-0.018421052631579005,0.15657894736842104,-0.006578947368421073,,-0.0013157894736842701
gpt-4.1,-0.021052631578947323,-0.09999999999999998,0.003947368421052699,,-0.2986842105263158,0.10131578947368419,0.07500000000000001,,-0.32105263157894737,-0.16973684210526319,0.04999999999999999,-0.125,-0.007894736842105288,0.06052631578947365,,-0.16710526315789465,-0.047368421052631504,-0.17500000000000004,,0.0776315789473685
haiku-3.5,-0.050000000000000044,-0.12894736842105275,0.12763157894736848,0.125,,0.2,0.25,,-0.09868421052631582,0.07894736842105265,0.15000000000000002,0.125,-0.13815789473684215,0.02763157894736845,,0.10131578947368419,0.12631578947368416,0.2973684210526316,,0.3
sonnet-3.7,0.443421052631579,0.27894736842105267,0.13421052631578945,0.2802631578947368,0.256578947368421,,-0.050000000000000044,,0.06447368421052635,0.1657894736842105,0.2526315789473685,-0.1657894736842105,0.5460526315789472,0.31710526315789467,,0.3723684210526317,0.0052631578947368585,-0.042105263157894646,,0.38815789473684215
sonnet-4.5,0.5223684210526316,0.518421052631579,0.31842105263157894,0.5973684210526317,0.44605263157894726,0.3907894736842105,,,0.17236842105263162,0.3460526315789473,0.21447368421052637,-0.21447368421052637,0.39797297297297307,0.3671052631578947,,0.17500000000000004,0.2973684210526316,0.046052631578947234,,0.5
opus-4.1,,,,,,,,,,,,,,,,,,,,
gemini-2.0-flash-lite,0.18289473684210533,-0.2881578947368422,0.22763157894736846,-0.0368421052631579,0.08684210526315783,0.2921052631578947,0.10921052631578941,,,0.2460526315789473,0.0717105263157894,0.16447368421052633,0.11315789473684212,0.20131578947368417,,0.5131578947368421,0.5131578947368421,0.0907894736842105,,0.506578947368421
gemini-2.0-flash,-0.018421052631579005,-0.38684210526315793,0.02631578947368418,-0.23815789473684218,-0.15000000000000002,-0.08157894736842108,-0.2171052631578948,,-0.2348684210526315,,0.07828947368421052,-0.06184210526315792,-0.21973684210526312,-0.050000000000000044,,0.08157894736842097,-0.023684210526315863,-0.06184210526315792,,0.3578947368421053
