evaluator,deviation
gpt-4o-mini,-0.021304347826086867
gpt-4.1-mini,-0.0917391304347826
gpt-4o,0.08300944669365717
gpt-4.1,0.09739130434782606
haiku-3.5,-0.13913043478260867
sonnet-3.7,0.13478260869565228
sonnet-4.5,0.20347826086956522
opus-4.1,0.3247826086956521
gemini-2.0-flash-lite,-0.3282608695652174
gemini-2.0-flash,0.006956521739130417
ll-3.1-8b,-0.3760869565217392
ll-3.1-70b,0.01782608695652177
ll-3.1-405b,-0.006956521739130417
qwen-2.5-7b,0.07869565217391294
qwen-2.5-72b,0.092608695652174
qwen-3.0-80b,0.3608695652173912
deepseek-3.1,0.08608695652173914
kimi-k2,0.2143701226309922
