evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,59/41,86/14,76/24,67/33,84/16,84/16,0/0,84/16,91/9,87/13,55/45,87/13,88/12,86/14,56/44,81/19,60/40,86/14,82/18,85/15,89/11,81/19,86/14,85/15
gpt-4.1-mini,50/50,81/19,75/25,57/43,71/29,76/24,78/22,0/0,80/20,66/34,52/48,77/23,79/21,79/21,56/44,70/30,54/46,80/20,74/26,78/22,77/23,61/39,68/32,74/26
gpt-4o,50/50,96/4,84/16,70/30,88/12,89/11,87/12,79/20,0/0,88/12,55/45,96/4,95/5,93/7,56/44,82/17,52/46,85/15,84/16,86/14,96/4,88/12,92/8,84/16
gpt-4.1,55/45,92/8,81/19,91/9,94/6,92/8,85/15,87/13,90/10,0/0,55/45,92/8,87/13,91/9,57/43,80/20,55/45,81/19,79/21,68/32,85/15,93/7,91/9,87/13
haiku-3.5,50/50,58/42,55/45,61/39,62/38,65/35,55/45,56/44,70/30,51/49,0/0,55/45,53/47,52/48,47/53,56/44,51/49,57/43,59/41,66/34,67/33,60/40,50/50,64/36
sonnet-3.7,48/52,33/67,49/51,44/56,44/56,48/52,32/68,33/67,29/71,37/63,44/56,0/0,38/62,32/68,33/67,39/61,43/57,33/67,30/70,35/65,32/68,40/60,31/69,49/51
sonnet-4.5,43/57,4/96,8/92,11/89,8/92,12/88,33/67,26/74,32/68,18/82,25/75,9/91,0/0,1/99,38/62,27/73,38/62,34/66,36/64,41/59,36/64,23/77,9/91,8/92
opus-4.1,48/52,11/89,50/50,56/44,41/59,27/73,49/51,38/62,45/55,36/64,38/62,16/84,19/81,0/0,44/56,47/53,49/51,48/52,46/54,49/51,50/50,50/50,24/76,44/56
gemini-2.0-flash-lite,50/50,52/48,50/50,50/50,51/49,51/49,52/48,55/45,50/50,51/49,39/61,52/48,52/48,53/47,0/0,50/50,49/51,50/50,49/51,53/47,52/48,52/48,50/50,50/50
gemini-2.0-flash,50/50,71/29,54/46,53/47,63/37,61/39,59/41,64/36,60/40,69/31,52/48,66/34,70/30,68/32,49/51,0/0,57/43,67/33,60/40,61/39,68/32,63/37,73/27,60/40
ll-3.1-8b,73/27,56/44,55/45,55/45,55/45,56/44,60/40,59/41,56/44,56/44,55/45,56/44,55/45,56/44,54/46,57/43,0/0,58/42,59/41,57/43,55/45,55/45,56/44,55/45
ll-3.1-70b,54/46,92/8,90/10,92/8,92/8,91/9,87/13,85/15,89/11,90/10,72/28,91/9,92/8,92/8,60/40,83/17,59/41,0/0,85/15,90/10,91/9,93/7,90/10,89/11
ll-3.1-405b,54/46,75/25,80/20,82/18,79/21,79/21,78/22,73/27,76/24,60/40,53/47,72/28,76/24,75/25,51/49,63/37,55/45,78/22,0/0,61/39,73/27,66/34,71/29,60/40
qwen-2.5-7b,51/49,96/4,97/3,86/14,95/5,95/5,90/10,83/17,97/3,90/10,59/41,98/2,96/4,97/3,58/42,86/14,56/44,87/13,83/17,0/0,98/2,89/11,98/2,96/4
qwen-2.5-72b,50/50,95/5,97/3,96/4,99/1,99/1,88/12,86/14,99/1,93/7,86/14,99/1,98/2,97/3,59/41,89/11,55/45,90/10,86/14,92/8,0/0,98/2,99/1,95/5
qwen-3.0-80b,50/50,52/48,82/18,67/33,73/27,86/14,49/51,50/50,49/51,53/47,50/50,50/50,59/41,53/47,50/50,59/41,50/50,50/50,51/49,49/51,53/47,0/0,60/40,77/23
deepseek-3.1,50/50,64/36,66/34,61/39,63/37,63/37,69/31,64/36,73/27,67/33,51/49,71/29,64/36,63/37,50/50,66/34,52/48,69/31,65/35,67/33,72/28,69/31,0/0,63/37
kimi-k2,52/47,78/21,80/20,80/20,84/16,83/17,65/35,74/26,64/36,68/31,53/47,72/28,77/23,84/16,52/48,63/37,52/48,64/36,64/35,64/36,69/31,82/18,73/27,0/0
