evaluator,deviation
gpt-4o-mini,-0.0017647058823530015
gpt-4.1-mini,-0.06882352941176473
gpt-4o,0.11877748670318322
gpt-4.1,0.10999999999999999
haiku-3.5,-0.13235294117647056
sonnet-3.7,0.08235294117647063
sonnet-4.5,0.24470588235294122
opus-4.1,0.35058823529411764
gemini-2.0-flash-lite,-0.3264705882352941
gemini-2.0-flash,0.08235294117647063
ll-3.1-8b,-0.3911764705882353
ll-3.1-70b,0.020000000000000018
ll-3.1-405b,0.010000000000000009
qwen-2.5-7b,0.09588235294117642
qwen-2.5-72b,0.10176470588235298
qwen-3.0-80b,0.4388235294117646
deepseek-3.1,0.1723529411764706
kimi-k2,0.25500754147812976
