evaluator,performance,n_samples
gpt-4o-mini,0.498235294117647,1700
gpt-4.1-mini,0.43117647058823527,1700
gpt-4o,0.6187774867031832,1700
gpt-4.1,0.61,1700
haiku-3.5,0.36764705882352944,1700
sonnet-3.7,0.5823529411764706,1700
sonnet-4.5,0.7447058823529412,1700
opus-4.1,0.8505882352941176,1700
gemini-2.0-flash-lite,0.17352941176470588,1700
gemini-2.0-flash,0.5823529411764706,1700
ll-3.1-8b,0.10882352941176472,1700
ll-3.1-70b,0.52,1700
ll-3.1-405b,0.51,1700
qwen-2.5-7b,0.5958823529411764,1700
qwen-2.5-72b,0.601764705882353,1700
qwen-3.0-80b,0.9388235294117646,1700
deepseek-3.1,0.6723529411764706,1700
kimi-k2,0.7550075414781298,1700
