evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.54,0.41,0.45,0.75,0.41,0.42,0.42,0.74,0.49,0.82,0.48,0.52,0.45,0.39,0.33,0.4,0.45
gpt-4.1-mini,0.48,,0.32,0.26,0.82,0.37,0.29,0.29,0.82,0.4,0.88,0.44,0.48,0.52,0.29,0.11,0.24,0.32
gpt-4o,0.5958974358974359,0.7074358974358975,,0.52,0.93,0.52,0.51,0.49,0.94,0.6064102564102565,0.9694736842105263,0.63,0.62,0.62,0.48,0.4,0.46,0.52
gpt-4.1,0.59,0.57,0.5,,0.85,0.48,0.47,0.47,0.85,0.6,0.91,0.65,0.65,0.76,0.53,0.47,0.49,0.53
haiku-3.5,0.37,0.34,0.32,0.19,,0.13,0.13,0.14,0.79,0.36,0.91,0.53,0.61,0.44,0.39,0.16,0.1,0.34
sonnet-3.7,0.48,0.37,0.65,0.53,0.16,,0.82,0.76,0.29,0.65,0.43,0.57,0.52,0.67,0.76,0.74,0.53,0.97
sonnet-4.5,0.83,0.76,0.82,0.68,0.69,0.59,,0.51,0.88,0.75,0.84,0.84,0.84,0.91,0.86,0.73,0.57,0.56
opus-4.1,0.95,0.86,0.93,0.76,0.82,0.58,0.41,,0.94,0.91,0.97,0.96,0.9,0.99,0.98,0.9,0.7,0.9
gemini-2.0-flash-lite,0.3,0.33,0.1,0.13,0.41,0.06,0.04,0.03,,0.06,0.81,0.18,0.31,0.07,0.04,0.02,0.02,0.04
gemini-2.0-flash,0.71,0.78,0.62,0.51,0.94,0.44,0.32,0.4,0.93,,0.93,0.59,0.72,0.71,0.54,0.17,0.33,0.26
ll-3.1-8b,0.22,0.19,0.08,0.14,0.11,0.06,0.05,0.06,0.22,0.07,,0.14,0.19,0.07,0.05,0.05,0.06,0.09
ll-3.1-70b,0.57,0.51,0.45,0.48,0.64,0.43,0.44,0.44,0.78,0.53,0.85,,0.53,0.44,0.43,0.45,0.42,0.45
ll-3.1-405b,0.52,0.49,0.42,0.28,0.71,0.4,0.38,0.35,0.75,0.49,0.85,0.52,,0.59,0.47,0.54,0.31,0.6
qwen-2.5-7b,0.6,0.67,0.49,0.54,0.91,0.48,0.46,0.47,0.92,0.58,0.94,0.55,0.61,,0.5,0.41,0.5,0.5
qwen-2.5-72b,0.62,0.64,0.51,0.55,0.64,0.49,0.48,0.49,0.91,0.61,0.95,0.6,0.64,0.58,,0.5,0.49,0.53
qwen-3.0-80b,0.99,1.0,0.99,0.95,1.0,0.98,0.87,0.93,1.0,0.89,1.0,0.98,0.97,0.99,0.95,,0.88,0.59
deepseek-3.1,0.77,0.84,0.75,0.61,0.99,0.57,0.34,0.39,1.0,0.7,0.98,0.73,0.81,0.83,0.62,0.27,,0.23
kimi-k2,0.79,0.74,0.8,0.7071794871794872,0.93,0.64,0.53,0.54,0.98,0.81,0.94,0.82,0.8079487179487179,0.82,0.75,0.58,0.65,
