evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.48411841360729146,0.08862608011406767,0.36820161732669576,5.636282034205402e-07,0.08862608011406767,0.13321061920721386,0.13321061920721386,1.6673626494501009e-06,0.9204107626128211,6.147806615047975e-11,0.7643534344026669,0.7643534344026669,0.36820161732669576,0.03520020021770479,0.0008737198369123724,0.056887933640980784,0.36820161732669576
gpt-4.1-mini,0.7643534344026669,,0.00040877716742681523,1.6673626494501009e-06,6.147806615047975e-11,0.012032975725363479,3.2160015295666335e-05,3.2160015295666335e-05,6.147806615047975e-11,0.056887933640980784,1.9113575360277063e-15,0.2712530240738354,0.7643534344026669,0.7643534344026669,3.2160015295666335e-05,2.540853335492305e-16,1.8100026213029253e-07,0.00040877716742681523
gpt-4o,0.056887933640980784,3.2160015295666335e-05,,0.7643534344026669,2.726143732806038e-20,0.7643534344026669,0.9204107626128211,0.9204107626128211,2.005959521923613e-21,0.03520020021770479,2.630866896130179e-25,0.012032975725363479,0.02097873567785172,0.02097873567785172,0.7643534344026669,0.056887933640980784,0.48411841360729146,0.7643534344026669
gpt-4.1,0.08862608011406767,0.1933479044956428,1.0,,4.825421503937195e-13,0.7643534344026669,0.6172994135892521,0.6172994135892521,4.825421503937195e-13,0.056887933640980784,3.3220489794536525e-18,0.0035176417229701587,0.0035176417229701587,1.8100026213029253e-07,0.6172994135892521,0.6172994135892521,0.9204107626128211,0.6172994135892521
haiku-3.5,0.012032975725363479,0.0017899303914868528,0.00040877716742681523,2.7027625220487884e-10,,1.312981552203585e-14,1.312981552203585e-14,8.284451872080075e-14,4.3373666334216375e-09,0.006637120515926128,3.3220489794536525e-18,0.6172994135892521,0.03520020021770479,0.2712530240738354,0.03520020021770479,2.6059358186561004e-12,3.0632901754379845e-17,0.0017899303914868528
sonnet-3.7,0.7643534344026669,0.012032975725363479,0.0035176417229701587,0.6172994135892521,2.6059358186561004e-12,,6.147806615047975e-11,1.8100026213029253e-07,3.2160015295666335e-05,0.0035176417229701587,0.1933479044956428,0.1933479044956428,0.7643534344026669,0.0008737198369123724,1.8100026213029253e-07,1.6673626494501009e-06,0.6172994135892521,2.630866896130179e-25
sonnet-4.5,1.3097998650070218e-11,1.8100026213029253e-07,6.147806615047975e-11,0.00040877716742681523,0.00018314322488235366,0.08862608011406767,,0.9204107626128211,1.9113575360277063e-15,5.636282034205402e-07,2.6059358186561004e-12,2.6059358186561004e-12,2.6059358186561004e-12,3.3220489794536525e-18,8.284451872080075e-14,4.69241261264223e-06,0.1933479044956428,0.2712530240738354
opus-4.1,1.252324512538536e-22,8.284451872080075e-14,2.726143732806038e-20,1.8100026213029253e-07,6.147806615047975e-11,0.13321061920721386,0.08862608011406767,,2.005959521923613e-21,3.3220489794536525e-18,2.630866896130179e-25,6.449688895763542e-24,3.0632901754379845e-17,1.5934990285464438e-28,7.969072864542661e-27,3.0632901754379845e-17,7.85013964559367e-05,3.0632901754379845e-17
gemini-2.0-flash-lite,7.85013964559367e-05,0.0008737198369123724,3.0632901754379845e-17,1.312981552203585e-14,0.08862608011406767,2.005959521923613e-21,6.449688895763542e-24,2.630866896130179e-25,,2.005959521923613e-21,2.7027625220487884e-10,6.147806615047975e-11,0.00018314322488235366,2.726143732806038e-20,6.449688895763542e-24,7.969072864542661e-27,7.969072864542661e-27,6.449688895763542e-24
gemini-2.0-flash,3.2160015295666335e-05,1.5905328473786136e-08,0.02097873567785172,0.9204107626128211,2.005959521923613e-21,0.2712530240738354,0.00040877716742681523,0.056887933640980784,2.726143732806038e-20,,2.726143732806038e-20,0.08862608011406767,1.2579150016678854e-05,3.2160015295666335e-05,0.48411841360729146,1.3097998650070218e-11,0.0008737198369123724,1.6673626494501009e-06
