evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.020000000000000018,0.00589743589743591,0.03999999999999998,0.12,0.11000000000000004,0.24999999999999994,0.36999999999999994,0.040000000000000036,0.19999999999999996,0.039999999999999925,0.04999999999999993,0.040000000000000036,0.04999999999999999,0.010000000000000009,0.32,0.17000000000000004,0.24000000000000005
gpt-4.1-mini,0.020000000000000018,,0.027435897435897527,0.17000000000000004,0.16000000000000003,0.26,0.04999999999999999,0.14999999999999997,0.15000000000000002,0.18000000000000005,0.06999999999999995,0.04999999999999999,0.030000000000000027,0.19000000000000006,0.07,0.11,0.07999999999999996,0.06
gpt-4o,0.005897435897435854,0.027435897435897583,,0.020000000000000018,0.2500000000000001,0.17000000000000004,0.32999999999999996,0.42000000000000004,0.039999999999999925,0.22641025641025647,0.049473684210526336,0.07999999999999996,0.039999999999999925,0.10999999999999999,0.010000000000000009,0.39,0.21000000000000002,0.32000000000000006
gpt-4.1,0.039999999999999925,0.17000000000000004,0.020000000000000018,,0.039999999999999925,0.010000000000000009,0.15000000000000002,0.22999999999999998,0.020000000000000018,0.10999999999999999,0.050000000000000044,0.13,0.06999999999999995,0.30000000000000004,0.08000000000000007,0.41999999999999993,0.09999999999999998,0.23717948717948723
haiku-3.5,0.12,0.15999999999999998,0.25000000000000006,0.03999999999999998,,0.71,0.18000000000000005,0.040000000000000036,0.19999999999999996,0.29999999999999993,0.020000000000000018,0.17000000000000004,0.31999999999999995,0.35000000000000003,0.030000000000000027,0.16,0.09,0.2700000000000001
sonnet-3.7,0.1100000000000001,0.26,0.17000000000000004,0.010000000000000009,0.71,,0.4099999999999999,0.33999999999999997,0.6499999999999999,0.08999999999999997,0.51,1.1102230246251565e-16,0.07999999999999996,0.15000000000000002,0.25,0.72,0.09999999999999998,0.61
sonnet-4.5,0.2499999999999999,0.050000000000000044,0.32999999999999996,0.15000000000000002,0.18000000000000005,0.4099999999999999,,0.08000000000000007,0.07999999999999996,0.07000000000000006,0.10999999999999999,0.2799999999999999,0.21999999999999997,0.37,0.33999999999999997,0.6,0.08999999999999997,0.09000000000000008
opus-4.1,0.3699999999999999,0.15000000000000002,0.42000000000000004,0.22999999999999998,0.040000000000000036,0.33999999999999997,0.08000000000000002,,0.030000000000000027,0.31000000000000005,0.030000000000000027,0.3999999999999999,0.25,0.45999999999999996,0.47,0.8300000000000001,0.08999999999999997,0.44000000000000006
gemini-2.0-flash-lite,0.03999999999999998,0.14999999999999997,0.03999999999999995,0.020000000000000018,0.2,0.6499999999999999,0.07999999999999999,0.030000000000000054,,0.009999999999999953,0.030000000000000027,0.03999999999999998,0.06,0.009999999999999953,0.04999999999999997,0.02,0.02,0.019999999999999983
gemini-2.0-flash,0.19999999999999996,0.18000000000000005,0.22641025641025647,0.10999999999999999,0.29999999999999993,0.09000000000000002,0.07,0.31000000000000005,0.009999999999999898,,1.1102230246251565e-16,0.12,0.20999999999999996,0.2899999999999999,0.15000000000000002,0.060000000000000026,0.02999999999999997,0.07000000000000006
ll-3.1-8b,0.03999999999999995,0.07,0.04947368421052638,0.050000000000000044,0.02000000000000003,0.51,0.11000000000000003,0.02999999999999997,0.030000000000000054,5.551115123125783e-17,,0.010000000000000009,0.03999999999999998,0.009999999999999953,4.163336342344337e-17,0.05,0.03999999999999998,0.029999999999999943
