evaluator,performance,n_samples
gpt-4o-mini,0.5720588235294117,1800.0
gpt-4.1-mini,0.5173529411764706,1800.0
gpt-4o,0.5535980789076764,1800.0
gpt-4.1,0.6311764705882353,1800.0
haiku-3.5,0.5676470588235294,1800.0
sonnet-3.7,0.6785218702865763,1800.0
sonnet-4.5,0.5970588235294119,1800.0
opus-4.1,0.6899949473169287,1800.0
gemini-2.0-flash-lite,0.2438235294117647,1800.0
gemini-2.0-flash,0.49588235294117644,1800.0
ll-3.1-8b,0.4270588235294118,1800.0
ll-3.1-70b,0.5035294117647059,1800.0
ll-3.1-405b,0.49205882352941177,1800.0
qwen-2.5-7b,0.5605882352941176,1800.0
qwen-2.5-72b,0.6102941176470589,1800.0
qwen-3.0-80b,0.5052941176470588,1800.0
deepseek-3.1,0.5138235294117647,1800.0
kimi-k2,0.5800000000000001,1800.0
