evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0.81,0.3,0.21,0.28,0.46,0.24,0.38,0.31,0.64,0.32,0.6,0.3,0.32,0.34,0.17,0.13,0.26,0.42
gpt-4.1-mini,0.01,1.0,0.0,0.0,0.01,0.0,0.0,0.01,0.12,0.04,0.26,0.05,0.02,0.05,0.02,0.0,0.0,0.0
gpt-4o,0.09153846153846153,0.08,0.99,0.05,0.08,0.02,0.03,0.03,0.31,0.05076923076923077,0.602051282051282,0.19230769230769235,0.2025910931174089,0.0923076923076923,0.01,0.02,0.02,0.11076923076923077
gpt-4.1,0.36,0.24,0.28,0.8,0.43,0.13,0.31,0.26,0.92,0.5,0.91,0.57,0.59,0.73,0.4,0.58,0.3,0.35
haiku-3.5,0.29,0.25,0.31,0.26,0.8,0.13,0.36,0.28,0.4,0.4,0.58,0.4,0.35,0.4,0.31,0.27,0.3,0.41
sonnet-3.7,0.37,0.42,0.21,0.32,0.66,0.81,0.65,0.39,0.89,0.46461538461538465,0.91,0.53,0.5358974358974359,0.52,0.26,0.84,0.39,0.9392307692307693
sonnet-4.5,0.98,0.92,0.98,0.97,0.9,0.77,0.25,0.72,1.0,0.99,1.0,0.99,1.0,1.0,0.99,1.0,0.85,0.99
opus-4.1,0.9894736842105263,0.9159459459459459,0.9794736842105263,0.8667567567567568,0.62,0.41,0.5,0.51,0.98,0.96,0.99,0.99,0.9484345479082321,0.99,0.9897435897435898,1.0,0.69,0.97
gemini-2.0-flash-lite,0.47,0.54,0.31,0.28,0.86,0.28,0.09,0.08,0.13,0.42,0.88,0.4,0.45,0.36,0.2,0.1,0.24,0.12
gemini-2.0-flash,0.64,0.62,0.64,0.48,0.68,0.52,0.45,0.37,0.78,0.41,0.76,0.61,0.66,0.67,0.61,0.44,0.54,0.42
ll-3.1-8b,0.59,0.56,0.5,0.54,0.53,0.5,0.54,0.52,0.6,0.55,0.32,0.54,0.57,0.51,0.5,0.53,0.51,0.49
ll-3.1-70b,0.32,0.3,0.23,0.44,0.33,0.26,0.46,0.36,0.78,0.57,0.79,0.55,0.47,0.42,0.24,0.7,0.31,0.79
ll-3.1-405b,0.19,0.18,0.01,0.15,0.42,0.0,0.08,0.03,0.83,0.17,0.91,0.19,0.71,0.08,0.07,0.52,0.14,0.69
qwen-2.5-7b,0.25,0.31,0.13,0.14,0.45,0.02,0.03,0.07,0.61,0.13,0.8,0.17,0.3,0.91,0.06,0.01,0.04,0.07
qwen-2.5-72b,0.2,0.16,0.01,0.12,0.22,0.03,0.12,0.11,0.82,0.24,0.9,0.22,0.31,0.13,0.99,0.02,0.07,0.24
qwen-3.0-80b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.1,0.02,1.0,0.01,0.0
deepseek-3.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.18,0.03,0.01,0.11,0.02,0.01,1.0,0.04
kimi-k2,0.53,0.53,0.4,0.45,0.65,0.29,0.31,0.3,0.86,0.58,0.84,0.64,0.62,0.61,0.4,0.3,0.36,0.65
