evaluator,performance,n_samples
gpt-4o-mini,0.4658823529411765,1700
gpt-4.1-mini,0.2994117647058824,1700
gpt-4o,0.6094117647058823,1700
gpt-4.1,0.6452941176470589,1700
haiku-3.5,0.17823529411764705,1700
sonnet-3.7,0.5170588235294118,1700
sonnet-4.5,0.8788235294117647,1700
opus-4.1,0.8217647058823528,1700
gemini-2.0-flash-lite,0.15000000000000002,1700
gemini-2.0-flash,0.5941176470588235,1700
ll-3.1-8b,0.10176470588235294,1700
ll-3.1-70b,0.5058823529411766,1700
ll-3.1-405b,0.4752941176470588,1700
qwen-2.5-7b,0.5341176470588236,1700
qwen-2.5-72b,0.7041176470588235,1700
qwen-3.0-80b,0.9282352941176472,1700
deepseek-3.1,0.64,1700
kimi-k2,0.9028506787330316,1700
