evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.73,0.39,0.37,0.8,0.56,0.37,0.4,0.77,0.36,0.84,0.46,0.48,0.54,0.23,0.1,0.36,0.16
gpt-4.1-mini,0.29,,0.12,0.15,0.82,0.41,0.09,0.11,0.78,0.24,0.86,0.24,0.33,0.34,0.03,0.02,0.19,0.07
gpt-4o,0.63,0.8,,0.59,0.97,0.66,0.38,0.48,0.96,0.6,0.94,0.58,0.66,0.66,0.42,0.19,0.53,0.31
gpt-4.1,0.76,0.87,0.69,,0.88,0.68,0.43,0.5,0.9,0.61,0.92,0.77,0.74,0.82,0.49,0.19,0.49,0.23
haiku-3.5,0.21,0.23,0.03,0.12,,0.0,0.0,0.0,0.76,0.13,0.85,0.21,0.3,0.08,0.04,0.01,0.01,0.05
sonnet-3.7,0.56,0.8,0.53,0.37,0.99,,0.09,0.09,0.96,0.54,0.96,0.58,0.55,0.73,0.31,0.13,0.44,0.16
sonnet-4.5,0.99,1.0,0.98,0.84,0.98,0.88,,0.61,1.0,0.86,1.0,0.97,0.99,1.0,0.97,0.73,0.75,0.39
opus-4.1,0.99,1.0,0.97,0.71,1.0,0.99,0.26,,0.98,0.73,1.0,0.96,0.99,1.0,0.97,0.51,0.71,0.2
gemini-2.0-flash-lite,0.25,0.28,0.07,0.14,0.33,0.06,0.02,0.02,,0.04,0.73,0.17,0.28,0.06,0.03,0.01,0.02,0.04
gemini-2.0-flash,0.77,0.79,0.6,0.61,0.89,0.54,0.36,0.39,0.97,,0.95,0.58,0.72,0.63,0.46,0.2,0.43,0.21
ll-3.1-8b,0.2,0.18,0.07,0.13,0.15,0.07,0.05,0.06,0.23,0.07,,0.11,0.18,0.06,0.05,0.02,0.03,0.07
ll-3.1-70b,0.62,0.74,0.52,0.47,0.82,0.53,0.29,0.33,0.79,0.5,0.88,,0.5,0.52,0.35,0.11,0.41,0.22
ll-3.1-405b,0.6,0.7,0.52,0.36,0.72,0.53,0.24,0.27,0.75,0.4,0.84,0.5,,0.52,0.32,0.22,0.4,0.19
qwen-2.5-7b,0.58,0.74,0.47,0.52,0.93,0.5,0.37,0.37,0.92,0.46,0.94,0.48,0.56,,0.35,0.16,0.42,0.31
qwen-2.5-72b,0.83,0.95,0.84,0.64,0.98,0.91,0.35,0.52,0.98,0.66,0.99,0.79,0.77,0.78,,0.11,0.65,0.22
qwen-3.0-80b,0.98,0.99,0.99,0.94,1.0,0.98,0.93,0.9,1.0,0.92,1.0,0.98,0.98,0.98,0.92,,0.88,0.41
deepseek-3.1,0.77,0.94,0.68,0.62,1.0,0.56,0.32,0.35,1.0,0.65,0.99,0.64,0.72,0.8,0.5,0.21,,0.13
kimi-k2,0.95,0.94,0.94,0.9,0.95,0.87,0.8,0.8,0.98,0.93,0.958974358974359,0.94,0.9694871794871796,0.94,0.9,0.71,0.87,
